"edon","disloc2018","disloc2015","esc1","esc3","dsi_pob","pobtot"
24,4,4,4,1,0.54148427672956,1602
24,11,11,7,3,0.433190899641991,369
24,14,14,5,4,0.334703382938122,3325
24,1,1,3,5,0.918786648877129,1625
24,10,10,2,6,0.663271604938272,1932
24,12,12,9,15,1,10243
24,13,13,6,14,0.526624311874598,1417
24,4,4,1,1,0.54148427672956,2005
24,2,5,14,10,0.240800995863722,13064
24,7,5,12,9,0.269896719319563,1521
24,2,7,10,10,0.240800995863722,1631
24,2,6,11,10,0.240800995863722,1448
24,2,6,15,10,0.240800995863722,968
24,8,8,13,11,0.490500654169256,2528
24,15,15,8,7,0.589797648890475,651
