"edon","disloc2017","disloc2015","esc1","esc3","dsi_pob","pobtot"
31,1,8,8,1,0.346104168684814,1645
31,3,12,7,3,0.453989047567916,1925
31,4,9,3,4,0.954321485960597,1807
31,5,9,6,5,0.708736883225346,999
31,6,11,4,6,1,1489
31,7,15,9,7,0.331191994275523,1711
31,1,8,5,1,0.346104168684814,1253
31,8,11,1,8,0.933433349579627,4761
31,2,6,2,2,0.714770293189543,1037
31,15,4,13,15,0.910185582681765,15859
31,14,5,11,14,0.84965931918128,4200
31,13,3,14,13,0.865904202297886,10600
31,10,3,12,10,0.872291849495393,3901
31,10,1,15,10,0.872291849495393,1042
31,11,2,10,11,0.922086993332628,1173
