"edon","disloc2017","disloc2011","esc1","esc3","dsi_pob","pobtot"
5,5,13,6,5,0.618226563491057,760
5,1,15,5,3,0.851018297250062,3083
5,5,14,6,5,0.618226563491057,3656
5,12,5,7,11,0.857496874565912,7004
5,5,12,6,5,0.618226563491057,593
5,4,11,2,4,0.430037935153941,1287
5,7,10,3,8,0.347921730201848,2483
5,7,6,3,8,0.347921730201848,1941
5,2,16,8,16,1,4421
5,14,4,16,13,0.0729493497507731,2708
5,14,1,16,13,0.0729493497507731,7970
5,15,2,14,14,0.595033785184264,3589
5,15,3,13,14,0.34554308540993,833
5,8,9,12,7,0.323653866105438,4860
5,9,8,11,10,0.572416156618312,1326
5,11,7,9,9,0.244798379990393,2197
