"edon","disloc2018","disloc2015","esc1","esc3","dsi_pob","pobtot"
6,6,1,15,11,0.481335534373502,5884
6,2,2,16,12,0.492720371151413,1916
6,2,5,16,12,0.492720371151413,295
6,1,3,16,9,0.492720371151413,906
6,4,4,1,14,0.350421760493703,2841
6,6,6,15,11,0.481335534373502,2463
6,7,7,4,15,0.489703556953053,7725
6,8,8,5,16,0.744193359047459,3320
6,9,9,2,1,0.637871980783773,2457
6,13,13,8,4,0.444468696569537,463
6,14,14,7,2,0.233621315858616,572
6,14,11,7,2,0.233621315858616,2221
6,12,12,8,3,0.444468696569537,721
6,10,10,10,6,0.310306514761384,4006
6,10,15,10,6,0.310306514761384,10229
6,16,16,12,7,0.260863023088626,917
