"edon","disloc2016","disloc2013","esc1","esc3","dsi_pob","pobtot"
8,11,1,1,1,0.634300499603223,732
8,11,10,1,1,0.634300499603223,3914
8,20,22,3,2,0.853109478574531,1133
8,13,11,5,4,0.461214711214711,637
8,22,21,6,6,0.848409972428618,1583
8,13,14,5,4,0.461214711214711,241
8,20,12,3,2,0.853109478574531,458
8,14,13,7,7,1,1489
8,18,19,10,10,0.247694106916944,924
8,16,18,11,11,0.358304048341274,791
8,18,16,10,10,0.247694106916944,4027
8,12,15,9,9,0.633377551410338,19342
8,12,17,9,9,0.633377551410338,4564
8,19,20,8,8,1,943
8,2,2,16,16,0.374437797669014,7094
8,4,3,22,21,0.32632592642433,305
8,2,6,16,16,0.374437797669014,7702
8,5,4,19,20,0.245086461576388,9966
8,5,9,19,20,0.245086461576388,618
8,5,7,19,20,0.245086461576388,916
8,4,5,22,21,0.32632592642433,456
8,9,8,18,17,0.205414042462639,969
