"edon","disloc2018","disloc2015","esc1","esc3","dsi_pob","pobtot"
12,8,8,24,4,0.218066388914993,1622
12,4,4,24,9,0.218066388914993,878
12,5,5,18,5,0.504767402641206,1530
12,3,3,18,7,0.504767402641206,1251
12,9,9,20,6,0.47037337914013,6223
12,6,6,22,8,0.385274285714286,2464
12,7,7,21,3,0.59898022651001,1360
12,26,26,12,1,0.462801787861182,3881
12,17,17,5,20,0.365652027157884,1519
12,28,28,15,14,0.366705711029505,2557
12,27,27,15,15,0.366705711029505,1247
12,20,20,11,22,0.897142666064771,728
12,18,18,4,21,0.438208171800756,1844
12,23,23,12,23,0.462801787861182,1259
12,10,10,3,26,0.318221728084622,1007
12,14,14,6,13,0.375543732141015,4404
12,15,15,6,16,0.375543732141015,1370
12,12,12,10,27,0.297731695360894,675
12,25,25,27,12,0.884326694682989,7040
12,1,1,25,11,0.474577122234426,10726
12,2,2,25,10,0.474577122234426,3651
12,19,19,11,25,0.897142666064771,1868
12,22,22,7,24,0.979493229956739,6477
12,11,11,28,28,0.44178512438858,650
12,13,13,13,18,0.419671410785343,2105
12,24,24,12,19,0.462801787861182,1365
12,16,16,8,17,0.65392043542511,6660
12,21,21,4,2,0.438208171800756,1853
