"edon","disloc2018","disloc2012","esc1","esc3","dsi_pob","pobtot"
16,14,19,5,14,0.774991111111111,1889
16,10,21,8,10,0.747074537740297,2596
16,12,8,9,12,0.488470443219923,1894
16,9,2,13,9,0.581085634066448,1073
16,2,13,14,2,0.928389569177732,986
16,11,23,3,11,0.838136971449223,2653
16,8,3,15,8,0.227315033739407,1459
16,16,22,3,16,0.838136971449223,2906
16,1,4,11,1,0.905754783280048,1475
16,6,18,4,6,0.32505665869633,3422
16,4,7,10,4,0.215455134371135,875
16,15,9,2,15,0.581519899309926,1362
16,15,5,2,15,0.581519899309926,744
16,5,1,13,5,0.581085634066448,1178
16,4,15,10,4,0.215455134371135,2060
16,3,12,12,3,0.613051358500246,6009
16,18,24,18,18,1,10135
16,20,10,22,20,0.27459276700306,1544
16,21,11,22,21,0.27459276700306,1116
16,19,17,21,19,0.539903454614114,358
16,19,16,22,19,0.27459276700306,412
16,11,20,8,11,0.747074537740297,3297
16,4,14,10,4,0.215455134371135,3146
16,17,6,17,17,1,2485
