"edon","disloc2017","disloc2015","esc1","esc3","dsi_pob","pobtot"
26,6,6,3,3,0.207453574154159,1735
26,7,7,4,4,0.553721354183094,1617
26,3,3,2,2,0.743117354062897,1190
26,18,18,3,3,0.207453574154159,804
26,5,5,3,3,0.207453574154159,2075
26,4,4,14,14,0.599584392360105,1289
26,8,8,8,8,0.612671921226767,8715
26,10,10,7,7,0.676964914350285,7326
26,9,9,7,7,0.676964914350285,1717
26,12,12,5,5,0.279920136624129,611
26,11,11,9,9,0.338339759516505,985
26,2,2,16,16,0.190024199288256,5220
26,1,1,16,16,0.190024199288256,816
26,14,14,18,18,0.965139627098625,330
26,17,17,12,12,0.199412667493064,1332
26,16,16,12,12,0.199412667493064,4001
26,15,15,13,13,0.533730500998053,8066
26,13,13,19,19,0.960122758594067,5920
26,21,21,1,1,0.842406669083001,1272
26,20,20,20,20,0.685482601165171,1967
26,19,19,21,21,0.633586968170614,2627
