"edon","disloc2017","disloc2015","esc1","esc3","dsi_pob","pobtot"
31,1,8,8,1,0.355217758217342,1645
31,2,14,8,2,0.355217758217342,2691
31,3,12,7,3,0.437052512458924,1925
31,4,9,3,4,0.894024899225912,1807
31,5,10,6,5,0.248971300342506,2149
31,6,11,4,6,0.531111453566941,1489
31,7,15,9,7,0.305032448142692,1711
31,9,13,8,9,0.355217758217342,1498
31,2,6,2,2,0.144301537234428,1037
31,15,4,13,15,0.880139957614462,15859
31,14,5,11,14,0.757004375296946,4200
31,13,3,14,13,0.452174036220952,10600
31,10,2,12,10,0.422002208988534,1331
31,14,1,11,14,0.757004375296946,1503
31,10,7,12,10,0.422002208988534,1331
