"edon","disloc2017","disloc2005","esc1","esc3","dsi_pob","pobtot"
18,1,18,1,1,0.776477254330581,767
18,16,7,17,18,0.715922854747042,835
18,16,13,17,18,0.715922854747042,548
18,18,14,12,3,0.444149836398511,23216
18,15,8,16,13,0.515391020303593,1166
18,3,6,18,12,0.248664000086718,2092
18,1,16,2,1,0.776477254330581,1308
18,10,9,13,14,0.772233962534475,2597
18,13,3,10,17,0.15128411185921,2125
18,5,10,14,16,0.491164335147042,1064
18,5,11,14,16,0.491164335147042,1230
18,5,12,14,16,0.491164335147042,506
18,2,17,2,2,0.658121638394704,829
18,6,5,8,11,0.273764314739564,1533
18,8,2,4,8,0.624670712327891,2510
18,9,1,9,9,0.735071488645921,535
18,6,4,9,11,0.273764314739564,1798
18,4,15,3,15,0.482101542416452,1056
