"edon","disloc2018","disloc2012","esc1","esc3","esc3jge","dsi_pob","pobtot"
17,9,9,1,1,1,0.553639079247935,2107
17,4,13,11,11,11,0.624441183264713,2745
17,11,18,2,2,2,0.594144562562356,3542
17,10,16,3,3,3,0.508502601020058,1941
17,9,8,4,1,1,0.553639079247935,1071
17,4,14,12,12,11,0.624441183264713,5717
17,7,15,12,12,12,0.471484196817548,1380
17,2,1,10,9,9,0.381560191433202,4047
17,1,2,8,8,8,0.394811689822157,4773
17,2,3,10,9,9,0.381560191433202,1242
17,2,4,10,9,9,0.381560191433202,936
17,8,5,5,4,4,0.33052259872293,5445
17,6,6,6,6,6,0.343587586572479,1865
17,6,7,6,6,6,0.343587586572479,3503
17,11,11,1,2,2,0.594144562562356,2087
17,4,17,11,11,11,0.624441183264713,2583
17,3,12,9,10,10,0.170593944951444,2222
17,10,10,3,3,3,0.508502601020058,2263
