"","seccion","munn","edon","dis_nueva","dis_anterior","pob_total","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","dcrit8","dist2015","dist2017","elec_cong_2016","elec_cong_2017","elec_cong_2018","elec_cong_2019","PANgob_antes","PRIgob_antes","PRDgob_antes","PVEMgob_antes","MCgob_antes","Indgob_antes","PANgob_despues","PRIgob_despues","PRDgob_despues","Morenagob_despues","MCgob_despues","Indgob_despues","PESgob_despues","PANcong_antes","PRIcong_antes","PRDcong_antes","PVEMcong_antes","MCcong_antes","PANcong_despues","PRIcong_despues","MCcong_despues","PENDIENTEcong_despues","Morenacong_despues","PANgober_2antes","PRIgober_2antes","PRDgober_2antes"
"1",1,1,1,11,6,2331,11,11,1,0,0,1,0,0,6,0.605,0.975,0,0.025,1,0,0,6,0.426,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"2",3,1,1,11,10,1986,11,11,1,0,0,1,0,0,6,0.605,0.907,0.047,0.047,0.974,0.026,0,6,0.426,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"3",28,1,1,12,11,465,12,12,1,0,0,1,0,0,11,0.723,1,0,0,0.867,0.133,0,11,0.779,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"4",80,1,1,16,5,8392,16,16,0,0,1,1,0,0,15,0.092,0.833,0,0.167,0.5,0.5,0,15,0.083,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"5",83,1,1,7,12,12481,7,7,0,0,1,0,1,0,12,0.798,0.684,0,0.316,0.222,0.778,0,12,0.6,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"6",87,1,1,16,15,2771,16,16,1,0,0,1,0,0,15,0.092,1,0,0,0.8,0.2,0,15,0.083,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"7",99,1,1,8,13,2727,8,8,1,0,0,0,1,0,13,0.434,1,0,0,0.538,0.462,0,13,0.321,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"8",134,1,1,9,16,967,9,9,1,0,0,0,1,0,16,0.211,0.946,0,0.054,0.545,0.455,0,16,0.322,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"9",155,1,1,9,14,13928,9,9,1,0,0,0,1,0,16,0.211,1,0,0,0.571,0.429,0,16,0.322,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"10",176,1,1,10,17,499,10,10,1,0,0,1,0,0,17,0.674,1,0,0,0.685,0.315,0,17,0.671,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"11",232,1,1,10,9,959,10,10,1,0,0,0,0,0,17,0.674,0.757,0.189,0.054,0.333,0.667,0,17,0.671,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"12",315,1,1,6,18,4705,6,6,0,0,1,0,1,0,18,0.728,0.815,0.074,0.111,0.25,0.75,0,18,0.594,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"13",338,2,1,2,2,2367,2,2,0,0,1,1,0,0,2,1,0.04,0.68,0.28,0.412,0.588,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"14",355,3,1,3,8,1568,3,3,0,0,1,1,0,0,8,0.865,0.344,0.469,0.188,0.8,0.2,0,8,0.8,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"15",387,4,1,4,1,3725,4,4,1,0,0,0,1,0,1,0.884,0.353,0.353,0.294,0.55,0.45,0,1,0.765,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
