"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n"
"1",338,2,2,2,2367,1,2,2,0,0,1,0.04,0.68,0.28,0.04,0.68,0.28
"2",339,2,2,2,2166,1,2,2,0,0,1,0.04,0.68,0.28,0.04,0.68,0.28
"3",340,2,2,2,2307,1,2,2,0,1,0,0.04,0.68,0.28,0.04,0.68,0.28
"4",341,2,2,2,2621,1,2,2,0,0,1,0.04,0.68,0.28,0.04,0.68,0.28
"5",342,2,2,2,2138,1,2,2,0,1,0,0.04,0.68,0.28,0.04,0.68,0.28
"6",343,2,2,2,4042,1,2,2,0,0,1,0.04,0.68,0.28,0.04,0.68,0.28
"7",344,2,2,2,3482,1,2,2,0,1,0,0.04,0.68,0.28,0.04,0.68,0.28
"8",345,2,2,2,2857,1,2,2,0,1,0,0.04,0.68,0.28,0.04,0.68,0.28
"9",346,2,2,2,2373,1,2,2,0,1,0,0.04,0.68,0.28,0.04,0.68,0.28
"10",347,2,2,2,3421,1,2,2,0,1,0,0.04,0.68,0.28,0.04,0.68,0.28
"11",348,2,2,2,2110,1,2,2,1,0,0,0.04,0.68,0.28,0.04,0.68,0.28
"12",349,2,2,2,2928,1,2,2,0,0,1,0.04,0.68,0.28,0.04,0.68,0.28
"13",350,2,2,2,3555,1,2,2,0,1,0,0.04,0.68,0.28,0.04,0.68,0.28
"14",351,2,2,2,1966,1,2,2,0,1,0,0.04,0.68,0.28,0.04,0.68,0.28
"15",352,2,2,2,3155,1,2,2,0,1,0,0.04,0.68,0.28,0.04,0.68,0.28
"16",353,2,2,2,2101,1,2,2,0,1,0,0.04,0.68,0.28,0.04,0.68,0.28
"17",354,2,2,2,1945,1,2,2,0,1,0,0.04,0.68,0.28,0.04,0.68,0.28
"18",355,3,3,3,1568,1,8,3,0,0,1,0.344,0.469,0.188,0.3,0.475,0.225
"19",356,3,3,3,3336,1,8,3,1,0,0,0.344,0.469,0.188,0.3,0.475,0.225
"20",357,3,3,3,1617,1,8,3,0,0,1,0.344,0.469,0.188,0.3,0.475,0.225
"21",358,3,3,3,4364,1,8,3,1,0,0,0.344,0.469,0.188,0.3,0.475,0.225
"22",359,3,3,3,1196,1,8,3,1,0,0,0.344,0.469,0.188,0.3,0.475,0.225
"23",360,3,3,3,972,1,8,3,1,0,0,0.344,0.469,0.188,0.3,0.475,0.225
"24",361,3,3,3,2066,1,8,3,1,0,0,0.344,0.469,0.188,0.3,0.475,0.225
"25",362,3,3,3,2571,1,8,3,1,0,0,0.344,0.469,0.188,0.3,0.475,0.225
"26",363,3,3,3,2513,1,8,3,1,0,0,0.344,0.469,0.188,0.3,0.475,0.225
"27",364,3,3,3,664,1,8,3,0,1,0,0.344,0.469,0.188,0.3,0.475,0.225
"28",365,3,3,3,383,1,8,3,0,1,0,0.344,0.469,0.188,0.3,0.475,0.225
