"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n"
"1",1,9,11,11,730,4,2,11,1,0,0,1,0,0,0.657,0.286,0.057
"2",2,9,11,11,871,4,2,11,1,0,0,1,0,0,0.657,0.286,0.057
"3",3,9,11,11,787,4,2,11,1,0,0,1,0,0,0.657,0.286,0.057
"4",4,10,5,5,14373,4,2,5,1,0,0,1,0,0,1,0,0
"5",5,9,11,11,1298,4,2,11,1,0,0,1,0,0,0.657,0.286,0.057
"6",6,9,11,11,1318,4,2,11,1,0,0,1,0,0,0.657,0.286,0.057
"7",7,9,11,11,1276,4,1,11,1,0,0,1,0,0,0.657,0.286,0.057
"8",8,9,11,11,1025,4,2,11,1,0,0,1,0,0,0.657,0.286,0.057
"9",9,9,7,7,6613,4,2,7,1,0,0,1,0,0,0.625,0.125,0.25
"10",10,10,5,5,1352,4,1,5,1,0,0,1,0,0,1,0,0
"11",11,9,11,11,1003,4,1,11,1,0,0,1,0,0,0.657,0.286,0.057
"12",12,9,11,11,1743,4,1,11,1,0,0,1,0,0,0.657,0.286,0.057
"13",13,10,5,5,1538,4,1,5,1,0,0,1,0,0,1,0,0
"14",14,10,5,5,1335,4,1,5,1,0,0,1,0,0,1,0,0
"15",15,10,5,5,1392,4,2,5,1,0,0,1,0,0,1,0,0
"16",16,10,5,5,1380,4,2,5,1,0,0,1,0,0,1,0,0
"17",17,7,7,7,7054,4,7,7,0,0,1,0.143,0.667,0.19,0.625,0.125,0.25
"18",18,7,7,7,852,4,2,7,1,0,0,1,0,0,0.625,0.125,0.25
"19",19,10,5,5,1264,4,2,5,1,0,0,1,0,0,1,0,0
"20",20,10,5,5,1527,4,2,5,1,0,0,1,0,0,1,0,0
"21",21,10,5,5,2006,4,1,5,1,0,0,1,0,0,1,0,0
"22",22,10,5,5,1196,4,1,5,1,0,0,1,0,0,1,0,0
"23",23,10,5,5,1060,4,1,5,1,0,0,1,0,0,1,0,0
"24",24,9,11,11,1225,4,1,11,1,0,0,1,0,0,0.657,0.286,0.057
"25",25,9,11,11,664,4,1,11,1,0,0,1,0,0,0.657,0.286,0.057
"26",26,9,11,11,1202,4,1,11,1,0,0,1,0,0,0.657,0.286,0.057
"27",27,9,11,11,1234,4,1,11,1,0,0,1,0,0,0.657,0.286,0.057
"28",28,9,9,9,473,4,1,9,1,0,0,1,0,0,1,0,0
"29",29,9,11,11,866,4,1,11,1,0,0,1,0,0,0.657,0.286,0.057
"30",30,9,11,11,834,4,1,11,1,0,0,1,0,0,0.657,0.286,0.057
"31",31,9,11,11,755,4,1,11,1,0,0,1,0,0,0.657,0.286,0.057
"32",32,10,5,5,953,4,1,5,1,0,0,1,0,0,1,0,0
"33",33,10,5,5,1145,4,1,5,1,0,0,1,0,0,1,0,0
"34",34,10,5,5,1621,4,1,5,1,0,0,1,0,0,1,0,0
"35",35,10,5,5,1308,4,2,5,1,0,0,1,0,0,1,0,0
"36",36,10,5,5,1395,4,2,5,1,0,0,1,0,0,1,0,0
"37",37,10,5,5,1141,4,2,5,1,0,0,1,0,0,1,0,0
"38",38,7,7,7,897,4,2,7,1,0,0,1,0,0,0.625,0.125,0.25
"39",39,7,7,7,2817,4,3,7,1,0,0,1,0,0,0.625,0.125,0.25
"40",40,10,5,5,927,4,3,5,1,0,0,1,0,0,1,0,0
"41",41,10,5,5,1029,4,3,5,1,0,0,1,0,0,1,0,0
