"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,6,6,1,5884,15,11,1,0,0,1,0,0,43387,650555,0,1.00255665006411,0.93713986908521,15,0.95,0.667,0.334,0.167,0.833,0.167,0,15,0.931
2,1,6,6,1,965,15,11,1,0,0,1,0,0,43387,650555,0,1.00255665006411,0.93713986908521,15,0.95,0.667,0.334,0.167,0.833,0.167,0,15,0.931
3,1,6,2,2,1916,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
4,1,6,2,2,871,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
5,1,6,2,2,619,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
6,1,6,6,1,2113,15,11,1,0,0,1,0,0,43387,650555,0,1.00255665006411,0.93713986908521,15,0.95,0.667,0.334,0.167,0.833,0.167,0,15,0.931
7,1,6,2,2,937,16,12,1,0,0,0,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
8,1,6,2,2,1066,16,12,1,0,0,0,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
9,1,6,2,2,905,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
10,1,6,2,2,1378,16,12,1,0,0,0,1,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
11,1,6,2,2,611,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
12,1,6,6,1,926,15,11,1,0,0,1,0,0,43387,650555,0,1.00255665006411,0.93713986908521,15,0.95,0.667,0.334,0.167,0.833,0.167,0,15,0.931
13,1,6,6,1,1913,15,11,1,0,0,1,0,0,43387,650555,0,1.00255665006411,0.93713986908521,15,0.95,0.667,0.334,0.167,0.833,0.167,0,15,0.931
14,1,6,2,2,1149,16,12,1,0,0,0,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
15,1,6,2,2,564,16,12,1,0,0,0,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
16,1,6,2,2,598,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
17,1,6,2,2,726,16,12,1,0,0,0,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
18,1,6,2,2,900,16,12,1,0,0,0,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
19,1,6,2,2,1017,16,12,1,0,0,0,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
20,1,6,1,2,1074,16,9,1,0,0,1,0,0,43974,650555,0,0.913126291322314,0.924630179196798,13,0.441,1,0,0,0.793,0.207,0,13,0.429
21,1,6,1,2,1293,15,9,1,0,0,1,0,0,43974,650555,0,0.913126291322314,0.924630179196798,13,0.441,1,0,0,0.793,0.207,0,13,0.429
22,1,6,6,1,950,14,11,1,0,0,0,0,0,43387,650555,0,1.00255665006411,0.93713986908521,15,0.95,0.667,0.334,0.167,0.833,0.167,0,15,0.931
23,1,6,3,1,2813,14,10,1,0,0,1,0,0,44288,650555,0,1.00255665006411,0.918074591311416,14,0.455,0.667,0.334,0.167,0.833,0.167,0,14,0.577
24,1,6,3,1,5617,14,10,1,0,0,1,0,0,44288,650555,0,1.00255665006411,0.918074591311416,14,0.455,0.667,0.334,0.167,0.833,0.167,0,14,0.577
25,1,6,2,2,1306,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
26,1,6,2,2,1008,16,12,1,0,0,0,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
27,1,6,2,2,746,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
28,1,6,2,2,491,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
29,1,6,2,2,664,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
30,1,6,2,2,518,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
31,1,6,2,2,1026,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
32,1,6,1,2,1315,16,9,1,0,0,0,1,0,43974,650555,0,0.913126291322314,0.924630179196798,13,0.441,1,0,0,0.793,0.207,0,13,0.429
33,1,6,1,2,1493,13,9,1,0,0,1,0,0,43974,650555,0,0.913126291322314,0.924630179196798,13,0.441,1,0,0,0.793,0.207,0,13,0.429
34,1,6,1,2,1369,13,9,1,0,0,0,1,0,43974,650555,0,0.913126291322314,0.924630179196798,13,0.441,1,0,0,0.793,0.207,0,13,0.429
35,1,6,1,2,1542,13,9,1,0,0,1,0,0,43974,650555,0,0.913126291322314,0.924630179196798,13,0.441,1,0,0,0.793,0.207,0,13,0.429
36,1,6,1,1,1758,13,9,1,0,0,0,1,0,43974,650555,0,1.00255665006411,0.924630179196798,13,0.441,0.667,0.334,0.167,0.833,0.167,0,13,0.429
37,1,6,3,1,3045,13,10,1,0,0,0,1,0,44288,650555,0,1.00255665006411,0.918074591311416,14,0.455,0.667,0.334,0.167,0.833,0.167,0,14,0.577
38,1,6,2,2,1046,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,16,0.748,1,0,0,0.793,0.207,0,16,0.8
