"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,11,18,13,1916,4,1,0,1,1,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
2,1,11,18,13,2194,4,1,1,0,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
3,1,11,18,13,1314,4,1,0,1,1,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
4,1,11,18,13,1332,4,1,1,0,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
5,1,11,18,13,1214,4,1,1,0,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
6,1,11,18,13,3979,4,1,1,0,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
7,1,11,18,13,1981,4,1,1,0,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
8,1,11,18,13,1773,4,1,1,0,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
9,1,11,18,13,3043,4,1,1,0,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
10,1,11,18,13,2368,4,1,1,0,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
11,1,11,18,13,4542,4,1,1,0,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
12,1,11,18,13,1505,4,1,0,1,0,0,1,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
13,1,11,18,13,924,4,1,0,1,0,0,1,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
14,1,11,18,13,617,4,1,0,1,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
15,1,11,18,13,1070,4,1,0,1,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
16,1,11,18,13,2232,4,1,0,1,0,0,1,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
17,1,11,18,13,1750,4,1,0,1,1,0,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
18,1,11,18,13,1194,4,1,0,1,0,0,1,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
19,1,11,18,13,1350,4,1,0,1,0,0,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
20,1,11,18,13,2609,4,1,0,1,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
21,1,11,18,13,2359,4,1,0,1,0,0,1,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
22,1,11,18,13,2772,4,1,0,1,0,0,1,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
23,1,11,18,13,813,4,1,0,1,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
24,1,11,18,13,1960,4,1,1,0,0,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
25,1,11,18,13,1059,4,1,0,1,0,0,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,4,1,0.417,0.584,0.061,0.877,0.114,0.009,4,1
