"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,13,1,18,1422,8,1,0,1,1,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,8,0.647,0.045,0.954,0.068,0.015,0.985,0,8,0.697
2,1,13,1,18,1024,8,1,0,1,1,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,8,0.647,0.045,0.954,0.068,0.015,0.985,0,8,0.697
3,1,13,1,18,343,8,1,0,1,0,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,8,0.647,0.045,0.954,0.068,0.015,0.985,0,8,0.697
4,1,13,1,18,574,8,1,0,1,0,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,8,0.647,0.045,0.954,0.068,0.015,0.985,0,8,0.697
5,1,13,1,18,1150,8,1,0,1,0,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,8,0.647,0.045,0.954,0.068,0.015,0.985,0,8,0.697
6,1,13,1,18,1283,8,1,0,1,0,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,8,0.647,0.045,0.954,0.068,0.015,0.985,0,8,0.697
7,1,13,1,18,1430,8,1,0,1,0,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,8,0.647,0.045,0.954,0.068,0.015,0.985,0,8,0.697
8,1,13,1,18,2636,8,1,0,1,0,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,8,0.647,0.045,0.954,0.068,0.015,0.985,0,8,0.697
9,1,13,1,18,3120,8,1,0,1,0,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,8,0.647,0.045,0.954,0.068,0.015,0.985,0,8,0.697
10,1,13,1,18,2872,8,1,0,1,0,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,8,0.647,0.045,0.954,0.068,0.015,0.985,0,8,0.697
11,1,13,1,18,3285,8,1,0,1,0,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,8,0.647,0.045,0.954,0.068,0.015,0.985,0,8,0.697
12,1,13,1,18,580,8,1,0,1,0,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,8,0.647,0.045,0.954,0.068,0.015,0.985,0,8,0.697
13,2,13,10,10,2833,8,10,1,0,0,0,1,0,159602,2597901,0,1.19970269513922,0.904298400604838,5,0.616,0.01,0.989,0.082,0,0.937,0.063,5,0.686
14,2,13,10,10,2309,8,10,0,1,1,0,1,0,159602,2597901,0,1.19970269513922,0.904298400604838,5,0.616,0.01,0.989,0.082,0,0.937,0.063,5,0.686
15,2,13,10,10,651,8,10,0,1,0,0,0,0,159602,2597901,0,1.19970269513922,0.904298400604838,5,0.616,0.01,0.989,0.082,0,0.937,0.063,5,0.686
16,2,13,10,10,843,8,10,0,1,0,0,1,0,159602,2597901,0,1.19970269513922,0.904298400604838,5,0.616,0.01,0.989,0.082,0,0.937,0.063,5,0.686
