"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,14,2,3,1998,3,2,0,0,1,0,0,0,3,0.133,0.341,0.42,0.239,0.861,0.139,0,3,0.211
2,1,14,2,3,1409,3,2,1,0,0,0,0,0,3,0.133,0.341,0.42,0.239,0.861,0.139,0,3,0.211
3,1,14,2,3,2552,3,2,1,0,0,1,0,0,3,0.133,0.341,0.42,0.239,0.861,0.139,0,3,0.211
4,1,14,2,3,2703,3,2,0,0,1,1,0,0,3,0.133,0.341,0.42,0.239,0.861,0.139,0,3,0.211
5,1,14,2,3,2716,3,2,0,0,1,0,0,0,3,0.133,0.341,0.42,0.239,0.861,0.139,0,3,0.211
6,1,14,2,3,1865,3,2,1,0,0,0,0,0,3,0.133,0.341,0.42,0.239,0.861,0.139,0,3,0.211
7,1,14,2,3,729,3,2,0,1,0,0,0,0,3,0.133,0.341,0.42,0.239,0.861,0.139,0,3,0.211
8,1,14,2,3,317,3,2,0,1,0,0,1,0,3,0.133,0.341,0.42,0.239,0.861,0.139,0,3,0.211
9,1,14,2,3,230,3,2,0,1,0,0,0,0,3,0.133,0.341,0.42,0.239,0.861,0.139,0,3,0.211
10,1,14,2,3,3421,3,2,0,0,1,1,0,0,3,0.133,0.341,0.42,0.239,0.861,0.139,0,3,0.211
11,1,14,2,3,1949,3,2,0,1,0,1,0,0,3,0.133,0.341,0.42,0.239,0.861,0.139,0,3,0.211
12,1,14,2,3,1210,3,2,0,1,0,0,1,0,3,0.133,0.341,0.42,0.239,0.861,0.139,0,3,0.211
13,2,14,4,17,2431,8,4,0,0,1,0,1,0,8,0.429,0.386,0.357,0.256,0.386,0.598,0.016,8,0.455
14,2,14,4,17,1219,8,4,1,0,0,0,1,0,8,0.429,0.386,0.357,0.256,0.386,0.598,0.016,8,0.455
15,2,14,4,17,2365,8,4,0,0,1,0,1,0,8,0.429,0.386,0.357,0.256,0.386,0.598,0.016,8,0.455
