"seccion","munn","edon","disloc2018","disloc1996","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,15,14,13,1958,10,4,0,0,1,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
2,1,15,14,13,2049,10,4,0,0,1,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
3,1,15,14,13,2374,10,4,1,0,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
4,1,15,14,13,3054,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
5,1,15,14,13,890,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
6,1,15,14,13,1099,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
7,1,15,14,13,1172,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
8,1,15,14,13,971,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
9,1,15,14,13,811,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
10,1,15,14,13,1763,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
11,1,15,14,13,2347,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
12,1,15,14,13,1521,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
13,1,15,14,13,2181,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
14,1,15,14,13,2303,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
15,1,15,14,13,1273,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
16,1,15,14,13,2433,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
17,1,15,14,13,2116,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
18,1,15,14,13,982,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
19,1,15,14,13,2510,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
20,1,15,14,13,3348,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
21,1,15,14,13,2387,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
22,1,15,14,13,2315,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
23,1,15,14,13,2533,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
24,1,15,14,13,1065,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
25,1,15,14,13,1332,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
26,1,15,14,13,1835,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
27,1,15,14,13,1198,10,4,1,0,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
28,1,15,14,13,3224,10,4,1,0,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
29,1,15,14,13,1274,10,4,0,1,0,0,0,0,10,1,0.144,0.77,0.086,0,1,0,10,1
30,1,15,14,13,2114,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
31,1,15,14,13,2289,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
32,1,15,14,13,1695,10,4,0,1,0,0,1,0,10,1,0.144,0.77,0.086,0,1,0,10,1
33,2,15,39,39,2688,17,16,1,0,0,0,1,0,17,0.906,0.41,0.434,0.156,0.087,0.826,0.087,17,0.929
34,2,15,39,39,2734,17,16,1,0,0,0,0,0,17,0.906,0.41,0.434,0.156,0.087,0.826,0.087,17,0.929
35,2,15,39,39,4111,17,16,1,0,0,0,1,0,17,0.906,0.41,0.434,0.156,0.087,0.826,0.087,17,0.929
36,2,15,39,39,676,17,16,0,1,0,0,1,0,17,0.906,0.41,0.434,0.156,0.087,0.826,0.087,17,0.929
