"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,17,9,9,2107,1,1,0,1,1,0,1,0,142275,1777227,0,1.25347323608695,1.04095765243367,1,0.485,0.411,0.589,0.232,0,0.95,0.05,1,0.434
2,1,17,9,9,1198,1,1,0,1,1,0,1,0,142275,1777227,0,1.25347323608695,1.04095765243367,1,0.485,0.411,0.589,0.232,0,0.95,0.05,1,0.434
3,1,17,9,9,1207,1,1,1,0,0,0,1,0,142275,1777227,0,1.25347323608695,1.04095765243367,1,0.485,0.411,0.589,0.232,0,0.95,0.05,1,0.434
4,1,17,9,9,2153,1,1,0,1,1,0,0,0,142275,1777227,0,1.25347323608695,1.04095765243367,1,0.485,0.411,0.589,0.232,0,0.95,0.05,1,0.434
5,1,17,9,9,761,1,1,0,1,0,0,0,0,142275,1777227,0,1.25347323608695,1.04095765243367,1,0.485,0.411,0.589,0.232,0,0.95,0.05,1,0.434
6,1,17,9,9,2123,1,1,1,0,0,0,1,0,142275,1777227,0,1.25347323608695,1.04095765243367,1,0.485,0.411,0.589,0.232,0,0.95,0.05,1,0.434
7,1,17,9,9,1317,1,1,1,0,0,0,1,0,142275,1777227,0,1.25347323608695,1.04095765243367,1,0.485,0.411,0.589,0.232,0,0.95,0.05,1,0.434
8,1,17,9,9,1752,1,1,1,0,0,0,0,0,142275,1777227,0,1.25347323608695,1.04095765243367,1,0.485,0.411,0.589,0.232,0,0.95,0.05,1,0.434
9,1,17,9,9,1927,1,1,0,1,0,0,0,0,142275,1777227,0,1.25347323608695,1.04095765243367,1,0.485,0.411,0.589,0.232,0,0.95,0.05,1,0.434
10,1,17,9,9,1674,1,1,1,0,0,0,0,1,142275,1777227,0,1.25347323608695,1.04095765243367,1,0.485,0.411,0.589,0.232,0,0.95,0.05,1,0.434
11,1,17,9,9,660,1,1,0,1,0,0,1,0,142275,1777227,0,1.25347323608695,1.04095765243367,1,0.485,0.411,0.589,0.232,0,0.95,0.05,1,0.434
12,2,17,4,13,2745,11,11,0,1,1,0,0,0,149549,1777227,0,1.12714857053704,0.990325913245826,11,0.824,0.381,0.619,0.175,0.3,0.3,0.4,11,0.788
13,2,17,4,13,2250,11,11,0,1,1,0,0,0,149549,1777227,0,1.12714857053704,0.990325913245826,11,0.824,0.381,0.619,0.175,0.3,0.3,0.4,11,0.788
14,2,17,4,13,1689,11,11,1,0,0,0,0,0,149549,1777227,0,1.12714857053704,0.990325913245826,11,0.824,0.381,0.619,0.175,0.3,0.3,0.4,11,0.788
