"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,27,6,1,3737,18,6,0,0,1,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
2,1,27,6,1,2647,18,6,0,0,1,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
3,1,27,6,1,1447,18,6,1,0,0,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
4,1,27,6,1,1324,18,6,1,0,0,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
5,1,27,6,1,2012,18,6,0,0,1,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
6,1,27,6,1,779,18,6,0,0,1,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
7,1,27,6,1,1681,18,6,0,0,1,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
8,1,27,6,1,1682,18,6,0,1,0,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
9,1,27,6,1,1456,18,6,0,1,0,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
10,1,27,6,1,474,18,6,0,1,0,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
11,1,27,6,1,697,18,6,0,1,0,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
12,1,27,6,1,894,18,6,0,1,0,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
13,1,27,6,1,1547,18,6,0,0,1,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
14,1,27,6,1,948,18,6,1,0,0,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
15,1,27,6,1,1056,18,6,1,0,0,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
16,1,27,6,1,1031,18,6,1,0,0,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
17,1,27,6,1,1311,18,6,0,0,1,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
18,1,27,6,1,1544,18,6,0,1,0,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
19,1,27,6,1,451,18,6,0,1,0,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
20,1,27,6,1,917,18,6,0,1,0,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
21,1,27,6,1,366,18,6,0,1,0,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
22,1,27,6,1,1182,18,6,0,1,0,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
23,1,27,6,1,1334,18,6,0,1,0,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
24,1,27,6,1,2611,18,6,0,0,1,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
25,1,27,6,1,853,18,6,0,1,0,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
27,1,27,6,1,1907,18,6,0,0,1,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
28,1,27,6,1,212,18,6,0,0,1,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
29,1,27,6,1,1171,18,6,0,1,0,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
30,1,27,6,1,1514,18,6,0,1,0,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
31,1,27,6,1,229,18,6,0,1,0,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
32,1,27,6,1,362,18,6,0,1,0,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
33,1,27,6,1,544,18,6,0,1,0,0,0,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
