"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,29,11,3,1538,11,11,0,1,1,0,0,1,64364,1169936,0,0.99176283195143,0.956677318801945,11,1,0.71,0.291,0.097,0,0,1,11,1
2,1,29,11,3,3949,11,11,1,0,0,0,0,0,64364,1169936,0,0.99176283195143,0.956677318801945,11,1,0.71,0.291,0.097,0,0,1,11,1
3,1,29,11,3,3848,11,11,1,0,0,0,0,0,64364,1169936,0,0.99176283195143,0.956677318801945,11,1,0.71,0.291,0.097,0,0,1,11,1
4,1,29,11,3,832,11,11,0,1,1,0,0,0,64364,1169936,0,0.99176283195143,0.956677318801945,11,1,0.71,0.291,0.097,0,0,1,11,1
5,2,29,11,2,3165,11,11,1,0,0,0,0,0,64364,1169936,0,1.01629991000476,0.956677318801945,11,1,1,0,0,0,1,0,11,1
6,2,29,11,2,1143,11,11,1,0,0,0,0,0,64364,1169936,0,1.01629991000476,0.956677318801945,11,1,1,0,0,0,1,0,11,1
7,2,29,11,2,442,11,11,1,0,0,0,0,0,64364,1169936,0,1.01629991000476,0.956677318801945,11,1,1,0,0,0,1,0,11,1
8,2,29,11,2,2704,11,11,1,0,0,0,0,0,64364,1169936,0,1.01629991000476,0.956677318801945,11,1,1,0,0,0,1,0,11,1
9,2,29,11,2,2223,11,11,1,0,0,0,0,0,64364,1169936,0,1.01629991000476,0.956677318801945,11,1,1,0,0,0,1,0,11,1
10,2,29,11,2,3402,11,11,1,0,0,0,0,0,64364,1169936,0,1.01629991000476,0.956677318801945,11,1,1,0,0,0,1,0,11,1
11,2,29,11,2,1057,11,11,1,0,0,0,0,0,64364,1169936,0,1.01629991000476,0.956677318801945,11,1,1,0,0,0,1,0,11,1
12,3,29,17,15,1335,17,17,1,0,0,0,1,0,54758,1169936,0,0.984988625705737,1.12450379757055,17,1,0.743,0.257,0.114,0,1,0,17,1
13,3,29,17,16,2516,17,17,1,0,0,0,0,0,54758,1169936,0,0.841667859694206,1.12450379757055,17,1,0.743,0.257,0.057,0,0.889,0.111,17,1
14,3,29,17,16,6027,17,17,1,0,0,0,1,0,54758,1169936,0,0.841667859694206,1.12450379757055,17,1,0.743,0.257,0.057,0,0.889,0.111,17,1
15,3,29,17,16,2090,17,17,1,0,0,0,0,0,54758,1169936,0,0.841667859694206,1.12450379757055,17,1,0.743,0.257,0.057,0,0.889,0.111,17,1
16,3,29,17,15,1791,17,17,0,1,1,0,0,0,54758,1169936,0,0.984988625705737,1.12450379757055,17,1,0.743,0.257,0.114,0,1,0,17,1
