"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,4,11,2,730,9,11,1,0,0,0,1,0,38604,794284,0,0.990884378691876,0.979770169387826,1,0.273,1,0,0,0.273,0.727,0,1,0.333
2,1,4,11,2,871,9,11,1,0,0,1,0,0,38604,794284,0,0.990884378691876,0.979770169387826,1,0.273,1,0,0,0.273,0.727,0,1,0.333
3,1,4,11,2,787,9,11,1,0,0,0,1,0,38604,794284,0,0.990884378691876,0.979770169387826,1,0.273,1,0,0,0.273,0.727,0,1,0.333
4,1,4,5,2,14373,10,5,1,0,0,0,0,0,37942,794284,0,0.990884378691876,0.996864889016067,1,0.208,1,0,0,0.273,0.727,0,1,0.231
5,1,4,11,2,1298,9,11,1,0,0,0,0,0,38604,794284,0,0.990884378691876,0.979770169387826,1,0.273,1,0,0,0.273,0.727,0,1,0.333
6,1,4,11,2,1318,9,11,1,0,0,0,1,0,38604,794284,0,0.990884378691876,0.979770169387826,1,0.273,1,0,0,0.273,0.727,0,1,0.333
7,1,4,11,1,1276,9,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,1,0.273,1,0,0,0.08,0.92,0,1,0.333
8,1,4,11,2,1025,9,11,1,0,0,1,0,0,38604,794284,0,0.990884378691876,0.979770169387826,1,0.273,1,0,0,0.273,0.727,0,1,0.333
9,1,4,7,2,6613,9,7,1,0,0,0,0,0,38556,794284,0,0.990884378691876,0.980989926834931,1,0.273,1,0,0,0.273,0.727,0,1,0.333
10,1,4,5,1,1352,10,5,1,0,0,0,0,0,37942,794284,0,1.14988136135493,0.996864889016067,1,0.208,1,0,0,0.08,0.92,0,1,0.231
11,1,4,11,1,1003,9,11,1,0,0,0,0,0,38604,794284,0,1.14988136135493,0.979770169387826,1,0.273,1,0,0,0.08,0.92,0,1,0.333
12,1,4,11,1,1743,9,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,1,0.273,1,0,0,0.08,0.92,0,1,0.333
13,1,4,5,1,1538,10,5,1,0,0,1,0,0,37942,794284,0,1.14988136135493,0.996864889016067,1,0.208,1,0,0,0.08,0.92,0,1,0.231
14,1,4,5,1,1335,10,5,1,0,0,0,1,0,37942,794284,0,1.14988136135493,0.996864889016067,1,0.208,1,0,0,0.08,0.92,0,1,0.231
15,1,4,5,2,1392,10,5,1,0,0,0,0,0,37942,794284,0,0.990884378691876,0.996864889016067,1,0.208,1,0,0,0.273,0.727,0,1,0.231
16,1,4,5,2,1380,10,5,1,0,0,0,0,0,37942,794284,0,0.990884378691876,0.996864889016067,1,0.208,1,0,0,0.273,0.727,0,1,0.231
17,1,4,7,7,7054,7,7,0,1,1,1,0,0,38556,794284,0,0.812019313833436,0.980989926834931,7,0.581,0.12,0.88,0.16,0.214,0.786,0,7,0.308
18,1,4,7,2,852,7,7,1,0,0,0,1,0,38556,794284,0,0.990884378691876,0.980989926834931,7,0.581,1,0,0,0.273,0.727,0,7,0.308
19,1,4,5,2,1264,10,5,1,0,0,1,0,0,37942,794284,0,0.990884378691876,0.996864889016067,1,0.208,1,0,0,0.273,0.727,0,1,0.231
20,1,4,5,2,1527,10,5,1,0,0,0,1,0,37942,794284,0,0.990884378691876,0.996864889016067,1,0.208,1,0,0,0.273,0.727,0,1,0.231
21,1,4,5,1,2006,10,5,1,0,0,0,1,0,37942,794284,0,1.14988136135493,0.996864889016067,1,0.208,1,0,0,0.08,0.92,0,1,0.231
22,1,4,5,1,1196,10,5,1,0,0,0,1,0,37942,794284,0,1.14988136135493,0.996864889016067,1,0.208,1,0,0,0.08,0.92,0,1,0.231
23,1,4,5,1,1060,10,5,1,0,0,0,1,0,37942,794284,0,1.14988136135493,0.996864889016067,1,0.208,1,0,0,0.08,0.92,0,1,0.231
24,1,4,11,1,1225,9,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,1,0.273,1,0,0,0.08,0.92,0,1,0.333
25,1,4,11,1,664,9,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,1,0.273,1,0,0,0.08,0.92,0,1,0.333
26,1,4,11,1,1202,9,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,1,0.273,1,0,0,0.08,0.92,0,1,0.333
27,1,4,11,1,1234,9,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,1,0.273,1,0,0,0.08,0.92,0,1,0.333
28,1,4,9,1,473,9,9,1,0,0,0,1,0,38322,794284,0,1.14988136135493,0.986980001540828,1,0.273,1,0,0,0.08,0.92,0,1,0.333
29,1,4,11,1,866,9,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,1,0.273,1,0,0,0.08,0.92,0,1,0.333
30,1,4,11,1,834,9,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,1,0.273,1,0,0,0.08,0.92,0,1,0.333
31,1,4,11,1,755,9,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,1,0.273,1,0,0,0.08,0.92,0,1,0.333
32,1,4,5,1,953,10,5,1,0,0,0,1,0,37942,794284,0,1.14988136135493,0.996864889016067,1,0.208,1,0,0,0.08,0.92,0,1,0.231
33,1,4,5,1,1145,10,5,1,0,0,0,0,0,37942,794284,0,1.14988136135493,0.996864889016067,1,0.208,1,0,0,0.08,0.92,0,1,0.231
34,1,4,5,1,1621,10,5,1,0,0,0,1,0,37942,794284,0,1.14988136135493,0.996864889016067,1,0.208,1,0,0,0.08,0.92,0,1,0.231
35,1,4,5,2,1308,10,5,1,0,0,0,1,0,37942,794284,0,0.990884378691876,0.996864889016067,1,0.208,1,0,0,0.273,0.727,0,1,0.231
36,1,4,5,2,1395,10,5,1,0,0,0,0,0,37942,794284,0,0.990884378691876,0.996864889016067,1,0.208,1,0,0,0.273,0.727,0,1,0.231
37,1,4,5,2,1141,10,5,1,0,0,0,1,0,37942,794284,0,0.990884378691876,0.996864889016067,1,0.208,1,0,0,0.273,0.727,0,1,0.231
38,1,4,7,2,897,7,7,1,0,0,0,1,0,38556,794284,0,0.990884378691876,0.980989926834931,7,0.581,1,0,0,0.273,0.727,0,7,0.308
39,1,4,7,3,2817,7,7,1,0,0,0,1,0,38556,794284,0,1.00767410734108,0.980989926834931,7,0.581,1,0,0,0,1,0,7,0.308
40,1,4,5,3,927,10,5,1,0,0,0,1,0,37942,794284,0,1.00767410734108,0.996864889016067,1,0.208,1,0,0,0,1,0,1,0.231
41,1,4,5,3,1029,10,5,1,0,0,0,1,0,37942,794284,0,1.00767410734108,0.996864889016067,1,0.208,1,0,0,0,1,0,1,0.231
42,1,4,8,3,1330,5,8,1,0,0,0,1,0,38563,794284,0,1.00767410734108,0.980811856418007,3,0.692,1,0,0,0,1,0,3,0.545
43,1,4,8,1,1186,5,8,1,0,0,0,1,0,38563,794284,0,1.14988136135493,0.980811856418007,3,0.692,1,0,0,0.08,0.92,0,3,0.545
44,1,4,11,1,1045,5,11,1,0,0,0,0,0,38604,794284,0,1.14988136135493,0.979770169387826,3,0.692,1,0,0,0.08,0.92,0,3,0.545
45,1,4,11,1,941,5,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,3,0.692,1,0,0,0.08,0.92,0,3,0.545
46,1,4,11,1,1102,5,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,3,0.692,1,0,0,0.08,0.92,0,3,0.545
