"seccion","munn","edon","disloc2017","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2017","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,25,3,3,19421,19,3,1,0,0,0,0,0,113387,2735853,0,0.468559123829567,1.00535224496635,4,0.403,0.684,0.317,0.102,0.123,0.877,0,4,0.416
2,1,25,3,3,302,19,3,1,0,0,0,0,0,113387,2735853,0,0.468559123829567,1.00535224496635,4,0.403,0.684,0.317,0.102,0.123,0.877,0,4,0.416
3,1,25,3,3,1399,19,3,1,0,0,0,1,0,113387,2735853,0,0.468559123829567,1.00535224496635,4,0.403,0.684,0.317,0.102,0.123,0.877,0,4,0.416
4,1,25,3,3,419,19,3,1,0,0,0,0,0,113387,2735853,0,0.468559123829567,1.00535224496635,4,0.403,0.684,0.317,0.102,0.123,0.877,0,4,0.416
5,1,25,3,3,612,19,3,1,0,0,0,0,0,113387,2735853,0,0.468559123829567,1.00535224496635,4,0.403,0.684,0.317,0.102,0.123,0.877,0,4,0.416
6,1,25,3,3,320,19,3,1,0,0,0,0,0,113387,2735853,0,0.468559123829567,1.00535224496635,4,0.403,0.684,0.317,0.102,0.123,0.877,0,4,0.416
7,1,25,3,3,791,24,3,1,0,0,0,1,0,113387,2735853,0,0.468559123829567,1.00535224496635,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
8,1,25,3,3,679,24,3,1,0,0,0,0,0,113387,2735853,0,0.468559123829567,1.00535224496635,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
9,1,25,3,3,469,24,3,1,0,0,0,0,0,113387,2735853,0,0.468559123829567,1.00535224496635,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
10,1,25,3,3,464,24,3,1,0,0,0,1,0,113387,2735853,0,0.468559123829567,1.00535224496635,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
11,1,25,3,3,528,24,3,1,0,0,0,1,0,113387,2735853,0,0.468559123829567,1.00535224496635,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
12,1,25,3,3,351,24,3,1,0,0,0,0,0,113387,2735853,0,0.468559123829567,1.00535224496635,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
13,1,25,3,3,438,24,3,1,0,0,0,0,0,113387,2735853,0,0.468559123829567,1.00535224496635,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
14,1,25,3,3,1161,24,3,1,0,0,0,1,0,113387,2735853,0,0.468559123829567,1.00535224496635,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
15,1,25,9,3,414,24,9,1,0,0,0,1,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
16,1,25,9,3,407,24,9,1,0,0,0,0,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
17,1,25,9,3,342,24,9,1,0,0,0,0,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
18,1,25,9,3,397,24,9,1,0,0,0,1,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
19,1,25,9,3,1388,24,9,1,0,0,1,0,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
20,1,25,9,3,610,24,9,1,0,0,0,0,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
21,1,25,9,3,512,24,9,1,0,0,0,0,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
22,1,25,9,3,924,24,9,1,0,0,1,0,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
23,1,25,9,3,1453,24,9,1,0,0,1,0,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
24,1,25,9,3,5513,24,9,1,0,0,0,0,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
25,1,25,9,3,15041,24,9,1,0,0,0,0,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
26,1,25,9,3,1074,24,9,1,0,0,0,1,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
27,1,25,9,3,388,24,9,1,0,0,0,1,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
28,1,25,9,3,569,24,9,1,0,0,0,0,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
29,1,25,9,3,417,24,9,1,0,0,0,0,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
30,1,25,9,3,420,24,9,1,0,0,1,0,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
31,1,25,9,3,198,24,9,1,0,0,0,1,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.376,0.684,0.317,0.102,0.123,0.877,0,3,0.363
