"seccion","munn","edon","disloc2017","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2017","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,31,1,8,1645,8,1,1,0,0,0,1,0,121828,1908167,0,1.06560729553216,1.04418633921047,14,0.355,0.458,0.542,0.181,0.074,0.926,0,14,0.343
2,1,31,1,8,276,8,1,0,1,0,0,1,0,121828,1908167,0,1.06560729553216,1.04418633921047,14,0.355,0.458,0.542,0.181,0.074,0.926,0,14,0.343
3,1,31,1,8,271,8,1,0,1,0,0,1,0,121828,1908167,0,1.06560729553216,1.04418633921047,14,0.355,0.458,0.542,0.181,0.074,0.926,0,14,0.343
4,1,31,1,8,1346,8,1,0,1,0,0,0,0,121828,1908167,0,1.06560729553216,1.04418633921047,14,0.355,0.458,0.542,0.181,0.074,0.926,0,14,0.343
5,1,31,1,8,2323,8,1,1,0,0,0,0,0,121828,1908167,0,1.06560729553216,1.04418633921047,14,0.355,0.458,0.542,0.181,0.074,0.926,0,14,0.343
6,1,31,1,8,494,8,1,0,1,0,0,1,0,121828,1908167,0,1.06560729553216,1.04418633921047,14,0.355,0.458,0.542,0.181,0.074,0.926,0,14,0.343
7,2,31,2,14,2691,8,2,1,0,0,0,1,0,127951,1908167,0,1.00424028082585,0.994217578083277,14,0.355,0.373,0.627,0.225,0.105,0.895,0,14,0.343
8,2,31,2,14,2597,8,2,1,0,0,0,0,0,127951,1908167,0,1.00424028082585,0.994217578083277,14,0.355,0.373,0.627,0.225,0.105,0.895,0,14,0.343
9,2,31,2,14,3782,8,2,1,0,0,0,0,0,127951,1908167,0,1.00424028082585,0.994217578083277,14,0.355,0.373,0.627,0.225,0.105,0.895,0,14,0.343
10,2,31,2,14,2902,8,2,0,1,1,0,1,0,127951,1908167,0,1.00424028082585,0.994217578083277,14,0.355,0.373,0.627,0.225,0.105,0.895,0,14,0.343
11,2,31,2,14,935,8,2,0,1,0,0,1,0,127951,1908167,0,1.00424028082585,0.994217578083277,14,0.355,0.373,0.627,0.225,0.105,0.895,0,14,0.343
12,2,31,2,14,1660,8,2,1,0,0,0,0,0,127951,1908167,0,1.00424028082585,0.994217578083277,14,0.355,0.373,0.627,0.225,0.105,0.895,0,14,0.343
13,2,31,2,14,769,8,2,0,1,0,0,0,0,127951,1908167,0,1.00424028082585,0.994217578083277,14,0.355,0.373,0.627,0.225,0.105,0.895,0,14,0.343
14,3,31,3,12,1925,7,3,1,0,0,0,1,0,130472,1908167,0,0.926323888860571,0.975007153514419,12,0.437,0.4,0.6,0.2,0.147,0.853,0,12,0.423
15,3,31,3,12,2101,7,3,0,1,1,0,1,0,130472,1908167,0,0.926323888860571,0.975007153514419,12,0.437,0.4,0.6,0.2,0.147,0.853,0,12,0.423
16,3,31,3,12,2083,7,3,1,0,0,0,0,0,130472,1908167,0,0.926323888860571,0.975007153514419,12,0.437,0.4,0.6,0.2,0.147,0.853,0,12,0.423
17,3,31,3,12,2594,7,3,1,0,0,0,0,0,130472,1908167,0,0.926323888860571,0.975007153514419,12,0.437,0.4,0.6,0.2,0.147,0.853,0,12,0.423
18,3,31,3,12,1644,7,3,0,1,1,0,1,0,130472,1908167,0,0.926323888860571,0.975007153514419,12,0.437,0.4,0.6,0.2,0.147,0.853,0,12,0.423
20,4,31,4,9,1807,3,4,1,0,0,0,1,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
21,4,31,4,9,1258,3,4,1,0,0,0,0,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
22,4,31,4,9,921,3,4,0,1,1,0,1,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
23,4,31,4,9,813,3,4,1,0,0,0,1,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
24,4,31,4,9,882,3,4,0,1,0,0,0,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
25,5,31,5,9,999,6,5,1,0,0,0,0,0,125533,1908167,0,0.928311258680872,1.0133680652365,15,0.249,0.552,0.447,0.152,0.067,0.933,0,15,0.268
26,5,31,5,9,1054,6,5,1,0,0,0,1,0,125533,1908167,0,0.928311258680872,1.0133680652365,15,0.249,0.552,0.447,0.152,0.067,0.933,0,15,0.268
27,6,31,5,10,2149,6,5,1,0,0,1,0,0,125533,1908167,0,0.94730082608523,1.0133680652365,15,0.249,0.393,0.607,0.238,0.233,0.767,0,15,0.268
28,6,31,5,10,2399,6,5,1,0,0,0,0,0,125533,1908167,0,0.94730082608523,1.0133680652365,15,0.249,0.393,0.607,0.238,0.233,0.767,0,15,0.268
29,6,31,5,10,1746,6,5,0,1,1,0,0,0,125533,1908167,0,0.94730082608523,1.0133680652365,15,0.249,0.393,0.607,0.238,0.233,0.767,0,15,0.268
30,6,31,5,10,1256,6,5,0,1,1,0,1,0,125533,1908167,0,0.94730082608523,1.0133680652365,15,0.249,0.393,0.607,0.238,0.233,0.767,0,15,0.268
31,6,31,5,10,468,6,5,0,1,1,1,0,0,125533,1908167,0,0.94730082608523,1.0133680652365,15,0.249,0.393,0.607,0.238,0.233,0.767,0,15,0.268
32,6,31,5,10,621,6,5,0,1,0,0,0,0,125533,1908167,0,0.94730082608523,1.0133680652365,15,0.249,0.393,0.607,0.238,0.233,0.767,0,15,0.268
33,7,31,5,9,1214,6,5,0,1,1,0,1,0,125533,1908167,0,0.928311258680872,1.0133680652365,15,0.249,0.552,0.447,0.152,0.067,0.933,0,15,0.268
34,7,31,5,9,1984,6,5,1,0,0,0,1,0,125533,1908167,0,0.928311258680872,1.0133680652365,15,0.249,0.552,0.447,0.152,0.067,0.933,0,15,0.268
35,7,31,5,9,1640,6,5,1,0,0,0,1,0,125533,1908167,0,0.928311258680872,1.0133680652365,15,0.249,0.552,0.447,0.152,0.067,0.933,0,15,0.268
36,7,31,5,9,1965,6,5,1,0,0,0,0,0,125533,1908167,0,0.928311258680872,1.0133680652365,15,0.249,0.552,0.447,0.152,0.067,0.933,0,15,0.268
37,8,31,6,11,1489,4,6,1,0,0,0,1,0,124035,1908167,0,0.943800790388715,1.02560675078271,10,0.531,0.366,0.635,0.22,0.065,0.935,0,10,0.478
38,8,31,6,11,1325,4,6,0,1,1,0,1,0,124035,1908167,0,0.943800790388715,1.02560675078271,10,0.531,0.366,0.635,0.22,0.065,0.935,0,10,0.478
39,8,31,6,11,471,4,6,0,1,0,0,1,0,124035,1908167,0,0.943800790388715,1.02560675078271,10,0.531,0.366,0.635,0.22,0.065,0.935,0,10,0.478
40,8,31,6,11,948,4,6,0,1,1,0,0,0,124035,1908167,0,0.943800790388715,1.02560675078271,10,0.531,0.366,0.635,0.22,0.065,0.935,0,10,0.478
41,9,31,5,10,1058,6,5,0,1,1,0,1,0,125533,1908167,0,0.94730082608523,1.0133680652365,15,0.249,0.393,0.607,0.238,0.233,0.767,0,15,0.268
42,9,31,5,10,976,6,5,1,0,0,0,1,0,125533,1908167,0,0.94730082608523,1.0133680652365,15,0.249,0.393,0.607,0.238,0.233,0.767,0,15,0.268
43,9,31,5,10,1070,6,5,1,0,0,0,1,0,125533,1908167,0,0.94730082608523,1.0133680652365,15,0.249,0.393,0.607,0.238,0.233,0.767,0,15,0.268
44,9,31,5,10,1191,6,5,1,0,0,0,0,0,125533,1908167,0,0.94730082608523,1.0133680652365,15,0.249,0.393,0.607,0.238,0.233,0.767,0,15,0.268
45,9,31,5,10,213,6,5,0,1,0,0,0,0,125533,1908167,0,0.94730082608523,1.0133680652365,15,0.249,0.393,0.607,0.238,0.233,0.767,0,15,0.268
46,9,31,5,10,189,6,5,0,1,0,1,0,0,125533,1908167,0,0.94730082608523,1.0133680652365,15,0.249,0.393,0.607,0.238,0.233,0.767,0,15,0.268
47,10,31,7,15,1711,9,7,0,1,1,0,1,0,123265,1908167,0,0.933961303711535,1.03201341283684,15,0.305,0.29,0.711,0.225,0.138,0.862,0,15,0.342
48,10,31,7,15,428,9,7,0,1,0,0,0,0,123265,1908167,0,0.933961303711535,1.03201341283684,15,0.305,0.29,0.711,0.225,0.138,0.862,0,15,0.342
49,10,31,7,15,268,9,7,0,1,0,0,0,0,123265,1908167,0,0.933961303711535,1.03201341283684,15,0.305,0.29,0.711,0.225,0.138,0.862,0,15,0.342
50,11,31,1,8,1253,5,1,0,1,1,0,1,0,121828,1908167,0,1.06560729553216,1.04418633921047,13,0.364,0.458,0.542,0.181,0.074,0.926,0,13,0.392
51,11,31,1,8,3135,5,1,1,0,0,0,1,0,121828,1908167,0,1.06560729553216,1.04418633921047,13,0.364,0.458,0.542,0.181,0.074,0.926,0,13,0.392
52,11,31,1,8,900,5,1,1,0,0,0,0,0,121828,1908167,0,1.06560729553216,1.04418633921047,13,0.364,0.458,0.542,0.181,0.074,0.926,0,13,0.392
53,11,31,1,8,1543,5,1,1,0,0,0,0,0,121828,1908167,0,1.06560729553216,1.04418633921047,13,0.364,0.458,0.542,0.181,0.074,0.926,0,13,0.392
54,12,31,5,15,538,6,5,0,1,1,0,0,0,125533,1908167,0,0.933961303711535,1.0133680652365,15,0.249,0.29,0.711,0.225,0.138,0.862,0,15,0.268
55,12,31,5,15,1028,6,5,1,0,0,1,0,0,125533,1908167,0,0.933961303711535,1.0133680652365,15,0.249,0.29,0.711,0.225,0.138,0.862,0,15,0.268
56,12,31,5,15,972,6,5,1,0,0,0,0,0,125533,1908167,0,0.933961303711535,1.0133680652365,15,0.249,0.29,0.711,0.225,0.138,0.862,0,15,0.268
57,12,31,5,15,759,6,5,1,0,0,0,0,0,125533,1908167,0,0.933961303711535,1.0133680652365,15,0.249,0.29,0.711,0.225,0.138,0.862,0,15,0.268
58,12,31,5,15,401,6,5,0,1,0,0,1,0,125533,1908167,0,0.933961303711535,1.0133680652365,15,0.249,0.29,0.711,0.225,0.138,0.862,0,15,0.268
59,13,31,4,9,2209,3,4,1,0,0,0,1,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
60,13,31,4,9,1568,3,4,0,1,1,0,0,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
61,13,31,4,9,2319,3,4,1,0,0,0,0,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
62,13,31,4,9,1319,3,4,1,0,0,0,1,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
63,13,31,4,9,139,3,4,0,1,0,0,1,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
64,13,31,4,9,1591,3,4,0,1,0,0,0,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
65,14,31,8,15,1314,9,8,1,0,0,0,1,0,131312,1908167,0,0.933961303711535,0.968770054018927,15,0.305,0.29,0.711,0.225,0.138,0.862,0,15,0.342
66,14,31,8,15,198,9,8,0,1,0,0,0,0,131312,1908167,0,0.933961303711535,0.968770054018927,15,0.305,0.29,0.711,0.225,0.138,0.862,0,15,0.342
67,15,31,7,14,1480,8,7,1,0,0,0,1,0,123265,1908167,0,1.00424028082585,1.03201341283684,14,0.355,0.373,0.627,0.225,0.105,0.895,0,14,0.343
68,15,31,7,14,2602,8,7,0,1,1,0,0,0,123265,1908167,0,1.00424028082585,1.03201341283684,14,0.355,0.373,0.627,0.225,0.105,0.895,0,14,0.343
69,15,31,7,14,886,8,7,0,1,0,0,0,0,123265,1908167,0,1.00424028082585,1.03201341283684,14,0.355,0.373,0.627,0.225,0.105,0.895,0,14,0.343
70,16,31,3,12,2821,9,3,0,1,1,0,1,0,130472,1908167,0,0.926323888860571,0.975007153514419,15,0.305,0.4,0.6,0.2,0.147,0.853,0,15,0.342
71,17,31,7,15,1703,9,7,0,1,1,0,1,0,123265,1908167,0,0.933961303711535,1.03201341283684,15,0.305,0.29,0.711,0.225,0.138,0.862,0,15,0.342
72,17,31,7,15,1124,9,7,0,1,0,0,0,0,123265,1908167,0,0.933961303711535,1.03201341283684,15,0.305,0.29,0.711,0.225,0.138,0.862,0,15,0.342
73,17,31,7,15,867,9,7,0,1,0,0,0,0,123265,1908167,0,0.933961303711535,1.03201341283684,15,0.305,0.29,0.711,0.225,0.138,0.862,0,15,0.342
74,17,31,7,15,789,9,7,0,1,0,0,0,0,123265,1908167,0,0.933961303711535,1.03201341283684,15,0.305,0.29,0.711,0.225,0.138,0.862,0,15,0.342
75,18,31,9,12,652,8,9,1,0,0,0,1,0,124649,1908167,0,0.926323888860571,1.02055478450155,14,0.355,0.4,0.6,0.2,0.147,0.853,0,14,0.343
76,18,31,9,13,1498,8,9,1,0,0,0,0,0,124649,1908167,0,1.05645680560515,1.02055478450155,14,0.355,0.407,0.593,0.21,0,1,0,14,0.343
77,18,31,9,13,885,8,9,0,1,0,0,0,0,124649,1908167,0,1.05645680560515,1.02055478450155,14,0.355,0.407,0.593,0.21,0,1,0,14,0.343
78,19,31,8,11,4761,1,8,1,0,0,0,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
79,19,31,8,11,2999,1,8,1,0,0,1,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
80,19,31,8,11,2562,1,8,1,0,0,0,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
81,19,31,8,11,4229,1,8,1,0,0,0,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
82,19,31,8,11,2096,1,8,0,1,0,0,1,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
83,19,31,8,11,2984,1,8,1,0,0,0,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
84,19,31,8,11,2262,1,8,0,1,1,0,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
85,19,31,8,11,1202,1,8,0,1,0,0,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
86,19,31,8,11,3574,1,8,0,1,1,0,1,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
87,19,31,8,11,919,1,8,0,1,0,1,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
88,19,31,8,11,2614,1,8,0,1,1,0,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
89,19,31,8,11,2675,1,8,0,1,1,0,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
90,19,31,8,11,1244,1,8,0,1,0,0,1,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
91,20,31,4,9,2469,3,4,1,0,0,0,1,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
92,20,31,4,9,1639,3,4,0,1,1,0,0,0,128179,1908167,0,0.928311258680872,0.99244910112681,9,0.894,0.552,0.447,0.152,0.067,0.933,0,9,0.891
93,21,31,8,11,1884,1,8,1,0,0,0,1,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
94,21,31,8,11,1894,1,8,1,0,0,0,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
95,21,31,8,11,1772,1,8,0,1,1,0,1,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
96,21,31,8,11,969,1,8,0,1,0,0,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
97,21,31,8,11,605,1,8,0,1,0,0,0,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
98,21,31,8,11,818,1,8,0,1,0,0,1,0,131312,1908167,0,0.943800790388715,0.968770054018927,11,0.819,0.366,0.635,0.22,0.065,0.935,0,11,0.765
99,22,31,8,15,2699,9,8,0,1,1,0,1,0,131312,1908167,0,0.933961303711535,0.968770054018927,15,0.305,0.29,0.711,0.225,0.138,0.862,0,15,0.342
101,22,31,8,15,596,9,8,0,1,0,0,0,0,131312,1908167,0,0.933961303711535,0.968770054018927,15,0.305,0.29,0.711,0.225,0.138,0.862,0,15,0.342
102,22,31,8,15,942,9,8,0,1,0,0,1,0,131312,1908167,0,0.933961303711535,0.968770054018927,15,0.305,0.29,0.711,0.225,0.138,0.862,0,15,0.342
103,23,31,1,8,1415,5,1,1,0,0,0,1,0,121828,1908167,0,1.06560729553216,1.04418633921047,13,0.364,0.458,0.542,0.181,0.074,0.926,0,13,0.392
104,23,31,1,8,1373,5,1,0,1,1,0,0,0,121828,1908167,0,1.06560729553216,1.04418633921047,13,0.364,0.458,0.542,0.181,0.074,0.926,0,13,0.392
105,23,31,1,8,1742,5,1,1,0,0,0,0,0,121828,1908167,0,1.06560729553216,1.04418633921047,13,0.364,0.458,0.542,0.181,0.074,0.926,0,13,0.392
