"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,8,11,1,732,1,1,0,1,1,0,1,0,158480,3296689,0,1.12516518996846,0.945542024230187,10,0.634,0.54,0.46,0.098,0.063,0.929,0.008,10,0.534
2,1,8,11,1,559,1,1,1,0,0,0,1,0,158480,3296689,0,1.12516518996846,0.945542024230187,10,0.634,0.54,0.46,0.098,0.063,0.929,0.008,10,0.534
3,1,8,11,1,835,1,1,1,0,0,0,1,0,158480,3296689,0,1.12516518996846,0.945542024230187,10,0.634,0.54,0.46,0.098,0.063,0.929,0.008,10,0.534
4,1,8,11,1,728,1,1,1,0,0,0,1,0,158480,3296689,0,1.12516518996846,0.945542024230187,10,0.634,0.54,0.46,0.098,0.063,0.929,0.008,10,0.534
5,1,8,11,1,1094,1,1,1,0,0,0,1,0,158480,3296689,0,1.12516518996846,0.945542024230187,10,0.634,0.54,0.46,0.098,0.063,0.929,0.008,10,0.534
6,1,8,11,1,2581,1,1,0,1,1,0,1,0,158480,3296689,0,1.12516518996846,0.945542024230187,10,0.634,0.54,0.46,0.098,0.063,0.929,0.008,10,0.534
7,1,8,11,1,1070,1,1,1,0,0,0,1,0,158480,3296689,0,1.12516518996846,0.945542024230187,10,0.634,0.54,0.46,0.098,0.063,0.929,0.008,10,0.534
8,1,8,11,1,1183,1,1,1,0,0,0,1,0,158480,3296689,0,1.12516518996846,0.945542024230187,10,0.634,0.54,0.46,0.098,0.063,0.929,0.008,10,0.534
10,1,8,11,1,263,1,1,0,1,0,0,1,0,158480,3296689,0,1.12516518996846,0.945542024230187,10,0.634,0.54,0.46,0.098,0.063,0.929,0.008,10,0.534
11,1,8,11,1,117,1,1,0,1,0,0,1,0,158480,3296689,0,1.12516518996846,0.945542024230187,10,0.634,0.54,0.46,0.098,0.063,0.929,0.008,10,0.534
