"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,2,9,22,5,905,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
2,2,9,22,5,1109,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
3,2,9,22,5,1149,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
4,2,9,22,5,1077,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
5,2,9,22,5,1102,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
6,2,9,22,5,1010,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
7,2,9,22,5,850,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
8,2,9,22,5,1427,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
9,2,9,22,5,1006,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
10,2,9,22,5,1335,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
11,2,9,22,5,818,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
12,2,9,22,5,821,22,22,1,0,0,1,0,0,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
13,2,9,22,5,1225,22,22,1,0,0,1,0,0,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
14,2,9,22,5,868,22,22,1,0,0,1,0,0,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
15,2,9,22,5,882,22,22,1,0,0,1,0,0,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
16,2,9,22,5,1220,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
17,2,9,22,5,913,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
18,2,9,22,5,1010,22,22,1,0,0,0,0,0,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
19,2,9,22,5,899,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
20,2,9,22,5,812,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
21,2,9,22,5,1085,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
22,2,9,22,5,1163,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
23,2,9,22,5,912,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
24,2,9,22,5,937,22,22,1,0,0,0,0,0,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
25,2,9,22,5,846,22,22,1,0,0,0,0,0,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
26,2,9,22,5,861,22,22,1,0,0,0,0,0,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.759,1,0,0,0.148,0,0.852,5,0.76
