"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,12,8,8,1622,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
2,1,12,8,8,1438,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
3,1,12,8,8,3040,24,4,1,0,0,0,0,0,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
4,1,12,8,8,1299,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
5,1,12,8,8,997,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
6,1,12,8,8,1207,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
7,1,12,8,8,1671,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
8,1,12,8,8,1190,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
9,1,12,8,8,1085,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
10,1,12,8,8,1406,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
11,1,12,8,8,1315,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
12,1,12,8,8,1252,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
13,1,12,8,8,1803,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988
14,1,12,4,4,878,24,9,1,0,0,0,0,0,119589,3387049,0,1.01151473558844,1.01151473558844,4,1,1,0,0,0,0.079,0.921,4,1
15,1,12,4,4,1240,24,9,1,0,0,0,0,1,119589,3387049,0,1.01151473558844,1.01151473558844,4,1,1,0,0,0,0.079,0.921,4,1
