"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,17,9,9,1958,1,1,0,0,1,0,1,0,9,0.389,0.535,0.163,0.302,0,0.95,0.05,9,0.462
2,1,17,9,9,2049,1,1,0,0,1,0,1,0,9,0.389,0.535,0.163,0.302,0,0.95,0.05,9,0.462
3,1,17,9,9,2374,1,1,1,0,0,0,1,0,9,0.389,0.535,0.163,0.302,0,0.95,0.05,9,0.462
4,1,17,9,9,3054,1,1,0,0,1,0,0,0,9,0.389,0.535,0.163,0.302,0,0.95,0.05,9,0.462
5,1,17,9,9,890,1,1,0,1,0,0,0,0,9,0.389,0.535,0.163,0.302,0,0.95,0.05,9,0.462
6,1,17,9,9,1099,1,1,1,0,0,0,1,0,9,0.389,0.535,0.163,0.302,0,0.95,0.05,9,0.462
7,1,17,9,9,1172,1,1,1,0,0,0,1,0,9,0.389,0.535,0.163,0.302,0,0.95,0.05,9,0.462
8,1,17,9,9,971,1,1,1,0,0,0,0,0,9,0.389,0.535,0.163,0.302,0,0.95,0.05,9,0.462
9,1,17,9,9,811,1,1,0,1,0,0,0,0,9,0.389,0.535,0.163,0.302,0,0.95,0.05,9,0.462
10,1,17,9,9,1763,1,1,1,0,0,0,0,1,9,0.389,0.535,0.163,0.302,0,0.95,0.05,9,0.462
11,1,17,9,9,2347,1,1,0,1,0,0,1,0,9,0.389,0.535,0.163,0.302,0,0.95,0.05,9,0.462
12,2,17,4,13,1521,11,11,0,0,1,0,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
13,2,17,4,13,2181,11,11,0,0,1,0,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
14,2,17,4,13,2303,11,11,1,0,0,0,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
15,2,17,4,13,1273,11,11,0,0,1,0,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
16,2,17,4,13,2433,11,11,0,1,0,0,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
17,2,17,4,13,2116,11,11,0,1,0,0,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
18,2,17,4,13,982,11,11,0,1,0,0,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
19,2,17,4,13,2510,11,11,0,1,0,0,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
20,2,17,4,13,3348,11,11,1,0,0,0,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
21,2,17,4,13,2387,11,11,1,0,0,0,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
22,2,17,4,13,2315,11,11,1,0,0,1,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
23,2,17,4,13,2533,11,11,1,0,0,1,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
24,3,17,11,18,1065,2,2,1,0,0,0,0,0,11,0.6,0.59,0.148,0.262,0.182,0.636,0.182,11,0.633
25,3,17,11,18,1332,2,2,1,0,0,0,0,0,11,0.6,0.59,0.148,0.262,0.182,0.636,0.182,11,0.633
26,3,17,11,18,1835,2,2,1,0,0,0,0,0,11,0.6,0.59,0.148,0.262,0.182,0.636,0.182,11,0.633
27,3,17,11,18,1198,2,2,0,0,1,0,0,0,11,0.6,0.59,0.148,0.262,0.182,0.636,0.182,11,0.633
28,3,17,11,18,3224,2,2,1,0,0,0,0,0,11,0.6,0.59,0.148,0.262,0.182,0.636,0.182,11,0.633
29,3,17,11,18,1274,2,2,0,0,1,0,0,0,11,0.6,0.59,0.148,0.262,0.182,0.636,0.182,11,0.633
30,3,17,11,18,2114,2,2,1,0,0,0,0,0,11,0.6,0.59,0.148,0.262,0.182,0.636,0.182,11,0.633
