"seccion","munn","edon","disloc2016","disloc2007","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,30,1,10,2034,20,1,0,0,1,0,1,0,10,0.035,0.53,0.377,0.093,0.341,0.622,0.037,10,0.028
2,1,30,1,10,2071,20,1,0,1,0,0,0,0,10,0.035,0.53,0.377,0.093,0.341,0.622,0.037,10,0.028
3,1,30,1,10,3024,20,1,0,1,0,0,0,0,10,0.035,0.53,0.377,0.093,0.341,0.622,0.037,10,0.028
4,1,30,1,10,1085,20,1,0,1,0,0,0,0,10,0.035,0.53,0.377,0.093,0.341,0.622,0.037,10,0.028
5,2,30,2,10,1557,23,2,1,0,0,0,1,0,10,0.035,0.53,0.377,0.093,0.341,0.622,0.037,10,0.047
6,2,30,2,10,1557,23,2,0,0,1,0,1,0,10,0.035,0.53,0.377,0.093,0.341,0.622,0.037,10,0.047
7,3,30,3,10,4453,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
8,3,30,3,20,2056,13,3,1,0,0,0,0,0,10,0.027,0.909,0.045,0.045,0.125,0.25,0.625,10,0.025
9,3,30,3,NA,3599,13,3,1,0,0,0,0,0,10,0.027,0,0,0,0,0,0,10,0.025
10,3,30,3,10,3201,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
11,3,30,3,10,1192,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
12,3,30,3,10,1392,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
13,3,30,3,10,1029,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
14,3,30,3,10,2901,13,3,1,0,0,1,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
15,3,30,3,8,1839,13,3,1,0,0,0,1,0,10,0.027,0.416,0.521,0.064,0.212,0.753,0.035,10,0.025
16,3,30,3,12,1137,13,3,1,0,0,0,0,0,10,0.027,0.505,0.394,0.101,0.372,0.535,0.093,10,0.025
17,3,30,3,10,419,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
18,3,30,3,10,994,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
19,3,30,3,10,713,13,3,1,0,0,0,1,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
20,3,30,3,10,862,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
21,3,30,3,10,885,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
22,3,30,3,10,2884,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
23,3,30,3,8,1928,13,3,1,0,0,0,0,0,10,0.027,0.416,0.521,0.064,0.212,0.753,0.035,10,0.025
24,3,30,3,10,2207,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
25,3,30,3,10,2300,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
26,3,30,3,10,2641,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
27,3,30,3,10,2118,13,3,1,0,0,0,1,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
28,3,30,3,12,1513,13,3,1,0,0,0,0,0,10,0.027,0.505,0.394,0.101,0.372,0.535,0.093,10,0.025
29,3,30,3,10,986,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
30,3,30,3,10,1511,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
31,3,30,3,10,2194,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
32,3,30,3,10,2712,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
33,3,30,3,10,989,13,3,1,0,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
34,3,30,3,10,2187,13,3,1,0,0,0,1,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
35,3,30,3,NA,1585,13,3,0,1,0,0,1,0,10,0.027,0,0,0,0,0,0,10,0.025
36,3,30,3,10,2338,13,3,0,1,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
37,3,30,3,10,3004,13,3,0,1,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
38,3,30,3,28,2779,13,3,0,1,0,0,1,0,10,0.027,0.197,0.643,0.159,0.386,0.561,0.053,10,0.025
39,3,30,3,28,2329,13,3,0,1,0,0,1,0,10,0.027,0.197,0.643,0.159,0.386,0.561,0.053,10,0.025
40,3,30,3,10,1521,13,3,0,1,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
41,3,30,3,10,1598,13,3,0,1,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
42,3,30,3,10,3315,13,3,0,0,1,0,1,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
43,3,30,3,10,3984,13,3,0,1,0,0,1,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
44,3,30,3,10,2545,13,3,0,1,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
45,3,30,3,10,3566,13,3,0,1,0,0,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
46,3,30,3,10,1473,13,3,0,1,0,1,0,0,10,0.027,0.53,0.377,0.093,0.341,0.622,0.037,10,0.025
47,4,30,4,10,2328,8,4,1,0,0,0,0,0,10,0.031,0.53,0.377,0.093,0.341,0.622,0.037,10,0.034
48,4,30,4,10,1528,8,4,1,0,0,0,0,0,10,0.031,0.53,0.377,0.093,0.341,0.622,0.037,10,0.034
49,4,30,4,10,1301,8,4,0,0,1,0,0,0,10,0.031,0.53,0.377,0.093,0.341,0.622,0.037,10,0.034
50,4,30,4,10,1369,8,4,0,0,1,0,1,0,10,0.031,0.53,0.377,0.093,0.341,0.622,0.037,10,0.034
51,4,30,4,10,2002,8,4,0,1,0,1,0,0,10,0.031,0.53,0.377,0.093,0.341,0.622,0.037,10,0.034
52,4,30,4,10,2527,8,4,0,0,1,0,0,0,10,0.031,0.53,0.377,0.093,0.341,0.622,0.037,10,0.034
53,4,30,4,10,1327,8,4,0,1,0,0,0,0,10,0.031,0.53,0.377,0.093,0.341,0.622,0.037,10,0.034
54,4,30,4,10,433,8,4,0,1,0,0,0,0,10,0.031,0.53,0.377,0.093,0.341,0.622,0.037,10,0.034
55,4,30,4,10,969,8,4,0,1,0,0,1,0,10,0.031,0.53,0.377,0.093,0.341,0.622,0.037,10,0.034
56,4,30,4,10,675,8,4,0,1,0,0,0,0,10,0.031,0.53,0.377,0.093,0.341,0.622,0.037,10,0.034
57,4,30,4,10,999,8,4,0,1,0,0,0,0,10,0.031,0.53,0.377,0.093,0.341,0.622,0.037,10,0.034
