"seccion","munn","edon","disloc2016","disloc2007","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2007","RRI_2016","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,30,1,10,2034,20,1,0,1,1,0,1,0,243899,7485708,0,0.886904905773045,1.02306118516271,13,0.575,0.208,0.792,0.094,0.068,0.915,0.017,13,0.587
2,1,30,1,10,2071,20,1,0,1,0,0,0,0,243899,7485708,0,0.886904905773045,1.02306118516271,13,0.575,0.208,0.792,0.094,0.068,0.915,0.017,13,0.587
3,1,30,1,10,3024,20,1,0,1,0,0,0,0,243899,7485708,0,0.886904905773045,1.02306118516271,13,0.575,0.208,0.792,0.094,0.068,0.915,0.017,13,0.587
4,1,30,1,10,1085,20,1,0,1,0,0,0,0,243899,7485708,0,0.886904905773045,1.02306118516271,13,0.575,0.208,0.792,0.094,0.068,0.915,0.017,13,0.587
5,2,30,2,9,1557,23,2,1,0,0,0,1,0,250943,7485708,0,1.22875658639878,0.994343735429958,9,0.809,0.18,0.82,0.18,0.2,0.8,0,9,0.766
6,2,30,2,9,1557,23,2,0,1,1,0,1,0,250943,7485708,0,1.22875658639878,0.994343735429958,9,0.809,0.18,0.82,0.18,0.2,0.8,0,9,0.766
7,3,30,3,26,4453,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
8,3,30,3,26,2056,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
9,3,30,3,26,3599,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
10,3,30,3,26,3201,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
11,3,30,3,26,1192,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
12,3,30,3,26,1392,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
13,3,30,3,26,1029,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
14,3,30,3,26,2901,13,3,1,0,0,1,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
15,3,30,3,26,1839,13,3,1,0,0,0,1,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
16,3,30,3,26,1137,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
17,3,30,3,26,419,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
18,3,30,3,26,994,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
19,3,30,3,26,713,13,3,1,0,0,0,1,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
20,3,30,3,26,862,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
21,3,30,3,26,885,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
22,3,30,3,26,2884,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
23,3,30,3,26,1928,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
24,3,30,3,26,2207,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
25,3,30,3,26,2300,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
26,3,30,3,26,2641,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
27,3,30,3,26,2118,13,3,1,0,0,0,1,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
28,3,30,3,26,1513,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
29,3,30,3,26,986,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
30,3,30,3,26,1511,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
31,3,30,3,26,2194,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
32,3,30,3,26,2712,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
33,3,30,3,26,989,13,3,1,0,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
34,3,30,3,26,2187,13,3,1,0,0,0,1,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
35,3,30,3,26,1585,13,3,0,1,0,0,1,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
36,3,30,3,26,2338,13,3,0,1,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
37,3,30,3,26,3004,13,3,0,1,0,0,0,0,251820,7485708,0,0.93235933728412,0.990880787864347,26,0.62,0.445,0.555,0.023,0.161,0.839,0,26,0.6
