"seccion","munn","edon","disloc2017","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,31,1,8,1645,8,1,1,0,0,0,1,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
2,1,31,1,8,276,8,1,0,1,0,0,1,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
3,1,31,1,8,271,8,1,0,1,0,0,1,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
4,1,31,1,8,1346,8,1,0,1,0,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
5,1,31,1,8,2323,8,1,1,0,0,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
6,1,31,1,8,494,8,1,0,1,0,0,1,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
7,2,31,2,14,2691,8,2,1,0,0,0,1,0,14,0.169,0.481,0.228,0.291,0.105,0.895,0,14,0.212
8,2,31,2,14,2597,8,2,1,0,0,0,0,0,14,0.169,0.481,0.228,0.291,0.105,0.895,0,14,0.212
9,2,31,2,14,3782,8,2,1,0,0,0,0,0,14,0.169,0.481,0.228,0.291,0.105,0.895,0,14,0.212
10,2,31,2,14,2902,8,2,0,0,1,0,1,0,14,0.169,0.481,0.228,0.291,0.105,0.895,0,14,0.212
11,2,31,2,14,935,8,2,0,1,0,0,1,0,14,0.169,0.481,0.228,0.291,0.105,0.895,0,14,0.212
12,2,31,2,14,1660,8,2,1,0,0,0,0,0,14,0.169,0.481,0.228,0.291,0.105,0.895,0,14,0.212
13,2,31,2,14,769,8,2,0,1,0,0,0,0,14,0.169,0.481,0.228,0.291,0.105,0.895,0,14,0.212
14,3,31,3,12,1925,7,3,1,0,0,0,1,0,12,0.95,0.5,0.25,0.25,0.147,0.853,0,12,0.961
15,3,31,3,12,2101,7,3,0,0,1,0,1,0,12,0.95,0.5,0.25,0.25,0.147,0.853,0,12,0.961
16,3,31,3,12,2083,7,3,1,0,0,0,0,0,12,0.95,0.5,0.25,0.25,0.147,0.853,0,12,0.961
17,3,31,3,12,2594,7,3,1,0,0,0,0,0,12,0.95,0.5,0.25,0.25,0.147,0.853,0,12,0.961
18,3,31,3,12,1644,7,3,0,0,1,0,1,0,12,0.95,0.5,0.25,0.25,0.147,0.853,0,12,0.961
20,4,31,4,9,1807,3,4,1,0,0,0,1,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
21,4,31,4,9,1258,3,4,1,0,0,0,0,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
22,4,31,4,9,921,3,4,0,0,1,0,1,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
23,4,31,4,9,813,3,4,1,0,0,0,1,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
24,4,31,4,9,882,3,4,0,1,0,0,0,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
25,5,31,5,9,999,6,5,1,0,0,0,0,0,15,0.211,0.652,0.169,0.18,0.067,0.933,0,15,0.237
26,5,31,5,9,1054,6,5,1,0,0,0,1,0,15,0.211,0.652,0.169,0.18,0.067,0.933,0,15,0.237
27,6,31,5,10,2149,6,5,1,0,0,1,0,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
28,6,31,5,10,2399,6,5,1,0,0,0,0,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
29,6,31,5,10,1746,6,5,0,0,1,0,0,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
30,6,31,5,10,1256,6,5,0,0,1,0,1,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
31,6,31,5,10,468,6,5,0,0,1,1,0,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
32,6,31,5,10,621,6,5,0,1,0,0,0,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
