"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,1,11,6,2331,11,11,1,0,0,1,0,0,11,1,0.975,0,0.025,1,0,0,11,1
19,1,1,13,10,1189,13,13,1,0,0,1,0,0,13,1,0.907,0.047,0.047,0.974,0.026,0,13,1
28,1,1,12,11,465,12,12,1,0,0,1,0,0,12,1,1,0,0,0.867,0.133,0,12,1
40,1,1,10,10,1473,10,10,1,0,0,1,0,0,10,1,0.907,0.047,0.047,0.974,0.026,0,10,1
80,1,1,16,5,8392,16,16,0,0,1,1,0,0,16,1,0.833,0,0.167,0.5,0.5,0,16,1
83,1,1,7,12,12481,7,7,0,0,1,0,1,0,7,1,0.684,0,0.316,0.222,0.778,0,7,1
93,1,1,8,15,944,8,8,1,0,0,1,0,0,8,1,1,0,0,0.8,0.2,0,8,1
125,1,1,15,15,1195,15,15,1,0,0,1,0,0,15,1,1,0,0,0.8,0.2,0,15,1
126,1,1,9,15,2765,9,9,1,0,0,1,0,0,9,1,1,0,0,0.8,0.2,0,9,1
161,1,1,6,11,6468,6,6,1,0,0,1,0,0,6,1,1,0,0,0.867,0.133,0,6,1
246,1,1,14,17,1295,14,14,1,0,0,0,1,0,14,1,1,0,0,0.685,0.315,0,14,1
338,2,1,2,2,2367,2,2,0,0,1,1,0,0,2,1,0.04,0.68,0.28,0.412,0.588,0,2,1
355,3,1,3,8,1568,3,3,0,0,1,1,0,0,3,1,0.344,0.469,0.188,0.8,0.2,0,3,1
387,4,1,4,1,3725,4,4,1,0,0,0,1,0,4,1,0.353,0.353,0.294,0.55,0.45,0,4,1
392,5,1,18,7,8231,18,18,0,0,1,1,0,0,18,1,0.375,0.438,0.188,0.6,0.4,0,18,1
400,5,1,17,4,1962,17,17,0,0,1,0,0,0,17,1,0.25,0.312,0.438,0.462,0.538,0,17,1
415,6,1,1,3,6799,1,1,0,0,1,0,0,0,1,1,0.444,0.407,0.148,0.238,0.762,0,1,1
508,1,1,5,12,830,5,5,1,0,0,0,0,0,5,1,0.684,0,0.316,0.222,0.778,0,5,1
