"seccion","munn","edo","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"cam",4,11,2,730,9,11,1,0,0,9,0.452,1,0,0,9,0.5
4,1,"cam",4,5,2,14373,10,5,1,0,0,10,1,1,0,0,10,1
17,1,"cam",4,7,7,7054,7,7,0,0,1,7,0.723,0.143,0.667,0.19,7,0.5
42,1,"cam",4,8,3,1330,5,8,1,0,0,5,0.795,1,0,0,5,0.7
53,1,"cam",4,9,5,1229,6,9,1,0,0,6,0.708,0.958,0,0.042,6,0.538
56,1,"cam",4,6,5,1053,13,6,1,0,0,13,0.966,0.958,0,0.042,13,0.957
89,1,"cam",4,10,5,1147,12,10,1,0,0,12,0.305,0.958,0,0.042,12,0.326
136,1,"cam",4,10,6,348,8,10,0,1,0,12,0.305,0.346,0.462,0.192,12,0.326
147,2,"cam",4,1,17,2181,1,1,0,0,1,1,0.735,0.625,0.083,0.292,1,0.733
157,2,"cam",4,3,19,754,3,3,0,1,0,3,0.664,0.267,0.533,0.2,3,0.649
172,2,"cam",4,1,17,1908,2,1,0,1,0,1,0.735,0.625,0.083,0.292,1,0.733
183,3,"cam",4,15,11,7130,14,15,1,0,0,19,0.52,1,0,0,19,0.571
184,3,"cam",4,15,11,6256,19,15,1,0,0,19,0.52,1,0,0,19,0.571
187,3,"cam",4,12,9,1834,17,12,1,0,0,17,0.666,1,0,0,17,0.6
216,3,"cam",4,17,8,1002,18,17,1,0,0,14,0.518,1,0,0,14,0.562
230,3,"cam",4,13,11,8216,15,13,1,0,0,15,1,1,0,0,15,1
250,3,"cam",4,14,12,3209,16,14,0,0,1,16,1,0.364,0.455,0.182,16,1
273,10,"cam",4,4,14,3519,4,4,0,1,0,4,1,0.133,0.833,0.033,4,1
303,4,"cam",4,21,15,951,11,21,1,0,0,11,0.924,0.68,0.24,0.08,11,0.852
356,9,"cam",4,18,21,2711,21,18,0,1,0,21,1,0,0.962,0.038,21,1
448,9,"cam",4,19,13,3785,20,19,0,0,1,20,1,0.643,0.25,0.107,20,1
