"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,8,11,1,732,1,1,0,0,1,0,1,0,1,1,0.599,0.293,0.109,0.063,0.929,0.008,1,1
38,3,8,20,22,1133,3,2,0,0,1,0,1,0,3,0.906,0.599,0.305,0.096,0.167,0.833,0,3,0.83
60,5,8,1,1,2450,4,3,1,0,0,0,0,0,4,1,0.599,0.293,0.109,0.063,0.929,0.008,4,1
82,6,8,13,11,637,5,4,1,0,0,0,0,0,5,0.901,0.295,0.538,0.167,0.111,0.879,0.01,5,0.891
102,7,8,22,21,1583,6,6,0,0,1,0,1,0,6,1,0.113,0.84,0.047,0.01,0.99,0,6,1
271,17,8,14,13,1489,7,7,1,0,0,0,1,0,7,0.953,0.707,0.259,0.034,0.155,0.845,0,7,0.921
388,18,8,13,14,369,2,4,0,0,1,0,1,0,5,0.901,0.11,0.766,0.124,0.043,0.957,0,5,0.891
402,19,8,18,19,924,10,10,1,0,0,0,1,0,10,1,1,0,0,0.625,0.375,0,10,1
433,19,8,16,19,622,11,11,1,0,0,1,0,0,11,1,1,0,0,0.625,0.375,0,11,1
608,19,8,12,15,19342,9,9,1,0,0,0,0,0,9,1,0.839,0.125,0.036,0.097,0.903,0,9,1
610,19,8,17,15,11893,13,13,1,0,0,0,0,0,13,1,0.839,0.125,0.036,0.097,0.903,0,13,1
622,19,8,15,17,496,12,12,1,0,0,0,1,0,12,1,0.979,0.011,0.011,0.593,0.407,0,12,1
921,21,8,19,20,943,8,8,1,0,0,0,1,0,8,0.892,0.836,0.082,0.082,0.574,0.426,0,8,0.866
1424,37,8,2,2,7094,16,16,0,0,1,0,1,0,16,1,0.995,0,0.005,0.053,0.947,0,16,1
1435,37,8,3,2,776,14,14,1,0,0,0,1,0,14,1,0.995,0,0.005,0.053,0.947,0,14,1
1443,37,8,4,2,238,22,21,1,0,0,0,0,0,22,1,0.995,0,0.005,0.053,0.947,0,22,1
1574,37,8,5,3,1723,19,20,1,0,0,1,0,0,19,1,1,0,0,0.736,0.264,0,19,1
1698,37,8,6,3,465,17,18,1,0,0,0,1,0,17,1,1,0,0,0.736,0.264,0,17,1
1785,37,8,7,7,605,21,22,1,0,0,1,0,0,21,1,1,0,0,0.145,0.855,0,21,1
1827,37,8,8,9,5971,20,19,1,0,0,0,1,0,20,1,0.991,0.009,0,0.033,0.967,0,20,1
1942,37,8,10,9,3450,15,15,0,1,0,0,0,0,15,1,0.991,0.009,0,0.033,0.967,0,15,1
2712,37,8,9,7,1199,18,17,1,0,0,0,0,0,18,1,1,0,0,0.145,0.855,0,18,1
