"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,2,9,22,5,905,22,22,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,22,1,1,0,0,0.148,0,0.852,22,1
60,2,9,23,5,1489,23,23,1,0,0,0,0,1,207817,8851017,0,1.13980181317125,1.06476094352243,23,1,1,0,0,0.148,0,0.852,23,1
345,3,9,37,26,1668,37,37,1,0,0,0,0,1,206546,8851017,0,1.06953175600561,1.0713130489092,37,1,1,0,0,0.534,0,0.466,37,1
359,3,9,36,32,1497,36,36,1,0,0,0,0,0,208875,8851017,0,1.02724819642907,1.05936768402154,36,1,1,0,0,0.062,0,0.938,36,1
397,3,9,38,26,1858,38,38,1,0,0,0,0,1,204995,8851017,0,1.06953175600561,1.07941864435718,38,1,1,0,0,0.534,0,0.466,38,1
747,4,9,33,20,4007,33,33,1,0,0,0,0,1,230476,8851017,0,0.902071468464759,0.960080116801749,33,1,0.963,0.036,0.018,0.253,0,0.747,33,1
821,5,9,12,1,3366,12,12,1,0,0,0,0,1,234901,8851017,0,0.905752865329513,0.941994393382744,12,1,1,0,0,0,0,1,12,1
920,5,9,14,1,1601,14,14,1,0,0,0,0,1,238312,8851017,0,0.905752865329513,0.928511468159388,14,1,1,0,0,0,0,1,14,1
1067,5,9,13,2,1053,13,13,1,0,0,0,0,1,237310,8851017,0,0.929580256093565,0.932431945556445,13,1,1,0,0,0.263,0,0.737,13,1
1219,5,9,15,4,1003,15,15,1,0,0,0,0,1,238889,8851017,0,0.903205552086012,0.926268790107539,15,1,1,0,0,0,0,1,15,1
1359,5,9,16,6,1224,16,16,1,0,0,0,0,1,236360,8851017,0,0.949264377826016,0.936179662379421,16,1,1,0,0,0.006,0.006,0.987,16,1
1672,6,9,26,15,1025,26,26,1,0,0,0,0,1,191829,8851017,0,1.17215866953426,1.15350351093943,26,1,1,0,0,0.165,0,0.835,26,1
1673,6,9,27,14,1051,27,27,1,0,0,0,0,1,192448,8851017,0,1.13183781668636,1.14979332079315,27,1,1,0,0,0,0,1,27,1
1971,7,9,6,24,1322,6,6,1,0,0,0,0,1,228851,8851017,0,1.15067225339442,0.966897348056159,6,1,1,0,0,0.128,0,0.872,6,1
1989,7,9,9,21,3347,9,9,1,0,0,0,0,1,225180,8851017,0,1.02899658203125,0.982660205169198,9,1,1,0,0,0.065,0,0.935,9,1
2019,7,9,8,21,1190,8,8,1,0,0,0,0,1,226966,8851017,0,1.02899658203125,0.974927632332596,8,1,1,0,0,0.065,0,0.935,8,1
2120,7,9,11,22,1727,11,11,1,0,0,0,0,1,227163,8851017,0,0.982708210277614,0.974082156865335,11,1,1,0,0,0,0,1,11,1
2341,7,9,4,28,1591,4,4,1,0,0,0,0,1,229921,8851017,0,0.883486686337375,0.962397627880881,4,1,1,0,0,0.044,0.007,0.949,4,1
2555,7,9,5,22,1492,5,5,1,0,0,0,0,1,224505,8851017,0,0.982708210277614,0.985614685641745,5,1,1,0,0,0,0,1,5,1
2569,7,9,7,27,1287,7,7,1,0,0,0,0,1,228509,8851017,0,0.906138614064112,0.968344463456582,7,1,1,0,0,0,0,1,7,1
2731,7,9,10,31,1744,10,10,1,0,0,0,0,1,226894,8851017,0,0.898916244850868,0.97523700494504,10,1,1,0,0,0,0,1,10,1
2972,8,9,3,33,1166,3,3,1,0,0,0,0,1,240763,8851017,0,0.91905909545902,0.91905909545902,3,1,0.973,0.026,0.013,0.162,0,0.838,3,1
3119,9,9,1,34,2025,1,1,1,0,0,0,0,1,235925,8851017,0,0.953489802601812,0.937905796333581,1,1,0.615,0.386,0.193,0,0,1,1,1
3163,10,9,32,18,1770,32,32,1,0,0,0,0,1,225439,8851017,0,0.933163344916584,0.981531256792303,32,1,1,0,0,0.022,0,0.978,32,1
3171,10,9,34,18,1800,34,34,1,0,0,0,0,1,225859,8851017,0,0.933163344916584,0.979706033410225,34,1,1,0,0,0.022,0,0.978,34,1
3217,10,9,35,23,1141,35,35,1,0,0,0,0,1,231111,8851017,0,1.06039825659408,0.957442203097213,35,1,1,0,0,0.517,0,0.483,35,1
3609,11,9,2,35,3458,2,2,1,0,0,0,0,1,243193,8851017,0,0.895674238713777,0.909875798234324,2,1,0.898,0.102,0.051,0,0.011,0.989,2,1
3742,12,9,19,38,1105,19,19,1,0,0,0,0,1,216566,8851017,0,1.10751786840446,1.02174591117719,19,1,1,0,0,0.455,0,0.545,19,1
3769,12,9,18,37,1330,18,18,1,0,0,1,0,0,217270,8851017,0,1.01068081228847,1.01843524186496,18,1,1,0,0,0.136,0,0.864,18,1
3854,12,9,17,40,870,17,17,1,0,0,0,0,0,215782,8851017,0,0.958371086288964,1.02545821708947,17,1,0.851,0.148,0.069,0.045,0,0.955,17,1
4095,13,9,39,39,1570,39,39,1,0,0,0,0,1,208719,8851017,0,1.10391539367211,1.06015947278398,39,1,0.88,0.12,0.06,0.151,0,0.849,39,1
4102,13,9,40,39,2239,40,40,1,0,0,0,0,1,215656,8851017,0,1.10391539367211,1.02605735523241,40,1,0.88,0.12,0.06,0.151,0,0.849,40,1
4269,14,9,24,16,1860,24,24,1,0,0,1,0,0,193839,8851017,0,1.15489423167256,1.14154233668147,24,1,1,0,0,0.848,0,0.152,24,1
