"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,12,8,8,1622,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,3,0.433,0.364,0.636,0.068,0,0.422,0.578,3,0.39
20,1,12,4,4,1541,18,9,1,0,0,0,0,0,119589,3387049,0,1.01151473558844,1.01151473558844,18,0.505,1,0,0,0,0.079,0.921,18,0.491
111,1,12,5,5,3694,22,5,1,0,0,0,0,1,130261,3387049,0,0.928643536548051,0.928643536548051,22,0.385,0.817,0.183,0.033,0,0.059,0.941,22,0.325
112,1,12,9,9,6223,20,6,1,0,0,0,0,1,124699,3387049,0,0.970064200308629,0.970064200308629,20,0.47,0.353,0.647,0.088,0,0.619,0.381,20,0.413
137,1,12,9,9,1468,21,6,1,0,0,0,1,0,124699,3387049,0,0.970064200308629,0.970064200308629,20,0.47,0.353,0.647,0.088,0,0.619,0.381,20,0.413
195,1,12,5,5,1824,19,5,1,0,0,0,0,1,130261,3387049,0,0.928643536548051,0.928643536548051,22,0.385,0.817,0.183,0.033,0,0.059,0.941,22,0.325
294,1,12,7,7,5766,23,3,1,0,0,0,0,0,132154,3387049,0,0.915341463098247,0.915341463098247,23,0.706,0.524,0.476,0.071,0,0.545,0.455,23,0.558
384,2,12,26,26,3881,12,1,0,1,1,0,1,0,125133,3387049,0,0.858158596156964,0.966699717215169,16,0.468,0,1,0.062,0,0.592,0.408,16,0.486
411,3,12,17,17,1519,5,20,0,1,1,0,1,0,126210,3387049,0,0.958450485019299,0.958450485019299,5,0.366,0.079,0.92,0.073,0,0.53,0.47,5,0.341
456,4,12,28,28,2557,15,14,1,0,0,0,0,1,133127,3387049,0,0.969970858338765,0.908651405907785,15,0.336,0.018,0.982,0.071,0,0.134,0.866,15,0.391
479,6,12,20,20,728,11,22,0,1,1,0,0,1,109379,3387049,0,1.10593473806019,1.10593473806019,4,0.438,0.176,0.824,0.05,0,0.368,0.632,4,0.484
500,7,12,18,18,1844,4,21,0,1,1,0,0,0,124278,3387049,0,0.973350357378504,0.973350357378504,5,0.286,0.234,0.767,0.048,0,0.393,0.607,5,0.348
564,9,12,28,28,1010,16,14,1,0,0,0,0,0,133127,3387049,0,0.969970858338765,0.908651405907785,15,0.336,0.018,0.982,0.071,0,0.134,0.866,15,0.391
568,9,12,28,28,286,14,14,0,1,0,0,0,0,133127,3387049,0,0.969970858338765,0.908651405907785,15,0.336,0.018,0.982,0.071,0,0.134,0.866,15,0.391
596,11,12,10,10,1007,3,26,1,0,0,0,0,0,116023,3387049,0,1.04260392951644,1.04260392951644,3,0.318,0.266,0.734,0.119,0,0.322,0.678,3,0.392
671,12,12,14,14,4404,6,13,1,0,0,0,0,1,110815,3387049,0,1.09160344460845,1.09160344460845,6,0.376,0.104,0.897,0.057,0,0.439,0.561,6,0.39
732,80,12,15,15,1263,2,16,0,1,0,0,0,0,112770,3387049,0,1.08398332987693,1.07267922066406,6,0.309,0.144,0.856,0.11,0,0.453,0.547,6,0.256
763,14,12,10,10,1511,9,26,1,0,0,0,0,1,116023,3387049,0,1.04260392951644,1.04260392951644,3,0.318,0.266,0.734,0.119,0,0.322,0.678,3,0.392
778,15,12,23,23,2130,1,23,0,1,1,0,0,0,119050,3387049,0,1.01609437811244,1.01609437811244,1,0.661,0.226,0.774,0.097,0.011,0.805,0.184,1,0.59
789,16,12,12,12,675,10,27,1,0,0,0,1,0,108049,3387049,0,1.12200901304387,1.11954794319508,10,0.189,0.324,0.676,0.056,0,0.253,0.747,10,0.312
1001,23,12,15,15,1556,8,16,1,0,0,0,0,1,112770,3387049,0,1.08398332987693,1.07267922066406,6,0.309,0.144,0.856,0.11,0,0.453,0.547,6,0.256
1112,28,12,25,25,7040,27,12,1,0,0,0,0,0,136825,3387049,0,0.999735827982989,0.884093080316358,27,1,0.144,0.856,0.056,0,0.689,0.311,27,1
1204,29,12,1,1,10726,25,11,1,0,0,0,1,0,113925,3387049,0,1.06180413179097,1.06180413179097,25,0.475,0.68,0.32,0.06,0,0.933,0.067,25,0.382
1234,29,12,1,1,2460,26,11,1,0,0,0,1,0,113925,3387049,0,1.06180413179097,1.06180413179097,25,0.475,0.68,0.32,0.06,0,0.933,0.067,25,0.382
1480,36,12,22,22,6477,7,24,0,1,1,0,0,1,124593,3387049,0,0.970889501932578,0.970889501932578,7,0.979,0.861,0.139,0.014,0,0.18,0.82,7,0.958
1589,39,12,12,12,2784,28,27,1,0,0,0,0,1,108049,3387049,0,1.12200901304387,1.11954794319508,10,0.189,0.324,0.676,0.056,0,0.253,0.747,10,0.312
1654,40,12,13,13,2105,13,18,0,1,1,0,0,1,118319,3387049,0,1.02237202574638,1.02237202574638,13,0.42,0.167,0.833,0.058,0,0.708,0.292,13,0.364
2134,56,12,21,21,894,17,2,1,0,0,1,0,0,128705,3387049,0,0.939870523400689,0.939870523400689,17,0.808,0.271,0.729,0.043,0.262,0.738,0,17,0.664
