"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,19,20,20,1144,3,1,0,1,1,0,1,0,139132,4405937,0,0.800260279023472,1.21797368962291,3,0.974,0.462,0.539,0.212,0,1,0,3,0.941
3,2,19,21,22,767,1,2,0,1,1,0,0,0,143590,4405937,0,0.595747255683342,1.18015958900073,1,0.872,0.389,0.611,0.176,0.163,0.837,0,1,0.873
12,3,19,24,22,243,2,3,1,0,0,0,0,0,192265,4405937,0,0.595747255683342,0.881383067040883,2,0.38,0.389,0.611,0.176,0.163,0.837,0,2,0.508
63,6,19,5,16,3790,10,12,0,1,1,0,1,0,113694,4405937,0,0.364942263585514,1.49048424177719,10,1,0.859,0.14,0.07,0.098,0.902,0,10,1
68,6,19,16,16,9198,9,11,1,0,0,0,0,0,175603,4405937,0,0.364942263585514,0.965012644343294,9,1,0.859,0.14,0.07,0.098,0.902,0,9,1
121,6,19,7,16,3155,11,13,1,0,0,0,0,0,175048,4405937,0,0.364942263585514,0.968072273802702,11,1,0.859,0.14,0.07,0.098,0.902,0,11,1
151,7,19,26,26,2174,4,4,0,1,1,0,1,0,184973,4405937,0,1.57617325704441,0.916128923597581,4,0.407,0.097,0.903,0.105,0,1,0,4,0.537
172,9,19,23,23,2417,25,5,0,1,1,0,0,0,156275,4405937,0,1.31890193707137,1.08436484008712,25,0.759,0.519,0.481,0.078,0.118,0.882,0,25,0.69
356,19,19,18,18,2003,23,25,1,0,0,0,0,0,196797,4405937,0,1.04171629824627,0.861085867084434,23,1,1,0,0,0.686,0.314,0,23,1
430,21,19,25,17,4598,13,15,1,0,0,0,1,0,145669,4405937,0,0.479662811600211,1.16331625386744,13,1,0.943,0.057,0.019,0.074,0.926,0,13,1
433,21,19,17,17,16014,12,14,1,0,0,0,0,0,181177,4405937,0,0.479662811600211,0.935323553125482,12,1,0.943,0.057,0.019,0.074,0.926,0,12,1
526,26,19,12,15,284,5,7,1,0,0,1,0,0,167952,4405937,0,1.75798405901421,1.00897348876236,5,1,1,0,0,0.75,0.25,0,5,1
530,26,19,15,15,365,6,8,1,0,0,1,0,0,169413,4405937,0,1.75798405901421,1.00027220688268,6,1,1,0,0,0.75,0.25,0,6,1
604,26,19,14,14,6041,8,10,1,0,0,1,0,0,145047,4405937,0,0.824522271776607,1.16830486245572,8,1,1,0,0,0.5,0.5,0,8,1
707,26,19,13,13,1682,7,9,1,0,0,0,1,0,169270,4405937,0,0.900769774591714,1.00111724100322,7,1,1,0,0,0.143,0.857,0,7,1
841,32,19,22,22,6637,26,6,1,0,0,0,0,0,178614,4405937,0,0.595747255683342,0.94874486537794,26,0.948,0.389,0.611,0.176,0.163,0.837,0,26,0.917
975,40,19,11,3,1117,19,19,1,0,0,0,1,0,173620,4405937,0,1.41013809693286,0.976034531647364,19,0.983,1,0,0,0.548,0.452,0,19,0.974
985,40,19,4,3,1180,20,20,1,0,0,0,0,0,172678,4405937,0,1.41013809693286,0.981359034646078,20,0.997,1,0,0,0.548,0.452,0,20,0.994
1044,40,19,3,4,1802,21,21,1,0,0,0,0,0,174157,4405937,0,1.42291415435513,0.973025002639087,21,1,1,0,0,0.68,0.32,0,21,1
1131,40,19,6,6,137,18,18,1,0,0,0,0,0,173761,4405937,0,1.97224360914103,0.975242519233979,18,0.96,1,0,0,0.52,0.48,0,18,0.968
1331,40,19,8,7,1690,17,17,1,0,0,1,0,0,175284,4405937,0,1.93800452178197,0.966768874424451,17,1,1,0,0,0.87,0.13,0,17,1
1432,40,19,1,1,2276,16,16,1,0,0,0,1,0,174177,4405937,0,0.528077817202399,0.97291327433941,16,1,1,0,0,0.163,0.837,0,16,1
1453,40,19,2,1,2497,22,22,1,0,0,0,0,0,176787,4405937,0,0.528077817202399,0.958549641006496,22,1,1,0,0,0.163,0.837,0,22,1
1766,47,19,10,11,1594,14,23,1,0,0,1,0,0,177291,4405937,0,1.30173926197478,0.955824691521935,14,0.987,1,0,0,0.851,0.149,0,14,0.989
1902,47,19,9,10,2935,15,24,1,0,0,0,1,0,178428,4405937,0,1.18205298119849,0.949733872400158,15,0.968,1,0,0,0.806,0.194,0,15,0.947
1999,48,19,19,19,8475,24,26,1,0,0,0,0,0,195235,4405937,0,0.738837871566476,0.867975083282277,24,1,0.893,0.107,0.04,0.765,0.235,0,24,1
