"seccion","munn","edon","disloc2015","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2015","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,23,11,7,19421,3,7,1,0,0,0,0,0,112175,709269,0,0.849403607099231,0.421525295297526,8,0.403,1,0,0,0,1,0,8,0.811
4,1,23,14,7,419,8,7,1,0,0,0,0,0,27850,709269,0,0.849403607099231,1.69783123877917,8,0.403,1,0,0,0,1,0,8,0.811
13,1,23,13,3,438,1,3,1,0,0,0,0,0,133224,709269,0,1.95052388416797,0.354925538941932,1,0.327,1,0,0,NA,NA,NA,1,0.296
14,1,23,13,3,1161,4,3,1,0,0,0,0,0,133224,709269,0,1.95052388416797,0.354925538941932,1,0.327,1,0,0,NA,NA,NA,1,0.296
76,1,23,9,4,203,5,4,1,0,0,0,0,0,49973,709269,0,0.454397463002114,0.94620294959278,5,0.354,1,0,0,0.556,0.444,0,5,0.375
89,1,23,8,6,644,7,6,1,0,0,0,0,0,25897,709269,0,0.797823409317158,1.82587172259335,7,0.699,0.415,0.584,0.169,0.1,0.9,0,7,0.789
102,1,23,10,5,1511,6,5,1,0,0,1,0,0,27349,709269,0,1.42552306300874,1.72893341621266,4,0.577,1,0,0,0.4,0.6,0,4,0.733
182,2,23,6,11,362,12,11,0,1,1,0,1,0,11364,709269,0,4.16091165082717,4.16091165082717,12,1,0.63,0.37,0.185,0,1,0,12,1
206,8,23,5,9,1232,9,9,1,0,0,0,1,0,20333,709269,0,0.456631032051839,2.32551025426646,9,0.734,0.586,0.413,0.045,0,1,0,9,0.787
214,9,23,5,9,442,10,9,0,1,0,0,1,0,20333,709269,0,0.456631032051839,2.32551025426646,9,0.734,0.586,0.413,0.045,0,1,0,9,0.787
262,5,23,4,15,554,15,15,0,1,1,0,1,0,47424,709269,0,0.993436561127802,0.997060560053981,15,0.445,0.026,0.974,0.156,0,1,0,15,0.441
298,7,23,2,13,1410,14,13,1,0,0,0,1,0,43051,709269,0,1.1832686869698,1.09833917911314,14,0.433,0.682,0.319,0.152,0,1,0,14,0.389
299,7,23,2,13,1010,13,13,0,1,1,0,0,0,43051,709269,0,1.1832686869698,1.09833917911314,14,0.433,0.682,0.319,0.152,0,1,0,14,0.389
491,1,23,14,2,399,2,2,1,0,0,0,0,0,27850,709269,0,2.15272478943774,1.69783123877917,3,0.12,1,0,0,NA,NA,NA,3,0.276
668,8,23,5,10,453,11,10,1,0,0,0,0,0,20333,709269,0,0.695597040175354,2.32551025426646,11,0.635,0.972,0.028,0.014,NA,NA,NA,11,0.873
