"seccion","munn","edon","disloc2017","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2017","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,26,6,6,1735,3,3,0,1,1,0,1,0,111396,2521161,0,1.07773426078392,1.07773426078392,3,0.95,0.318,0.683,0.178,0.537,0.463,0,3,0.909
3,2,26,7,7,1617,4,4,1,0,0,1,0,0,117586,2521161,0,1.02099982748189,1.02099982748189,4,1,0.487,0.513,0.154,0.125,0.875,0,4,1
34,3,26,3,3,1190,2,2,1,0,0,0,0,0,128220,2521161,0,0.936322615148071,0.936322615148071,2,1,0.466,0.534,0.136,0.625,0.375,0,2,1
123,25,26,6,6,2356,14,14,1,0,0,1,0,0,111396,2521161,0,1.07773426078392,1.07773426078392,14,0.983,0.318,0.683,0.178,0.537,0.463,0,14,0.986
206,30,26,4,4,2916,15,15,1,0,0,1,0,0,75338,2521161,0,1.59355551931676,1.59355551931676,15,1,1,0,0,0.958,0.042,0,15,1
248,34,26,18,18,489,1,3,0,1,1,0,1,0,105916,2521161,0,1.13349527658036,1.13349527658036,3,0.95,0.205,0.794,0.196,0.209,0.791,0,3,0.909
336,49,26,8,8,8715,8,8,1,0,0,0,0,0,177116,2521161,0,0.677834220026907,0.677834220026907,8,1,1,0,0,0.938,0.062,0,8,1
337,49,26,8,8,5008,7,7,1,0,0,0,0,0,177116,2521161,0,0.677834220026907,0.677834220026907,7,1,1,0,0,0.938,0.062,0,7,1
376,49,26,8,8,2959,5,5,1,0,0,0,0,0,177116,2521161,0,0.677834220026907,0.677834220026907,5,1,1,0,0,0.938,0.062,0,5,1
391,49,26,10,10,1017,10,10,1,0,0,1,0,0,138325,2521161,0,0.867921819730965,0.867921819730965,10,1,1,0,0,1,0,0,10,1
499,49,26,9,9,2040,9,9,1,0,0,1,0,0,129410,2521161,0,0.927712585691104,0.927712585691104,9,1,0.975,0.024,0.012,1,0,0,9,1
571,49,26,11,11,15592,6,6,1,0,0,1,0,0,145346,2521161,0,0.825996489165754,0.825996489165754,6,1,0.587,0.413,0.093,0.769,0.231,0,6,1
631,53,26,2,2,5220,16,16,1,0,0,0,1,0,160093,2521161,0,0.749909650729799,0.749909650729799,16,1,0.792,0.208,0.083,0.35,0.65,0,16,1
655,55,26,1,1,510,17,17,1,0,0,1,0,0,91280,2521161,0,1.31524195567798,1.31524195567798,17,1,0.892,0.109,0.014,1,0,0,17,1
760,58,26,14,14,330,18,18,1,0,0,0,0,0,114398,2521161,0,1.04945266275884,1.04945266275884,18,1,0.529,0.471,0.103,0.056,0.611,0.333,18,1
773,59,26,18,18,2398,12,12,1,0,0,0,0,0,105916,2521161,0,1.13349527658036,1.13349527658036,12,1,0.205,0.794,0.196,0.209,0.791,0,12,1
790,59,26,17,17,1400,13,13,1,0,0,0,0,0,112418,2521161,0,1.06793650228865,1.06793650228865,13,1,0.906,0.093,0.031,0,1,0,13,1
808,59,26,16,16,17555,11,11,0,1,1,0,0,0,107486,2521161,0,1.11693881728119,1.11693881728119,11,1,0.946,0.055,0.014,0.114,0.886,0,11,1
1022,61,26,13,13,5920,19,19,1,0,0,0,1,0,103618,2521161,0,1.15863349721367,1.15863349721367,19,1,0.881,0.119,0,0.034,0.966,0,19,1
1138,63,26,20,20,1967,20,20,1,0,0,0,0,0,137426,2521161,0,0.873599506019863,0.873599506019863,20,1,0.432,0.568,0.027,0.227,0.727,0.045,20,1
1230,65,26,19,19,2627,21,21,1,0,0,0,0,0,107023,2521161,0,1.12177088769971,1.12177088769971,21,1,0.6,0.4,0.017,0.5,0.5,0,21,1
