"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,27,6,1,3737,18,6,0,0,1,0,1,0,18,1,0.114,0.659,0.227,0,0.905,0.095,18,1
46,2,27,3,19,1801,11,3,1,0,0,0,0,1,11,0.541,0.409,0.47,0.121,0,0.185,0.815,11,0.609
71,2,27,3,2,6151,8,3,1,0,0,0,1,0,11,0.541,0.804,0.196,0,0,0.143,0.857,11,0.609
90,2,27,4,19,2064,9,4,0,1,0,0,0,0,9,0.516,0.409,0.47,0.121,0,0.185,0.815,9,0.529
92,2,27,4,19,2305,10,4,1,0,0,0,0,0,9,0.516,0.409,0.47,0.121,0,0.185,0.815,9,0.529
168,3,27,21,3,1395,16,21,1,0,0,0,1,0,16,0.32,0.344,0.625,0.031,0,0.846,0.154,16,0.387
196,3,27,21,3,3243,15,21,0,1,0,0,0,0,16,0.32,0.344,0.625,0.031,0,0.846,0.154,16,0.387
198,3,27,21,3,2216,17,21,0,1,0,0,0,1,16,0.32,0.344,0.625,0.031,0,0.846,0.154,16,0.387
232,4,27,11,20,19842,7,11,1,0,0,0,0,1,7,0.978,0.492,0.381,0.127,0,0.308,0.692,7,0.956
268,4,27,10,21,1883,2,10,1,0,0,0,0,0,2,0.835,0.683,0.25,0.067,0,0.643,0.357,2,0.833
279,4,27,12,4,711,5,12,1,0,0,0,0,0,5,0.249,1,0,0,0,0.65,0.35,5,0.343
282,4,27,12,4,1676,4,12,1,0,0,0,0,0,5,0.249,1,0,0,0,0.65,0.35,5,0.343
419,4,27,17,20,630,6,17,0,1,0,0,0,1,6,0.978,0.492,0.381,0.127,0,0.308,0.692,6,0.951
459,4,27,16,21,0,3,16,0,1,0,0,1,0,3,0.478,0.683,0.25,0.067,0,0.643,0.357,3,0.395
512,5,27,18,6,2422,12,18,1,0,0,0,0,1,13,0.368,0.454,0.515,0.031,0,0.07,0.93,13,0.369
538,5,27,20,6,2795,13,20,1,0,0,0,0,1,17,0.597,0.454,0.515,0.031,0,0.07,0.93,17,0.616
602,5,27,18,6,2300,14,18,0,1,0,0,0,1,13,0.368,0.454,0.515,0.031,0,0.07,0.93,13,0.369
781,9,27,8,10,2543,19,8,1,0,0,0,1,0,19,0.311,0.107,0.893,0,0,1,0,19,0.375
873,12,27,7,13,1316,21,7,1,0,0,0,0,0,21,0.38,0.305,0.537,0.159,0,0.485,0.515,21,0.351
954,13,27,1,14,1232,1,1,1,0,0,0,1,0,1,1,0.324,0.486,0.189,0,0.4,0.6,1,1
1036,15,27,8,16,2816,20,8,1,0,0,0,1,0,19,0.311,0.111,0.667,0.222,0,0.833,0.167,19,0.375
