"seccion","munn","edon","disloc2016","disloc2007","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2007","RRI_2016","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,30,1,10,2034,20,1,0,1,1,0,1,0,243899,7622854,0,0.0429083727090723,1.04180473611345,20,1,0.484,0.515,0.085,0.341,0.622,0.037,20,1
5,2,30,2,10,1557,23,2,1,0,0,0,1,0,250943,7622854,0,0.0429083727090723,1.01256115266548,23,1,0.484,0.515,0.085,0.341,0.622,0.037,23,1
7,3,30,3,10,4453,13,3,1,0,0,0,0,0,251820,7622854,0,0.0429083727090723,1.00903476027851,13,0.75,0.484,0.515,0.085,0.341,0.622,0.037,13,0.734
47,4,30,4,10,2328,8,4,1,0,0,0,0,0,238173,7622854,0,0.0429083727090723,1.06685112642211,8,1,0.484,0.515,0.085,0.341,0.622,0.037,8,1
85,5,30,11,20,1515,22,11,0,1,1,0,0,0,249811,7622854,0,4.94687282600795,1.01714949835409,7,0.981,0.87,0.13,0.043,0.125,0.25,0.625,7,0.962
92,6,30,6,NA,3603,15,6,0,1,1,0,0,0,247274,7622854,0,Inf,1.02758532370299,15,1,0,0,0,0,0,0,15,1
106,7,30,7,10,2418,14,7,0,1,1,1,0,0,238690,7622854,0,0.0429083727090723,1.06454033823509,14,1,0.484,0.515,0.085,0.341,0.622,0.037,14,1
109,8,30,8,10,1457,25,8,1,0,0,0,0,0,292483,7622854,0,0.0429083727090723,0.868751802099039,25,0.893,0.484,0.515,0.085,0.341,0.622,0.037,25,0.89
178,9,30,9,10,2479,5,9,0,1,1,0,1,0,245707,7622854,0,0.0429083727090723,1.03413876419204,5,1,0.484,0.515,0.085,0.341,0.622,0.037,5,1
218,11,30,10,10,6501,24,10,1,0,0,0,0,0,256090,7622854,0,0.0429083727090723,0.992210290653026,24,1,0.484,0.515,0.085,0.341,0.622,0.037,24,1
247,12,30,11,10,2381,7,11,1,0,0,0,0,0,249811,7622854,0,0.0429083727090723,1.01714949835409,7,0.981,0.484,0.515,0.085,0.341,0.622,0.037,7,0.962
294,14,30,12,10,1843,10,12,1,0,0,0,1,0,255048,7622854,0,0.0429083727090723,0.996263971226331,10,1,0.484,0.515,0.085,0.341,0.622,0.037,10,1
320,15,30,18,10,1057,21,18,1,0,0,0,1,0,280537,7622854,0,0.0429083727090723,0.905745528516143,3,0.699,0.484,0.515,0.085,0.341,0.622,0.037,3,0.668
390,20,30,14,28,1834,1,14,0,1,1,0,1,0,243559,7622854,0,1.11093421840572,1.0432590597487,1,1,0.17,0.829,0.137,0.386,0.561,0.053,1,1
414,23,30,15,10,1400,4,15,1,0,0,0,0,0,260293,7622854,0,0.0429083727090723,0.976188884577508,4,1,0.484,0.515,0.085,0.341,0.622,0.037,4,1
617,33,30,8,10,2069,19,8,0,1,1,0,1,0,292483,7622854,0,0.0429083727090723,0.868751802099039,25,0.893,0.484,0.515,0.085,0.341,0.622,0.037,25,0.89
632,34,30,17,10,3978,11,17,1,0,0,0,0,0,247632,7622854,0,0.0429083727090723,1.02609975016691,11,1,0.484,0.515,0.085,0.341,0.622,0.037,11,1
695,37,30,18,10,1883,3,18,1,0,0,0,0,0,280537,7622854,0,0.0429083727090723,0.905745528516143,3,0.699,0.484,0.515,0.085,0.341,0.622,0.037,3,0.668
709,39,30,19,10,2800,17,19,0,1,1,0,1,0,276865,7622854,0,0.0429083727090723,0.917758233555463,17,1,0.484,0.515,0.085,0.341,0.622,0.037,17,1
763,41,30,21,10,1719,16,21,1,0,0,0,0,0,241603,7622854,0,0.0429083727090723,1.05170520785476,2,0.227,0.484,0.515,0.085,0.341,0.622,0.037,2,0.335
767,41,30,21,10,397,2,21,1,0,0,0,1,0,241603,7622854,0,0.0429083727090723,1.05170520785476,2,0.227,0.484,0.515,0.085,0.341,0.622,0.037,2,0.335
908,41,30,21,NA,17596,6,21,0,1,1,0,0,0,241603,7622854,0,Inf,1.05170520785476,2,0.227,0,0,0,0,0,0,2,0.335
932,42,30,22,NA,1810,12,22,1,0,0,0,0,0,240304,7622854,0,Inf,1.05739036109816,12,1,0,0,0,0,0,0,12,1
1094,47,30,23,10,2030,18,23,0,1,1,0,0,0,259613,7622854,0,0.0429083727090723,0.978745799837964,18,0.947,0.484,0.515,0.085,0.341,0.622,0.037,18,0.938
1413,63,30,20,8,1729,26,20,1,0,0,0,0,1,244458,7622854,0,0.831210541822696,1.03942245020958,2,0.491,0.391,0.609,0.06,0.212,0.753,0.035,2,0.454
1556,71,30,26,8,807,9,26,0,1,1,0,1,0,237013,7622854,0,0.831210541822696,1.0720725586079,9,1,0.391,0.609,0.06,0.212,0.753,0.035,9,1
1848,89,30,29,10,3753,30,29,1,0,0,0,0,0,227429,7622854,0,0.0429083727090723,1.11725036531548,30,1,0.484,0.515,0.085,0.341,0.622,0.037,30,1
1905,89,30,30,19,17743,29,30,1,0,0,0,0,0,227226,7622854,0,6.27733281947649,1.11824849855797,29,1,1,0,0,0,1,0,29,1
4217,192,30,27,8,4488,28,27,1,0,0,1,0,0,275858,7622854,0,0.831210541822696,0.921108444682892,28,1,0.391,0.609,0.06,0.212,0.753,0.035,28,1
4292,192,30,28,23,627,27,28,1,0,0,0,0,0,256386,7622854,0,9.0803176206563,0.991064774727689,27,1,0.879,0.121,0.03,0.917,0.083,0,27,1
