"seccion","munn","edo","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"zac",32,14,14,409,1,7,0,0,1,1,1,0.182,0.627,0.191,1,1
14,2,"zac",32,13,14,902,4,2,0,0,1,4,1,0.182,0.627,0.191,4,1
40,5,"zac",32,2,3,5243,15,14,0,0,1,10,0.465,0.288,0.339,0.373,10,0.611
61,6,"zac",32,16,12,1158,16,17,0,0,1,16,0.849,0.495,0.277,0.228,16,0.881
73,7,"zac",32,12,18,904,18,15,1,0,0,18,0.276,0.09,0.779,0.131,18,0.429
103,8,"zac",32,11,6,1140,2,6,1,0,0,2,0.655,0.257,0.514,0.229,2,0.567
114,9,"zac",32,17,16,697,14,18,0,0,1,17,0.623,0.278,0.54,0.183,17,0.646
135,10,"zac",32,7,11,3622,8,12,1,0,0,14,0.247,0.442,0.433,0.125,14,0.315
140,10,"zac",32,5,8,8803,9,10,0,0,1,8,0.279,0.404,0.532,0.064,8,0.297
148,10,"zac",32,7,11,2814,7,12,0,0,1,14,0.247,0.442,0.433,0.125,14,0.315
436,16,"zac",32,8,6,1140,6,4,1,0,0,6,0.654,0.257,0.514,0.229,6,0.692
460,17,"zac",32,3,4,2266,13,8,1,0,0,12,0.446,0.649,0.189,0.162,12,0.366
491,17,"zac",32,3,5,2074,12,8,0,0,1,12,0.446,0.767,0.163,0.07,12,0.366
763,24,"zac",32,9,9,2608,3,3,1,0,0,3,1,0.225,0.562,0.213,3,1
884,29,"zac",32,18,17,1039,17,16,1,0,0,18,0.372,0.384,0.477,0.14,18,0.335
945,32,"zac",32,2,3,1352,10,14,1,0,0,10,0.465,0.288,0.339,0.373,10,0.611
1094,38,"zac",32,15,13,1482,5,1,0,0,1,5,1,0.074,0.826,0.099,5,1
1806,56,"zac",32,1,2,1168,11,13,1,0,0,11,0.849,0.87,0.074,0.056,11,0.871
