"seccion","munn","edo","edon","disloc2018","disloc2010","pobtot","esc1","esc3cg","esc3jge","esc3trib","urbana","rural","mixta","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"nl",19,20,20,1144,3,1,0,0,1,3,0.974,0.585,0.146,0.268,3,0.941,3,0.974,0.071,0.682,0.248,3,0.941,3,0.974,0.071,0.682,0.248,3,0.941,3,0.974,0.071,0.682,0.248,3,0.941,NA,0,0.071,0.682,0.248,NA,0,NA,0,0.071,0.682,0.248,NA,0
3,2,"nl",19,21,22,767,1,2,0,0,1,1,0.872,0.47,0.318,0.212,1,0.875,1,0.872,0.011,0.949,0.039,1,0.875,1,0.872,0.011,0.949,0.039,1,0.875,1,0.872,0.011,0.949,0.039,1,0.875,NA,0,0.011,0.949,0.039,NA,0,NA,0,0.011,0.949,0.039,NA,0
12,3,"nl",19,24,22,243,2,3,1,0,0,2,0.38,0.47,0.318,0.212,2,0.512,2,0.38,0.011,0.949,0.039,2,0.512,2,0.38,0.011,0.949,0.039,2,0.512,2,0.38,0.011,0.949,0.039,2,0.512,18,0.046,0.011,0.949,0.039,18,0.129,NA,0,0.011,0.949,0.039,NA,0
63,6,"nl",19,5,16,3790,10,12,0,0,1,10,1,0.924,0,0.076,10,1,10,1,0.007,0.904,0.09,10,1,10,1,0.007,0.904,0.09,10,1,10,1,0.007,0.904,0.09,10,1,NA,0,0.007,0.904,0.09,NA,0,NA,0,0.007,0.904,0.09,NA,0
68,6,"nl",19,16,16,9198,9,11,1,0,0,9,1,0.924,0,0.076,9,1,9,1,0.007,0.904,0.09,9,1,9,1,0.007,0.904,0.09,9,1,9,1,0.007,0.904,0.09,9,1,18,0.046,0.007,0.904,0.09,18,0.129,NA,0,0.007,0.904,0.09,NA,0
121,6,"nl",19,7,16,3155,11,13,1,0,0,11,1,0.924,0,0.076,11,1,11,1,0.007,0.904,0.09,11,1,11,1,0.007,0.904,0.09,11,1,11,1,0.007,0.904,0.09,11,1,18,0.046,0.007,0.904,0.09,18,0.129,NA,0,0.007,0.904,0.09,NA,0
151,7,"nl",19,26,26,2174,4,4,0,0,1,4,0.407,0.108,0.775,0.117,4,0.537,4,0.407,0.026,0.884,0.09,4,0.537,4,0.407,0.026,0.884,0.09,4,0.537,4,0.407,0.026,0.884,0.09,4,0.537,NA,0,0.026,0.884,0.09,NA,0,NA,0,0.026,0.884,0.09,NA,0
172,9,"nl",19,23,23,2417,25,5,0,0,1,25,0.759,0.563,0.352,0.085,25,0.69,25,0.759,0.005,0.961,0.035,25,0.69,25,0.759,0.005,0.961,0.035,25,0.69,25,0.759,0.005,0.961,0.035,25,0.69,NA,0,0.005,0.961,0.035,NA,0,NA,0,0.005,0.961,0.035,NA,0
356,19,"nl",19,18,18,2003,23,25,1,0,0,23,1,1,0,0,23,1,23,1,0,0.958,0.042,23,1,23,1,0,0.958,0.042,23,1,23,1,0,0.958,0.042,23,1,18,0.046,0,0.958,0.042,18,0.129,NA,0,0,0.958,0.042,NA,0
430,21,"nl",19,25,17,4598,13,15,1,0,0,13,1,0.961,0.019,0.019,13,1,13,1,0.001,0.928,0.07,13,1,13,1,0.001,0.928,0.07,13,1,13,1,0.001,0.928,0.07,13,1,18,0.046,0.001,0.928,0.07,18,0.129,NA,0,0.001,0.928,0.07,NA,0
