"seccion","munn","edo","edon","disloc2018","disloc2011","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"bcs",3,4,9,864,4,4,1,0,0,11,0.261,0.7,0.05,0.25,11,0.319
18,1,"bcs",3,4,10,1331,2,4,1,0,0,10,0.658,0.789,0.211,0,10,0.484
40,1,"bcs",3,4,11,988,4,4,0,0,1,11,0.261,0.25,0.417,0.333,11,0.319
63,1,"bcs",3,4,12,89,3,4,0,1,0,15,0.271,0.3,0.65,0.05,15,0.295
75,2,"bcs",3,1,13,1123,1,1,0,0,1,14,0.793,0.529,0.235,0.235,14,0.6
92,2,"bcs",3,3,14,1871,1,3,0,0,1,14,0.793,0.583,0.25,0.167,14,0.6
105,2,"bcs",3,3,15,302,3,3,0,1,0,15,0.271,0.133,0.667,0.2,15,0.295
121,3,"bcs",3,12,1,1400,12,12,0,0,1,6,0.512,0.947,0,0.053,6,0.571
159,3,"bcs",3,11,2,505,11,11,1,0,0,1,0.429,1,0,0,1,0.431
184,3,"bcs",3,15,3,295,15,15,1,0,0,5,0.549,0.957,0,0.043,5,0.553
207,3,"bcs",3,15,5,704,15,15,1,0,0,5,0.549,0.657,0.257,0.086,5,0.553
226,3,"bcs",3,13,4,1407,13,13,1,0,0,3,0.267,0.929,0.071,0,3,0.326
267,3,"bcs",3,12,6,2090,12,12,0,1,0,6,0.512,0,0.85,0.15,6,0.571
290,4,"bcs",3,9,16,1536,9,9,0,0,1,8,0.062,0.75,0,0.25,8,0.067
298,4,"bcs",3,9,7,18276,9,9,0,0,1,8,0.062,0.667,0.222,0.111,8,0.067
328,4,"bcs",3,5,8,2635,5,5,1,0,0,8,0.198,0.928,0.014,0.058,8,0.15
