"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,6,6,1,5884,15,11,1,0,0,1,0,0,43387,650555,0,1.00255665006411,0.93713986908521,6,0.481,0.667,0.334,0.167,0.833,0.167,0,6,0.581
3,1,6,2,2,1916,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,2,0.493,1,0,0,0.793,0.207,0,2,0.593
49,1,6,2,5,295,16,12,1,0,0,0,0,0,43224,650555,0,0.899152753206546,0.940673873311124,2,0.493,0.444,0.555,0.194,0.417,0.583,0,2,0.593
50,1,6,1,3,906,16,9,1,0,0,0,0,0,43974,650555,0,0.963568203900751,0.924630179196798,2,0.493,0.344,0.656,0.125,0.174,0.826,0,2,0.593
92,2,6,4,4,2841,1,14,0,1,1,1,0,0,40133,650555,0,0.976105809626695,1.01312355169063,4,0.35,0.212,0.788,0.273,0.667,0.333,0,4,0.333
120,4,6,6,6,2463,15,11,1,0,0,0,1,0,43387,650555,0,1.02355471503373,0.93713986908521,6,0.481,0.167,0.833,0.3,0.062,0.938,0,6,0.581
138,5,6,7,7,7725,4,15,1,0,0,0,1,0,39791,650555,0,0.958683568329718,1.02183125581162,7,0.49,1,0,0,0.846,0.154,0,7,0.3
160,5,6,8,8,3320,5,16,1,0,0,0,0,0,39932,650555,0,0.939608705197236,1.0182231668837,8,0.744,1,0,0,1,0,0,8,0.683
170,6,6,9,9,2457,2,1,0,1,1,0,1,0,39593,650555,0,1.15108250997933,1.02694131538403,9,0.638,0.351,0.648,0.297,0.087,0.913,0,9,0.636
200,8,6,13,13,463,8,4,0,1,1,0,0,0,40060,650555,0,1.02800585305421,1.01496973290065,13,0.444,0.857,0.142,0.071,0.867,0.133,0,13,0.486
222,8,6,14,14,572,7,2,0,1,0,1,0,0,39737,650555,0,0.899749668068157,1.02321985806679,13,0.234,0.107,0.893,0.286,0.438,0.562,0,13,0.2
228,8,6,14,11,2221,7,2,0,1,0,1,0,0,39737,650555,0,0.933610881495258,1.02321985806679,13,0.234,0.471,0.529,0.176,0.8,0.2,0,13,0.2
249,8,6,12,12,721,8,3,1,0,0,0,1,0,39271,650555,0,0.984615268192275,1.03536165363754,13,0.444,0.65,0.35,0.15,0.923,0.077,0,13,0.486
277,10,6,10,10,4006,10,6,0,1,1,0,1,0,39127,650555,0,1.15609006255331,1.03917211899711,10,0.31,0.44,0.56,0.24,0.176,0.824,0,10,0.333
280,10,6,10,15,10229,10,6,0,1,1,0,1,0,39127,650555,0,1.15932046932026,1.03917211899711,10,0.31,0.722,0.278,0.111,0.167,0.833,0,10,0.333
295,10,6,16,16,917,12,7,1,0,0,0,1,0,39579,650555,0,1.13457285766108,1.02730456807903,16,0.261,0.4,0.6,0.2,0.118,0.882,0,16,0.3
