"seccion","munn","edo","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,2,"df",9,5,5,905,15,15,1,0,0,5,0.387,1,0,0,5,0.476
89,2,"df",9,3,3,701,16,16,1,0,0,3,0.678,1,0,0,3,0.695
345,3,"df",9,26,26,1668,23,23,1,0,0,26,0.335,1,0,0,26,0.355
359,3,"df",9,26,32,1497,21,21,1,0,0,32,0.863,1,0,0,32,0.868
550,3,"df",9,26,30,1002,23,23,1,0,0,26,0.335,1,0,0,26,0.355
747,4,"df",9,20,20,4007,31,31,1,0,0,20,0.581,0.981,0,0.019,20,0.543
821,5,"df",9,1,1,3366,12,12,1,0,0,1,0.819,1,0,0,1,0.752
910,5,"df",9,1,2,2844,12,12,1,0,0,1,0.819,1,0,0,1,0.752
1079,5,"df",9,2,7,856,10,10,1,0,0,2,0.523,1,0,0,2,0.511
1219,5,"df",9,4,4,1003,9,9,1,0,0,4,0.779,1,0,0,4,0.774
1358,5,"df",9,4,6,1328,9,9,1,0,0,4,0.779,1,0,0,4,0.774
1672,6,"df",9,15,15,1025,19,18,1,0,0,11,0.34,1,0,0,11,0.357
1673,6,"df",9,15,14,1051,19,18,1,0,0,11,0.34,1,0,0,11,0.357
1971,7,"df",9,24,24,1322,6,6,1,0,0,24,0.731,1,0,0,24,0.723
1972,7,"df",9,24,21,890,6,6,1,0,0,24,0.731,1,0,0,24,0.723
2065,7,"df",9,21,19,1670,7,7,1,0,0,21,0.34,1,0,0,21,0.368
2106,7,"df",9,22,22,1359,8,8,1,0,0,22,0.579,1,0,0,22,0.575
2341,7,"df",9,24,28,1591,5,6,1,0,0,28,0.744,1,0,0,28,0.717
2521,7,"df",9,21,29,1187,7,7,1,0,0,21,0.34,1,0,0,21,0.368
2565,7,"df",9,27,27,2283,3,3,1,0,0,27,0.931,1,0,0,27,0.932
2633,7,"df",9,31,31,1926,7,7,1,0,0,21,0.34,1,0,0,21,0.368
2972,8,"df",9,33,33,1166,1,1,1,0,0,33,1,0.986,0,0.014,33,1
3119,9,"df",9,7,34,2025,28,25,1,0,0,34,0.336,0.761,0,0.239,34,0.352
3163,10,"df",9,18,18,1770,33,33,1,0,0,18,0.767,1,0,0,18,0.75
3217,10,"df",9,23,23,1141,32,32,1,0,0,23,0.587,1,0,0,23,0.659
3355,10,"df",9,18,25,500,33,33,1,0,0,18,0.767,1,0,0,18,0.75
3609,11,"df",9,8,35,3458,26,26,1,0,0,35,0.739,0.946,0,0.054,35,0.723
3742,12,"df",9,16,38,1105,30,28,1,0,0,38,0.763,1,0,0,38,0.788
3769,12,"df",9,14,37,1330,29,27,1,0,0,37,0.802,1,0,0,37,0.812
3829,12,"df",9,14,40,2682,29,27,1,0,0,37,0.802,0.915,0.011,0.074,37,0.812
4095,13,"df",9,19,39,1570,27,29,1,0,0,39,0.76,0.936,0,0.064,39,0.845
4107,13,"df",9,25,36,1996,25,30,1,0,0,36,0.505,0.857,0,0.143,36,0.53
4269,14,"df",9,17,16,1860,24,24,1,0,0,17,0.599,1,0,0,17,0.604
4274,14,"df",9,17,17,1496,24,24,1,0,0,17,0.599,1,0,0,17,0.604
4523,15,"df",9,12,13,1429,14,14,1,0,0,12,0.648,1,0,0,12,0.597
4586,15,"df",9,9,9,2871,13,13,1,0,0,9,0.865,1,0,0,9,0.821
4704,15,"df",9,9,12,1528,13,13,1,0,0,9,0.865,1,0,0,9,0.821
4981,16,"df",9,13,8,280,17,17,1,0,0,13,0.433,1,0,0,13,0.439
5183,17,"df",9,10,10,1442,20,20,1,0,0,10,0.585,1,0,0,10,0.595
5274,17,"df",9,10,11,878,20,20,1,0,0,10,0.585,1,0,0,10,0.595
