"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,16,14,19,1889,5,14,0,0,1,0,1,0,15,0.775,0.192,0.633,0.175,0.11,0.415,0.476,15,0.726
11,2,16,10,21,2596,8,10,0,0,1,0,0,0,21,0.747,0.124,0.61,0.267,0.013,0.338,0.649,21,0.802
26,3,16,12,8,1894,9,12,0,0,1,0,0,0,8,0.488,0.235,0.571,0.193,0.069,0.431,0.5,8,0.36
38,4,16,9,2,1073,13,9,1,0,0,0,0,0,2,0.581,0.344,0.5,0.156,0.082,0.268,0.649,2,0.49
52,5,16,2,13,986,14,2,1,0,0,0,1,0,3,0.928,0.434,0.485,0.081,0.016,0.516,0.468,3,0.904
58,6,16,11,23,2653,3,11,1,0,0,0,0,1,23,0.838,0.583,0.333,0.083,0,0.232,0.768,23,0.814
132,7,16,8,3,1459,15,8,0,0,1,0,1,0,18,0.227,0.133,0.694,0.173,0.065,0.143,0.792,18,0.281
170,10,16,16,22,2906,3,16,0,0,1,0,0,1,23,0.838,0.275,0.541,0.183,0,0.247,0.753,23,0.814
184,11,16,1,4,1475,11,1,1,0,0,0,1,0,4,0.906,0.717,0.208,0.075,0.405,0.206,0.389,4,0.918
213,13,16,6,18,3422,4,6,0,0,1,0,0,1,18,0.325,0.086,0.765,0.148,0,0.419,0.581,18,0.384
257,16,16,4,7,875,10,4,0,0,1,0,0,1,7,0.215,0.585,0.286,0.129,0.085,0.217,0.698,7,0.248
305,19,16,15,9,1362,2,15,1,0,0,0,0,0,9,0.582,0.468,0.396,0.135,0.414,0.299,0.287,9,0.584
361,23,16,15,5,744,2,15,1,0,0,0,0,0,9,0.582,0.524,0.254,0.222,0.313,0.388,0.299,9,0.584
411,28,16,5,1,1178,13,5,0,0,1,0,1,0,2,0.581,0.473,0.439,0.088,0.321,0.358,0.321,2,0.49
457,32,16,4,15,2060,10,4,0,0,1,0,1,0,7,0.215,0.395,0.421,0.184,0.078,0.097,0.825,7,0.248
480,34,16,3,12,6009,12,3,1,0,0,1,0,0,12,0.613,0.206,0.595,0.198,0.33,0.291,0.379,12,0.601
806,50,16,18,24,10135,18,18,1,0,0,0,0,1,24,1,0.815,0.077,0.108,0.018,0.055,0.927,24,1
941,54,16,20,10,1544,22,20,1,0,0,0,0,0,16,0.275,0.824,0.149,0.027,0.448,0.414,0.138,16,0.397
962,54,16,21,11,1116,22,21,1,0,0,1,0,0,16,0.275,0.978,0.011,0.011,0.886,0.114,0,16,0.397
1043,54,16,19,17,358,21,19,1,0,0,1,0,0,17,0.54,0.882,0.097,0.022,0.878,0.041,0.081,17,0.631
1046,54,16,19,16,412,22,19,1,0,0,1,0,0,16,0.275,0.843,0.09,0.067,0.771,0.125,0.104,16,0.397
1349,59,16,11,20,3297,8,11,0,0,1,0,1,0,21,0.747,0.726,0.221,0.053,0.432,0.216,0.351,21,0.802
1440,66,16,4,14,3146,10,4,1,0,0,0,0,1,7,0.215,0.791,0.121,0.088,0.382,0.039,0.579,7,0.248
2436,109,16,17,6,2485,17,17,1,0,0,1,0,0,6,1,0.833,0.083,0.083,0.875,0.036,0.089,6,1
