"seccion","munn","edon","disloc2017","disloc2005","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,18,1,18,767,1,1,1,0,0,0,1,0,18,0.785,0.284,0.672,0.045,0,1,0,18,0.798
49,2,18,16,7,835,17,18,1,0,0,0,1,0,13,0.628,0.514,0.429,0.057,0.133,0.867,0,13,0.61
66,3,18,16,13,548,17,18,1,0,0,0,1,0,13,0.628,0.426,0.404,0.17,0.2,0.8,0,13,0.61
90,4,18,18,14,23216,12,3,0,0,1,0,0,0,14,0.444,0.447,0.255,0.298,0.043,0.957,0,14,0.191
124,5,18,15,8,1166,16,13,1,0,0,0,0,0,4,0.402,0.431,0.375,0.194,0.04,0.96,0,4,0.268
257,9,18,3,6,2092,18,12,0,0,1,0,1,0,6,0.732,0.032,0.839,0.129,0.062,0.938,0,6,0.633
277,10,18,1,16,1308,2,1,0,0,1,0,1,0,16,0.41,0.414,0.514,0.071,0,1,0,16,0.417
347,12,18,10,9,2597,13,14,1,0,0,0,1,0,9,0.634,0.314,0.627,0.059,0,1,0,9,0.63
411,14,18,13,3,2125,10,17,0,0,1,0,1,0,3,0.258,0.732,0.232,0.037,0,1,0,3,0.361
435,15,18,5,10,1064,14,16,1,0,0,0,1,0,12,0.394,0.595,0.381,0.024,0,0.727,0.273,12,0.412
436,15,18,5,11,1230,14,16,1,0,0,0,0,0,12,0.394,0.562,0.406,0.031,0,0.75,0.25,12,0.412
476,15,18,5,12,506,14,16,0,1,0,0,0,0,12,0.394,0.474,0.474,0.053,0,0.933,0.067,12,0.412
547,16,18,2,17,829,2,2,1,0,0,0,1,0,16,0.41,0.52,0.42,0.06,0,0.958,0.042,16,0.417
597,17,18,6,5,1533,8,11,1,0,0,0,0,0,5,0.394,1,0,0,0,1,0,5,0.324
612,17,18,8,2,2510,4,8,1,0,0,0,0,0,2,0.625,0.808,0.151,0.041,0,1,0,2,0.671
653,17,18,9,1,535,9,9,1,0,0,0,0,0,5,0.325,1,0,0,0,1,0,5,0.304
661,17,18,6,4,1798,9,11,1,0,0,0,0,0,5,0.325,0.62,0.324,0.056,0,1,0,5,0.304
810,18,18,4,15,1056,3,15,0,0,1,0,1,0,15,0.567,0.882,0.029,0.088,0,1,0,15,0.557
