"seccion","munn","edo","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"tab",27,6,1,3737,18,6,0,0,1,18,0.512,0.114,0.659,0.227,18,0.506
46,2,"tab",27,3,19,1801,11,3,1,0,0,2,0.595,0.409,0.47,0.121,2,0.703
48,2,"tab",27,3,2,2913,11,3,1,0,0,2,0.595,0.804,0.196,0,2,0.703
168,3,"tab",27,21,3,1395,16,21,1,0,0,3,0.32,0.344,0.625,0.031,3,0.387
232,4,"tab",27,11,20,19842,7,11,1,0,0,4,0.251,0.492,0.381,0.127,4,0.229
237,4,"tab",27,11,4,4328,7,11,1,0,0,4,0.251,1,0,0,4,0.229
251,4,"tab",27,11,21,4098,7,11,1,0,0,4,0.251,0.683,0.25,0.067,4,0.229
292,4,"tab",27,12,5,780,5,12,1,0,0,5,0.303,0.847,0.125,0.028,5,0.368
512,5,"tab",27,18,6,2422,12,18,1,0,0,6,0.556,0.454,0.515,0.031,6,0.546
609,6,"tab",27,14,7,3961,14,14,0,0,1,7,0.729,0.186,0.695,0.119,7,0.758
668,7,"tab",27,9,8,2839,16,9,1,0,0,3,0.32,0.562,0.312,0.125,3,0.387
684,8,"tab",27,5,9,2165,8,5,1,0,0,9,0.35,0.32,0.608,0.072,9,0.321
781,9,"tab",27,8,10,2543,19,8,1,0,0,13,0.305,0.107,0.893,0,13,0.264
809,10,"tab",27,19,11,1604,15,19,1,0,0,11,0.756,0.432,0.432,0.135,11,0.74
846,11,"tab",27,9,12,2435,16,9,1,0,0,3,0.32,0.154,0.846,0,3,0.387
872,12,"tab",27,7,13,2761,19,7,1,0,0,13,0.305,0.305,0.537,0.159,13,0.264
954,13,"tab",27,1,14,1232,1,1,1,0,0,14,1,0.324,0.486,0.189,14,1
991,14,"tab",27,20,15,2504,17,20,1,0,0,15,0.784,0.378,0.622,0,15,0.818
1036,15,"tab",27,8,16,2816,20,8,1,0,0,16,0.461,0.111,0.667,0.222,16,0.509
1063,16,"tab",27,13,17,1921,20,13,1,0,0,16,0.461,0.423,0.5,0.077,16,0.509
1089,17,"tab",27,6,18,807,18,6,0,0,1,18,0.512,0.4,0.578,0.022,18,0.506
