"seccion","munn","edon","disloc2017","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,31,1,8,1645,8,1,1,0,0,0,1,0,14,0.355,0.559,0.22,0.22,0.074,0.926,0,14,0.343
7,2,31,2,14,2691,8,2,1,0,0,0,1,0,14,0.355,0.481,0.228,0.291,0.105,0.895,0,14,0.343
14,3,31,3,12,1925,7,3,1,0,0,0,1,0,12,0.437,0.5,0.25,0.25,0.147,0.853,0,12,0.423
20,4,31,4,9,1807,3,4,1,0,0,0,1,0,9,0.894,0.652,0.169,0.18,0.067,0.933,0,9,0.891
27,6,31,5,10,2149,6,5,1,0,0,1,0,0,15,0.249,0.516,0.172,0.312,0.233,0.767,0,15,0.268
37,8,31,6,11,1489,4,6,1,0,0,0,1,0,10,0.531,0.469,0.25,0.281,0.065,0.935,0,10,0.478
47,10,31,7,15,1711,9,7,0,0,1,0,1,0,15,0.305,0.374,0.336,0.29,0.138,0.862,0,15,0.342
76,18,31,9,13,1498,8,9,1,0,0,0,0,0,14,0.355,0.516,0.219,0.266,0,1,0,14,0.343
204,41,31,2,6,1037,2,2,1,0,0,0,0,0,14,0.144,0.818,0.127,0.055,0.087,0.913,0,14,0.21
254,50,31,15,4,15859,13,15,1,0,0,1,0,0,4,0.88,0.844,0.094,0.062,0.704,0.296,0,4,0.819
261,50,31,14,5,4200,11,14,1,0,0,1,0,0,5,0.757,0.98,0,0.02,1,0,0,5,0.645
308,50,31,13,3,10600,14,13,1,0,0,1,0,0,3,0.452,0.983,0.017,0,0.4,0.6,0,3,0.254
314,50,31,10,2,1331,12,10,1,0,0,1,0,0,2,0.422,1,0,0,0.921,0.079,0,2,0.484
362,50,31,14,1,1503,11,14,1,0,0,1,0,0,5,0.757,1,0,0,0.708,0.292,0,5,0.645
465,50,31,10,7,1331,12,10,1,0,0,0,0,0,2,0.422,0.951,0,0.049,0.231,0.769,0,2,0.484
