"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,2,15,14,1952,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,0.201,0.883,0.116,0.019,0.857,0.143,0,14,0.345
68,1,2,16,15,755,6,6,1,0,0,1,0,0,184293,3013030,0,0.728875696845884,0.9617134607583,14,0.56,0.713,0.287,0.009,0.692,0.297,0.011,14,0.396
211,2,2,4,1,948,1,1,1,0,0,1,0,0,181282,3013030,0,1.55669104407825,0.977687022558938,1,0.628,1,0,0,0.986,0.014,0,1,0.748
217,2,2,3,2,389,5,5,1,0,0,1,0,0,187474,3013030,0,1.57281217896785,0.945395408555477,2,0.442,1,0,0,0.959,0.041,0,2,0.444
370,2,2,3,3,785,5,5,1,0,0,1,0,0,187474,3013030,0,2.29427145994317,0.945395408555477,2,0.442,1,0,0,0.986,0.014,0,2,0.444
374,2,2,3,4,958,5,5,1,0,0,1,0,0,187474,3013030,0,0.916934699257239,0.945395408555477,2,0.442,0.973,0.027,0,0.955,0.045,0,2,0.444
495,2,2,5,6,1785,3,3,1,0,0,1,0,0,167325,3013030,0,0.745545576556104,1.05923836141359,6,0.704,0.709,0.291,0.104,0.541,0.459,0,6,0.675
549,2,2,1,5,1043,2,2,0,1,0,0,1,0,146777,3013030,0,1.41832764219146,1.20752610302383,5,0.817,0.402,0.598,0.165,0.534,0.466,0,5,0.86
694,3,2,6,7,1939,12,12,1,0,0,1,0,0,182656,3013030,0,1.75626563238631,0.970332531225525,13,0.127,0.463,0.537,0.241,0.71,0.29,0,13,0.11
735,4,2,11,8,2750,16,16,1,0,0,1,0,0,187447,3013030,0,0.753091443336744,0.945531583986564,8,0.796,0.936,0.064,0.014,0.734,0.266,0,8,0.688
746,4,2,10,9,1146,11,11,1,0,0,1,0,0,183897,3013030,0,1.59395878178959,0.963784394653145,9,0.605,1,0,0,0.907,0.093,0,9,0.603
749,4,2,10,12,1063,11,11,1,0,0,0,1,0,183897,3013030,0,1.61362241504333,0.963784394653145,9,0.605,1,0,0,0.802,0.198,0,9,0.603
884,4,2,9,10,1603,13,13,1,0,0,1,0,0,186379,3013030,0,1.02149214343736,0.950949725148914,12,0.414,1,0,0,0.882,0.118,0,12,0.453
1046,4,2,8,13,808,17,17,1,0,0,1,0,0,184039,3013030,0,0.326185965937127,0.96304076214025,11,0.53,0.915,0.086,0.017,0.952,0.048,0,11,0.482
1098,4,2,8,11,2435,17,17,1,0,0,1,0,0,184039,3013030,0,0.862929348184086,0.96304076214025,11,0.53,1,0,0,1,0,0,11,0.482
1190,4,2,13,16,2956,14,14,1,0,0,0,1,0,173567,3013030,0,1.27497668419654,1.0211449113226,13,0.115,1,0,0,0.659,0.341,0,13,0.121
1194,5,2,15,17,5564,7,7,0,1,0,1,0,0,176698,3013030,0,1.9891032818227,1.0030507352858,14,0.201,0.889,0.111,0,1,0,0,14,0.345
