"seccion","munn","edon","disloc2018","disloc2011","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2011","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,3,4,9,864,4,4,1,0,0,0,0,1,34508,573075,0,1.94373405871819,1.0379386663962,11,0.408,0.56,0.44,0.2,0,0,1,11,0.396
18,1,3,4,10,1331,2,4,1,0,0,0,0,0,34508,573075,0,1.38252933570078,1.0379386663962,11,0.408,0.789,0.211,0,0,0,1,11,0.396
40,1,3,4,11,988,4,4,0,1,1,0,0,0,34508,573075,0,1.59912436378248,1.0379386663962,11,0.408,0.188,0.812,0.25,0.25,0.375,0.375,11,0.396
63,1,3,4,12,89,3,4,0,1,0,0,0,1,34508,573075,0,1.73633835078534,1.0379386663962,11,0.408,0.286,0.715,0.048,0.333,0,0.667,11,0.396
75,2,3,1,13,1123,1,1,0,1,1,0,0,0,37873,573075,0,1.8817477934223,0.945718255749479,13,0.503,0.429,0.571,0.19,0,0.333,0.667,13,0.531
92,2,3,3,14,1871,1,3,0,1,1,0,0,1,38028,573075,0,1.217526259433,0.941863561060271,14,0.774,0.5,0.5,0.143,0.5,0,0.5,14,0.522
105,2,3,3,15,302,3,3,0,1,0,0,0,1,38028,573075,0,3.32101877607789,0.941863561060271,14,0.774,0.111,0.889,0.167,0,0,1,14,0.522
121,3,3,12,1,1400,12,12,0,1,1,0,0,0,42012,573075,0,0.829524005280467,0.852546593830334,6,0.512,0.9,0.1,0.05,0,0.036,0.964,6,0.571
159,3,3,11,2,505,11,11,1,0,0,0,0,0,41988,573075,0,1.54891833160353,0.853033902543584,1,0.429,1,0,0,0,0.182,0.818,1,0.431
184,3,3,15,3,295,15,15,1,0,0,0,0,1,28064,573075,0,1.41090315528244,1.27626808366591,5,0.549,0.917,0.084,0.042,0,0.333,0.667,5,0.553
207,3,3,15,5,704,15,15,1,0,0,0,1,0,28064,573075,0,0.790806047425594,1.27626808366591,5,0.549,0.605,0.395,0.079,0.077,0.038,0.885,5,0.553
226,3,3,13,4,1407,13,13,1,0,0,0,0,1,41050,573075,0,1.21282634091833,0.872525883069428,3,0.267,0.929,0.071,0,0,0.043,0.957,3,0.326
267,3,3,12,6,2090,12,12,0,1,0,0,0,1,42012,573075,0,1.66645826548178,0.852546593830334,6,0.512,0,1,0.13,0,0.2,0.8,6,0.571
290,4,3,9,16,1536,9,9,0,1,1,1,0,0,39517,573075,0,1.13471210201172,0.906374155426778,8,0.062,0.6,0.4,0.2,0.571,0,0.429,8,0.067
298,4,3,9,7,18276,9,9,0,1,1,0,0,0,39517,573075,0,0.385794781344248,0.906374155426778,8,0.062,0.6,0.4,0.1,0,0.111,0.889,8,0.067
328,4,3,5,8,2635,5,5,1,0,0,0,0,1,39801,573075,0,0.313998557877757,0.89990672344916,8,0.198,0.877,0.123,0.055,0.429,0,0.571,8,0.15
