"seccion","munn","edo","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"cam",4,11,2,730,9,11,1,0,0,1,0.289,1,0,0,1,0.306
7,1,"cam",4,11,1,1276,9,11,1,0,0,1,0.289,1,0,0,1,0.306
17,1,"cam",4,7,7,7054,7,7,0,0,1,2,0.122,0.143,0.667,0.19,2,0.136
39,1,"cam",4,7,3,2817,7,7,1,0,0,2,0.122,1,0,0,2,0.136
52,1,"cam",4,9,5,753,9,9,1,0,0,5,0.372,0.958,0,0.042,5,0.364
57,1,"cam",4,6,4,1182,13,6,1,0,0,4,0.939,1,0,0,4,0.913
101,1,"cam",4,9,6,2902,6,9,1,0,0,5,0.372,0.346,0.462,0.192,5,0.364
147,2,"cam",4,1,17,2181,1,1,0,0,1,17,0.955,0.625,0.083,0.292,17,0.96
157,2,"cam",4,3,19,754,3,3,0,1,0,19,0.955,0.267,0.533,0.2,19,0.967
183,3,"cam",4,15,11,7130,14,15,1,0,0,10,0.301,1,0,0,10,0.353
185,3,"cam",4,15,10,3472,19,15,1,0,0,10,0.301,1,0,0,10,0.353
187,3,"cam",4,12,9,1834,17,12,1,0,0,9,0.644,1,0,0,9,0.567
216,3,"cam",4,17,8,1002,18,17,1,0,0,20,0.428,1,0,0,20,0.383
250,3,"cam",4,14,12,3209,16,14,0,0,1,20,0.277,0.364,0.455,0.182,20,0.356
261,3,"cam",4,14,20,1589,16,14,0,1,0,20,0.277,0.059,0.824,0.118,20,0.356
273,10,"cam",4,4,14,3519,4,4,0,1,0,14,1,0.133,0.833,0.033,14,1
303,4,"cam",4,21,15,951,11,21,1,0,0,15,0.979,0.68,0.24,0.08,15,0.926
320,4,"cam",4,20,16,2002,12,20,0,0,1,16,0.979,0.25,0.571,0.179,16,0.929
356,9,"cam",4,18,21,2711,21,18,0,1,0,21,1,0,0.962,0.038,21,1
381,6,"cam",4,2,18,2426,2,2,0,0,1,18,1,0.094,0.688,0.219,18,1
448,9,"cam",4,19,13,3785,20,19,0,0,1,13,1,0.643,0.25,0.107,13,1
