"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,8,11,1,732,1,1,0,0,1,0,1,0,10,0.634,0.599,0.293,0.109,0.063,0.929,0.008,10,0.534
17,2,8,11,10,3914,1,1,1,0,0,0,1,0,10,0.634,0.444,0.474,0.083,0.287,0.713,0,10,0.534
38,3,8,20,22,1133,3,2,0,0,1,0,1,0,12,0.941,0.599,0.305,0.096,0.167,0.833,0,12,0.885
82,6,8,13,11,637,5,4,1,0,0,0,0,0,14,0.482,0.295,0.538,0.167,0.111,0.879,0.01,14,0.415
102,7,8,22,21,1583,6,6,0,0,1,0,1,0,21,0.848,0.113,0.84,0.047,0.01,0.99,0,21,0.757
127,9,8,13,14,241,5,4,1,0,0,0,1,0,14,0.482,0.11,0.766,0.124,0.043,0.957,0,14,0.415
175,11,8,20,12,458,3,2,0,0,1,1,0,0,12,0.941,0.471,0.297,0.232,0.379,0.621,0,12,0.885
271,17,8,14,13,1489,7,7,1,0,0,0,1,0,13,0.953,0.707,0.259,0.034,0.155,0.845,0,13,0.921
402,19,8,18,19,924,10,10,1,0,0,0,1,0,19,0.248,1,0,0,0.625,0.375,0,19,0.271
437,19,8,16,18,791,11,11,1,0,0,0,1,0,19,0.358,1,0,0,0.3,0.7,0,19,0.424
538,19,8,18,16,4027,10,10,1,0,0,0,1,0,19,0.248,0.869,0.098,0.033,0.071,0.929,0,19,0.271
608,19,8,12,15,19342,9,9,1,0,0,0,0,0,15,0.633,0.839,0.125,0.036,0.097,0.903,0,15,0.596
621,19,8,12,17,4564,9,9,1,0,0,1,0,0,15,0.633,0.979,0.011,0.011,0.593,0.407,0,15,0.596
921,21,8,19,20,943,8,8,1,0,0,0,1,0,20,0.892,0.836,0.082,0.082,0.574,0.426,0,20,0.866
1424,37,8,2,2,7094,16,16,0,0,1,0,1,0,6,0.374,0.995,0,0.005,0.053,0.947,0,6,0.264
1445,37,8,4,3,305,22,21,1,0,0,0,1,0,3,0.326,1,0,0,0.736,0.264,0,3,0.399
1562,37,8,2,6,7702,16,16,0,0,1,0,1,0,6,0.374,0.965,0.018,0.018,0.195,0.805,0,6,0.264
1683,37,8,5,4,9966,19,20,1,0,0,1,0,0,3,0.245,1,0,0,0.282,0.718,0,3,0.161
1737,37,8,5,9,618,19,20,1,0,0,1,0,0,3,0.245,0.991,0.009,0,0.033,0.967,0,3,0.161
1753,37,8,5,7,916,19,20,1,0,0,0,1,0,3,0.245,1,0,0,0.145,0.855,0,3,0.161
1989,37,8,4,5,456,22,21,1,0,0,0,1,0,3,0.326,1,0,0,0.007,0.993,0,3,0.399
2732,37,8,9,8,969,18,17,1,0,0,0,1,0,4,0.205,1,0,0,0,1,0,4,0.322
