"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,2,9,22,5,905,15,15,1,0,0,0,0,1,5,0.387,1,0,0,0.148,0,0.852,5,0.476
89,2,9,22,3,701,16,16,1,0,0,0,0,1,3,0.678,1,0,0,0.145,0,0.855,3,0.695
345,3,9,37,26,1668,23,23,1,0,0,0,0,1,26,0.333,1,0,0,0.534,0,0.466,26,0.355
359,3,9,36,32,1497,21,21,1,0,0,0,0,0,32,0.863,1,0,0,0.062,0,0.938,32,0.868
550,3,9,37,30,1002,23,23,1,0,0,1,0,0,26,0.333,1,0,0,0.361,0,0.639,26,0.355
747,4,9,33,20,4007,31,31,1,0,0,0,0,1,20,0.581,0.981,0,0.019,0.253,0,0.747,20,0.543
821,5,9,12,1,3366,12,12,1,0,0,0,0,1,1,0.819,1,0,0,0,0,1,1,0.752
910,5,9,12,2,2844,12,12,1,0,0,0,0,1,1,0.819,1,0,0,0.263,0,0.737,1,0.752
1079,5,9,13,7,856,10,10,1,0,0,0,0,0,2,0.524,1,0,0,0.289,0,0.711,2,0.515
1219,5,9,15,4,1003,9,9,1,0,0,0,0,1,4,0.783,1,0,0,0,0,1,4,0.783
1358,5,9,15,6,1328,9,9,1,0,0,0,0,1,4,0.783,1,0,0,0.006,0.006,0.987,4,0.783
1672,6,9,26,15,1025,19,18,1,0,0,0,0,1,15,0.708,1,0,0,0.165,0,0.835,15,0.705
1673,6,9,27,14,1051,19,18,1,0,0,0,0,1,15,0.708,1,0,0,0,0,1,15,0.705
1971,7,9,6,24,1322,6,6,1,0,0,0,0,1,24,0.654,1,0,0,0.128,0,0.872,24,0.655
1972,7,9,6,21,890,6,6,1,0,0,0,0,1,24,0.654,1,0,0,0.065,0,0.935,24,0.655
2065,7,9,9,19,1670,7,7,1,0,0,0,0,1,21,0.306,1,0,0,0,0,1,21,0.329
2106,7,9,9,22,1359,8,8,1,0,0,0,0,1,22,0.579,1,0,0,0,0,1,22,0.575
2341,7,9,4,28,1591,5,6,1,0,0,0,0,1,24,0.654,1,0,0,0.044,0.007,0.949,24,0.655
2521,7,9,8,29,1187,7,7,1,0,0,0,0,1,21,0.306,1,0,0,0,0,1,21,0.329
2565,7,9,11,27,2283,3,3,1,0,0,0,0,1,27,0.931,1,0,0,0,0,1,27,0.932
2633,7,9,8,31,1926,7,7,1,0,0,0,0,1,21,0.306,1,0,0,0,0,1,21,0.329
2972,8,9,3,33,1166,1,1,1,0,0,0,0,1,33,1,0.986,0,0.014,0.162,0,0.838,33,1
3119,9,9,1,34,2025,28,25,1,0,0,0,0,1,34,0.873,0.761,0,0.239,0,0,1,34,0.853
3163,10,9,32,18,1770,33,33,1,0,0,0,0,1,18,0.767,1,0,0,0.022,0,0.978,18,0.75
3217,10,9,35,23,1141,32,32,1,0,0,0,0,1,23,0.587,1,0,0,0.517,0,0.483,23,0.659
3355,10,9,34,25,500,33,33,1,0,0,0,0,1,18,0.767,1,0,0,0.148,0,0.852,18,0.75
3609,11,9,2,35,3458,26,26,1,0,0,0,0,1,35,0.879,0.946,0,0.054,0,0.011,0.989,35,0.86
3742,12,9,19,38,1105,30,28,1,0,0,0,0,1,38,0.721,1,0,0,0.455,0,0.545,38,0.784
3769,12,9,18,37,1330,29,27,1,0,0,1,0,0,37,0.785,1,0,0,0.136,0,0.864,37,0.783
3829,12,9,18,40,2682,29,27,1,0,0,0,0,1,37,0.785,0.915,0.011,0.074,0.045,0,0.955,37,0.783
4095,13,9,39,39,1570,27,29,1,0,0,0,0,1,39,0.338,0.936,0,0.064,0.151,0,0.849,39,0.346
4107,13,9,40,36,1996,25,30,1,0,0,0,0,1,36,0.631,0.857,0,0.143,0,0,1,36,0.552
4269,14,9,24,16,1860,24,24,1,0,0,1,0,0,17,0.59,1,0,0,0.848,0,0.152,17,0.604
4274,14,9,25,17,1496,24,24,1,0,0,1,0,0,17,0.59,1,0,0,1,0,0,17,0.604
4523,15,9,29,13,1429,14,14,1,0,0,0,0,0,12,0.648,1,0,0,0.788,0,0.212,12,0.597
4586,15,9,31,9,2871,13,13,1,0,0,0,0,1,9,0.865,1,0,0,0,0.021,0.979,9,0.821
4704,15,9,29,12,1528,13,13,1,0,0,0,0,1,9,0.865,1,0,0,0.083,0,0.917,9,0.821
4981,16,9,28,8,280,17,17,1,0,0,1,0,0,13,0.433,1,0,0,0.273,0,0.727,13,0.439
5183,17,9,21,10,1442,20,20,1,0,0,0,0,1,10,0.791,1,0,0,0.101,0,0.899,10,0.788
5274,17,9,20,11,878,20,20,1,0,0,0,0,1,10,0.791,1,0,0,0,0,1,10,0.788
