"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,13,1,18,1422,8,1,0,1,1,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,10,0.443,0.045,0.954,0.068,0.015,0.985,0,10,0.479
13,2,13,10,10,2833,8,10,1,0,0,0,1,0,159602,2597901,0,1.19970269513922,0.904298400604838,11,0.303,0.01,0.989,0.082,0,0.937,0.063,11,0.336
34,3,13,2,14,5385,2,2,1,0,0,0,1,0,145827,2597901,0,0.656322001115638,0.989719553534896,14,0.606,0.261,0.739,0.085,0,0.919,0.081,14,0.569
81,5,13,3,5,2062,2,3,1,0,0,0,1,0,143718,2597901,0,0.746899301027414,1.00424326342792,14,0.221,0.443,0.557,0.142,0,0.923,0.077,14,0.184
92,6,13,4,16,2564,6,4,0,1,1,0,1,0,153081,2597901,0,1.02331135375307,0.942820032096298,6,0.7,0.153,0.847,0.025,0,0.902,0.098,6,0.621
114,7,13,10,11,2261,5,10,0,1,1,0,1,0,159602,2597901,0,1.11696745966639,0.904298400604838,11,0.303,0.343,0.657,0.148,0.031,0.969,0,11,0.336
162,10,13,7,13,2734,16,7,0,1,1,0,1,0,151016,2597901,0,0.562892284571744,0.955712198265967,13,0.327,0.102,0.898,0.097,0,0.921,0.079,13,0.349
224,13,13,8,15,2766,1,8,0,1,1,0,1,0,155323,2597901,0,1.22083076046839,0.929210956093646,9,0.226,0.026,0.974,0.061,0,0.912,0.088,9,0.289
257,15,13,10,3,4495,5,10,1,0,0,0,0,0,159602,2597901,0,0.567406682287326,0.904298400604838,11,0.303,0.398,0.602,0.153,0,1,0,11,0.336
281,16,13,4,6,1342,6,4,0,1,1,0,1,0,153081,2597901,0,1.34597761177791,0.942820032096298,6,0.7,0.032,0.967,0.118,0.029,0.971,0,6,0.621
291,17,13,9,17,2668,11,9,0,1,1,0,1,0,147104,2597901,0,2.26503191044151,0.981127864186788,17,0.433,0,1,0.071,0.056,0.819,0.125,17,0.39
342,20,13,8,9,623,1,8,0,1,1,0,1,0,155323,2597901,0,3.10389112310659,0.929210956093646,9,0.226,0.027,0.973,0.055,0,0.983,0.017,9,0.289
358,22,13,12,2,1723,7,12,0,1,1,0,0,0,95996,2597901,0,0.69739762521422,1.50347757545453,2,0.464,0.698,0.302,0.094,0.016,0.984,0,2,0.406
713,39,13,1,1,1376,7,1,1,0,0,0,1,0,138846,2597901,0,0.711454692740092,1.0394813918538,10,0.443,0.643,0.356,0.113,0.026,0.974,0,10,0.479
780,43,13,18,7,920,18,18,0,1,1,0,1,0,144501,2597901,0,2.16532891249337,0.998801623056818,16,0.743,0.05,0.951,0.058,0.051,0.859,0.091,16,0.596
1295,64,13,4,4,2114,6,4,0,1,1,0,1,0,153081,2597901,0,0.807013080447173,0.942820032096298,6,0.7,0.439,0.561,0.131,0.041,0.767,0.192,6,0.621
1333,67,13,8,8,1343,1,8,0,1,1,0,1,0,155323,2597901,0,2.69328643228584,0.929210956093646,9,0.226,0.118,0.882,0.137,0,1,0,9,0.289
1350,68,13,13,12,1715,10,13,1,0,0,0,1,0,119258,2597901,0,0.912566284765253,1.21021510786139,12,0.754,0.273,0.728,0.234,0,1,0,12,0.712
