"seccion","munn","edon","disloc2018","disloc1996","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,15,14,13,1958,10,4,0,0,1,0,1,0,14,0.416,0.144,0.77,0.086,0,1,0,14,0.421
33,2,15,39,39,2688,17,16,1,0,0,0,1,0,39,0.834,0.41,0.434,0.156,0.087,0.826,0.087,39,0.83
82,4,15,9,8,1222,9,1,1,0,0,0,1,0,9,0.445,0.024,0.859,0.118,0.087,0.884,0.029,9,0.516
94,5,15,45,45,2225,5,5,1,0,0,0,1,0,45,0.314,0.365,0.5,0.135,0.024,0.976,0,45,0.361
151,6,15,7,5,2665,6,9,1,0,0,0,1,0,7,0.51,0.741,0.069,0.19,0,0.944,0.056,7,0.594
156,7,15,10,10,2417,8,10,1,0,0,0,1,0,10,0.526,0.235,0.728,0.037,0.029,0.971,0,10,0.46
166,8,15,9,9,2162,1,1,0,0,1,0,0,0,9,0.445,0.108,0.823,0.069,0.01,0.562,0.429,9,0.516
193,9,15,28,28,1664,12,11,1,0,0,0,0,0,28,0.541,0.511,0.178,0.311,0,0.971,0.029,28,0.529
219,10,15,20,20,2255,36,33,1,0,0,0,0,0,20,0.65,0.588,0.263,0.149,0.034,0.933,0.034,20,0.654
233,11,15,23,23,3793,15,15,1,0,0,0,1,0,23,0.854,0.519,0.23,0.252,0,0.474,0.526,23,0.815
247,12,15,4,6,2914,6,2,0,0,1,0,1,0,4,0.455,0.478,0.239,0.283,0,0.976,0.024,4,0.504
250,13,15,29,16,1678,42,38,1,0,0,1,0,0,30,0.179,0.988,0,0.012,0.825,0.142,0.033,30,0.228
523,20,15,38,38,4059,35,32,1,0,0,0,0,0,38,0.446,0.997,0,0.003,0.105,0.842,0.053,38,0.464
629,21,15,9,34,3706,9,1,0,0,1,0,0,0,9,0.445,0.278,0.625,0.097,0.017,0.932,0.051,9,0.516
648,22,15,1,27,2480,12,13,0,0,1,0,0,0,27,0.461,0.886,0.019,0.095,0,0.694,0.306,27,0.39
654,23,15,12,36,6236,37,31,1,0,0,0,0,0,19,0.254,0.521,0.274,0.205,0.25,0.75,0,19,0.256
