"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,17,9,9,1958,1,1,0,0,1,0,1,0,9,0.389,0.535,0.163,0.302,0,0.95,0.05,9,0.462
12,2,17,4,13,1521,11,11,0,0,1,0,0,0,17,0.69,0.462,0.327,0.212,0.3,0.3,0.4,17,0.614
24,3,17,11,18,1065,2,2,1,0,0,0,0,0,11,0.6,0.59,0.148,0.262,0.182,0.636,0.182,11,0.633
44,4,17,10,16,2446,3,3,1,0,0,0,0,0,16,0.61,0.548,0.214,0.238,0.25,0.5,0.25,16,0.477
86,5,17,9,8,3044,4,1,1,0,0,0,1,0,9,0.389,0.492,0.246,0.262,0.053,0.947,0,9,0.462
97,6,17,4,14,1825,12,12,1,0,0,0,0,0,14,0.593,0.935,0.022,0.043,0,0,1,14,0.53
136,6,17,7,15,2570,12,12,1,0,0,0,0,0,14,0.593,0.911,0.044,0.044,0,0.375,0.625,14,0.53
188,7,17,2,1,188,10,9,0,0,1,1,0,0,4,0.318,0.8,0.109,0.091,1,0,0,4,0.409
194,7,17,1,2,2385,8,8,1,0,0,1,0,0,2,0.345,1,0,0,1,0,0,2,0.326
244,7,17,2,3,1612,10,9,1,0,0,0,0,0,4,0.318,0.98,0,0.02,0.947,0.053,0,4,0.409
327,7,17,2,4,2243,10,9,1,0,0,1,0,0,4,0.318,1,0,0,0.938,0,0.062,4,0.409
391,8,17,8,5,2413,5,4,0,0,1,0,0,0,8,0.198,0.905,0,0.095,0.2,0,0.8,8,0.28
431,11,17,6,6,4904,6,6,1,0,0,0,0,0,6,0.564,1,0,0,0.6,0,0.4,6,0.483
448,11,17,6,7,2759,6,6,1,0,0,0,0,0,6,0.564,0.972,0,0.028,0.75,0,0.25,6,0.483
501,12,17,11,11,3347,1,2,0,0,1,0,0,0,11,0.6,0.581,0.242,0.177,0,1,0,11,0.633
569,16,17,4,17,14136,11,11,0,0,1,0,1,0,17,0.69,0.465,0.233,0.302,0,0.75,0.25,17,0.614
670,20,17,3,12,3379,9,10,0,0,1,0,0,1,13,0.129,0.66,0.1,0.24,0,0.3,0.7,13,0.174
707,24,17,10,10,3217,3,3,0,0,1,0,0,1,16,0.61,0.623,0.151,0.226,0,0.667,0.333,16,0.477
