"seccion","munn","edo","edon","disloc2018","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"pue",21,12,17,3081,12,1,0,0,1,17,0.973,0.561,0.136,0.303,17,0.957
20,2,"pue",21,5,6,2145,16,2,0,0,1,6,0.169,0.31,0.53,0.16,6,0.241
28,3,"pue",21,23,23,3789,8,3,1,0,0,23,0.756,0.147,0.551,0.301,23,0.789
45,4,"pue",21,13,18,3870,6,4,1,0,0,18,0.84,0.507,0.145,0.348,18,0.793
61,5,"pue",21,22,22,1270,3,5,1,0,0,22,0.901,0.293,0.38,0.327,22,0.877
64,6,"pue",21,2,2,1256,19,6,0,0,1,2,0.866,0.275,0.527,0.198,2,0.845
80,10,"pue",21,26,26,5461,18,19,1,0,0,26,0.915,0.265,0.653,0.082,26,0.925
103,12,"pue",21,14,20,891,10,8,1,0,0,20,0.674,0.205,0.615,0.179,20,0.667
134,16,"pue",21,3,3,2852,7,7,0,0,1,3,0.625,0.187,0.692,0.121,3,0.624
139,17,"pue",21,5,5,3923,16,2,0,0,1,6,0.169,0.247,0.454,0.299,6,0.241
154,19,"pue",21,21,21,2603,11,10,1,0,0,21,0.832,0.629,0.224,0.147,21,0.836
245,26,"pue",21,8,8,1455,2,11,1,0,0,8,0.402,0.797,0.101,0.101,8,0.447
253,27,"pue",21,24,25,835,17,9,0,0,1,25,0.358,0.741,0.224,0.035,25,0.279
260,28,"pue",21,2,4,1763,19,6,0,0,1,2,0.866,0.125,0.583,0.292,2,0.845
282,35,"pue",21,8,9,1450,2,11,1,0,0,8,0.402,1,0,0,8,0.447
395,47,"pue",21,25,24,4030,5,12,0,0,1,25,0.221,0.468,0.258,0.274,25,0.328
415,49,"pue",21,8,7,3111,2,11,0,0,1,8,0.402,0.733,0.158,0.109,8,0.447
502,58,"pue",21,1,1,2270,15,14,0,0,1,1,0.943,0.248,0.602,0.15,1,0.938
544,66,"pue",21,15,19,3891,14,15,1,0,0,19,0.841,0.329,0.139,0.532,19,0.843
933,115,"pue",21,17,13,364,26,26,1,0,0,13,0.547,1,0,0,13,0.658
941,115,"pue",21,17,11,773,26,26,1,0,0,13,0.547,1,0,0,13,0.658
1047,115,"pue",21,9,10,1738,22,20,1,0,0,11,0.232,0.98,0,0.02,11,0.261
1181,115,"pue",21,19,14,2008,25,25,1,0,0,15,0.416,1,0,0,15,0.527
1186,115,"pue",21,19,15,1785,25,25,1,0,0,15,0.416,1,0,0,15,0.527
1214,115,"pue",21,19,16,10076,25,25,1,0,0,15,0.416,0.806,0.083,0.111,15,0.527
1291,115,"pue",21,10,12,1374,24,24,1,0,0,11,0.22,1,0,0,11,0.224
