"seccion","munn","edon","disloc2017","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2017","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,26,6,6,1735,3,3,0,1,1,0,1,0,111396,2521161,0,1.07773426078392,1.07773426078392,18,0.115,0.318,0.683,0.178,0.537,0.463,0,18,0.253
3,2,26,7,7,1617,4,4,1,0,0,1,0,0,117586,2521161,0,1.02099982748189,1.02099982748189,7,0.554,0.487,0.513,0.154,0.125,0.875,0,7,0.385
34,3,26,3,3,1190,2,2,1,0,0,0,0,0,128220,2521161,0,0.936322615148071,0.936322615148071,3,0.743,0.466,0.534,0.136,0.625,0.375,0,3,0.714
38,4,26,18,18,804,3,3,0,1,1,0,1,0,105916,2521161,0,1.13349527658036,1.13349527658036,18,0.115,0.205,0.794,0.196,0.209,0.791,0,18,0.253
112,24,26,5,5,2075,3,3,1,0,0,0,0,0,133893,2521161,0,0.896650950492451,0.896650950492451,18,0.115,0.794,0.207,0.048,0.688,0.312,0,18,0.253
159,30,26,4,4,1289,14,14,1,0,0,1,0,0,75338,2521161,0,1.59355551931676,1.59355551931676,4,0.59,1,0,0,0.958,0.042,0,4,0.667
336,49,26,8,8,8715,8,8,1,0,0,0,0,0,177116,2521161,0,0.677834220026907,0.677834220026907,8,0.613,1,0,0,0.938,0.062,0,8,0.543
338,49,26,10,10,7326,7,7,1,0,0,0,0,0,138325,2521161,0,0.867921819730965,0.867921819730965,10,0.677,1,0,0,1,0,0,10,0.491
369,49,26,9,9,1717,7,7,1,0,0,0,0,0,129410,2521161,0,0.927712585691104,0.927712585691104,10,0.677,0.975,0.024,0.012,1,0,0,10,0.491
479,49,26,12,12,611,5,5,1,0,0,1,0,0,101029,2521161,0,1.18832499296524,1.18832499296524,9,0.28,0.855,0.145,0.018,0.96,0.04,0,9,0.407
517,49,26,11,11,985,9,9,1,0,0,0,0,0,145346,2521161,0,0.825996489165754,0.825996489165754,11,0.338,0.587,0.413,0.093,0.769,0.231,0,11,0.467
631,53,26,2,2,5220,16,16,1,0,0,0,1,0,160093,2521161,0,0.749909650729799,0.749909650729799,1,0.19,0.792,0.208,0.083,0.35,0.65,0,1,0.281
652,55,26,1,1,816,16,16,1,0,0,0,0,0,91280,2521161,0,1.31524195567798,1.31524195567798,1,0.19,0.892,0.109,0.014,1,0,0,1,0.281
760,58,26,14,14,330,18,18,1,0,0,0,0,0,114398,2521161,0,1.04945266275884,1.04945266275884,14,0.965,0.529,0.471,0.103,0.056,0.611,0.333,14,0.938
776,59,26,17,17,1332,12,12,1,0,0,0,0,0,112418,2521161,0,1.06793650228865,1.06793650228865,16,0.199,0.906,0.093,0.031,0,1,0,16,0.26
777,59,26,16,16,4001,12,12,1,0,0,0,0,0,107486,2521161,0,1.11693881728119,1.11693881728119,16,0.199,0.946,0.055,0.014,0.114,0.886,0,16,0.26
901,59,26,15,15,8066,13,13,1,0,0,0,0,0,119255,2521161,0,1.00671070994328,1.00671070994328,17,0.534,0.672,0.328,0.109,0.062,0.938,0,17,0.47
1022,61,26,13,13,5920,19,19,1,0,0,0,1,0,103618,2521161,0,1.15863349721367,1.15863349721367,13,0.96,0.881,0.119,0,0.034,0.966,0,13,0.94
1109,62,26,21,21,1272,1,1,1,0,0,0,1,0,104589,2521161,0,1.14787679119492,1.14787679119492,21,0.874,0.288,0.712,0.041,0.13,0.87,0,21,0.805
1138,63,26,20,20,1967,20,20,1,0,0,0,0,0,137426,2521161,0,0.873599506019863,0.873599506019863,20,0.685,0.432,0.568,0.027,0.227,0.727,0.045,20,0.79
1230,65,26,19,19,2627,21,21,1,0,0,0,0,0,107023,2521161,0,1.12177088769971,1.12177088769971,19,0.634,0.6,0.4,0.017,0.5,0.5,0,19,0.701
