"seccion","munn","edo","edon","disloc2015","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","NA","NA","NA","NA","NA","NA","NA","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"tab",27,6,1,3737,18,6,0,0,1,18,1,0.114,0.659,0.227,18,1,18,0.512,0.114,0.659,0.227,18,0.506
46,2,"tab",27,3,19,1801,11,3,1,0,0,11,0.541,0.409,0.47,0.121,11,0.609,2,0.776,0.409,0.47,0.121,2,0.828
48,2,"tab",27,3,2,2913,11,3,1,0,0,11,0.541,0.804,0.196,0,11,0.609,2,0.776,0.804,0.196,0,2,0.828
168,3,"tab",27,21,3,1395,16,21,1,0,0,16,0.32,0.344,0.625,0.031,16,0.387,3,1,0.344,0.625,0.031,3,1
232,4,"tab",27,11,20,19842,7,11,1,0,0,7,0.978,0.492,0.381,0.127,7,0.956,4,0.237,0.492,0.381,0.127,4,0.21
237,4,"tab",27,11,4,4328,7,11,1,0,0,7,0.978,1,0,0,7,0.956,4,0.237,1,0,0,4,0.21
251,4,"tab",27,11,21,4098,7,11,1,0,0,7,0.978,0.683,0.25,0.067,7,0.956,4,0.237,0.683,0.25,0.067,4,0.21
292,4,"tab",27,12,5,780,5,12,1,0,0,5,0.249,0.847,0.125,0.028,5,0.343,4,0.133,0.847,0.125,0.028,4,0.212
512,5,"tab",27,18,6,2422,12,18,1,0,0,13,0.368,0.454,0.515,0.031,13,0.369,6,0.624,0.454,0.515,0.031,6,0.639
609,6,"tab",27,14,7,3961,14,14,0,0,1,14,0.556,0.186,0.695,0.119,14,0.581,7,0.816,0.186,0.695,0.119,7,0.814
668,7,"tab",27,9,8,2839,16,9,1,0,0,16,0.396,0.562,0.312,0.125,16,0.385,12,0.303,0.562,0.312,0.125,12,0.382
684,8,"tab",27,5,9,2165,8,5,1,0,0,10,0.344,0.32,0.608,0.072,10,0.415,9,0.602,0.32,0.608,0.072,9,0.691
781,9,"tab",27,8,10,2543,19,8,1,0,0,19,0.311,0.107,0.893,0,19,0.375,10,0.37,0.107,0.893,0,10,0.438
809,10,"tab",27,19,11,1604,15,19,1,0,0,15,0.568,0.432,0.432,0.135,15,0.552,11,0.695,0.432,0.432,0.135,11,0.685
846,11,"tab",27,9,12,2435,16,9,1,0,0,16,0.396,0.154,0.846,0,16,0.385,12,0.303,0.154,0.846,0,12,0.382
872,12,"tab",27,7,13,2761,19,7,1,0,0,21,0.38,0.305,0.537,0.159,21,0.351,13,0.635,0.305,0.537,0.159,13,0.573
954,13,"tab",27,1,14,1232,1,1,1,0,0,1,1,0.324,0.486,0.189,1,1,14,1,0.324,0.486,0.189,14,1
991,14,"tab",27,20,15,2504,17,20,1,0,0,17,0.597,0.378,0.622,0,17,0.616,15,0.714,0.378,0.622,0,15,0.714
1036,15,"tab",27,8,16,2816,20,8,1,0,0,19,0.311,0.111,0.667,0.222,19,0.375,10,0.37,0.111,0.667,0.222,10,0.438
1063,16,"tab",27,13,17,1921,20,13,1,0,0,20,0.367,0.423,0.5,0.077,20,0.382,17,0.536,0.423,0.5,0.077,17,0.634
1089,17,"tab",27,6,18,807,18,6,0,0,1,18,1,0.4,0.578,0.022,18,1,18,0.512,0.4,0.578,0.022,18,0.506
