"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,29,11,3,1538,10,1,0,0,1,0,0,1,3,0.815,0.786,0.107,0.107,0,0,1,3,0.8
5,2,29,11,2,3165,7,1,1,0,0,0,0,0,3,0.815,1,0,0,0,1,0,3,0.8
12,3,29,17,15,1335,8,11,1,0,0,0,1,0,15,0.276,0.839,0.032,0.129,0,1,0,15,0.396
13,3,29,17,16,2516,8,11,1,0,0,0,0,0,15,0.276,0.788,0.152,0.061,0,0.889,0.111,15,0.396
49,4,29,10,12,889,4,13,0,0,1,0,0,0,14,0.894,0.196,0.554,0.25,0,0.75,0.25,14,0.767
58,34,29,10,14,270,4,13,0,1,0,0,0,0,14,0.894,0.348,0.37,0.283,0,0.857,0.143,14,0.767
59,5,29,2,17,1327,14,3,0,0,1,0,0,0,19,0.496,0.26,0.48,0.26,0,0.667,0.333,19,0.41
78,6,29,8,13,5522,9,6,0,0,1,0,0,0,13,0.812,0.281,0.219,0.5,0.167,0.833,0,13,0.821
100,7,29,19,19,4229,14,3,1,0,0,0,0,0,19,0.496,0.447,0.316,0.237,0.143,0.571,0.286,19,0.41
122,10,29,12,4,2001,7,15,1,0,0,1,0,0,4,0.672,1,0,0,1,0,0,4,0.722
145,10,29,12,5,2471,7,15,1,0,0,0,0,0,4,0.672,0.909,0.045,0.045,0.667,0.167,0.167,4,0.722
178,13,29,18,18,4978,15,2,0,0,1,1,0,0,18,0.61,0.594,0.188,0.219,0.778,0.222,0,18,0.622
232,15,29,4,11,2481,3,10,0,0,1,0,0,0,11,0.756,0.561,0.22,0.22,0.2,0.8,0,11,0.774
254,58,29,4,10,3562,10,9,1,0,0,0,0,0,10,0.721,0.75,0,0.25,1,0,0,10,0.718
263,17,29,9,7,2550,11,7,1,0,0,0,0,1,7,0.343,1,0,0,0,0.167,0.833,7,0.356
309,22,29,7,9,1627,11,7,1,0,0,1,0,0,7,0.343,0.839,0.097,0.065,0.222,0.222,0.556,7,0.356
350,25,29,13,6,6141,12,5,1,0,0,0,0,0,6,0.742,0.933,0,0.067,1,0,0,6,0.652
442,33,29,14,1,1097,13,4,1,0,0,0,0,0,1,0.7,1,0,0,0,1,0,1,0.657
570,42,29,3,8,3126,11,8,1,0,0,0,0,0,8,0.743,0.952,0,0.048,0,0,1,8,0.656
