"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,32,14,14,409,1,7,0,1,1,0,0,0,80357,1461366,0,1.38814417125466,1.01032890725139,15,0.56,0.153,0.847,0.16,0.095,0.762,0.143,15,0.507
22,3,32,14,15,714,1,7,0,1,1,0,0,0,80357,1461366,0,1.13032885027706,1.01032890725139,15,0.56,0.131,0.869,0.187,0.102,0.816,0.082,15,0.507
40,5,32,2,3,5243,15,14,0,1,1,0,0,0,95078,1461366,0,0.975031825715178,0.853898904057721,3,0.405,0.21,0.791,0.272,0.364,0,0.636,3,0.278
61,6,32,16,12,1158,16,17,0,1,1,0,0,0,78474,1461366,0,0.878846924084478,1.03457196013966,12,0.849,0.403,0.596,0.185,0.032,0.774,0.194,12,0.881
73,7,32,12,18,904,18,15,1,0,0,0,0,0,86435,1461366,0,1.16155662064525,0.939283854919882,18,0.809,0.079,0.921,0.116,0,0.764,0.236,18,0.912
103,8,32,11,6,1140,2,6,1,0,0,0,0,1,76859,1461366,0,0.81134262729226,1.05631090698552,10,0.241,0.209,0.791,0.187,0,0.556,0.444,10,0.279
114,9,32,17,16,697,14,18,0,1,1,0,0,0,76339,1461366,0,1.06350620259631,1.06350620259631,16,1,0.235,0.765,0.154,0.184,0.579,0.237,16,1
135,10,32,7,11,3622,8,12,1,0,0,0,0,1,84299,1461366,0,0.717802042350029,0.963083785098281,7,0.235,0.393,0.607,0.111,0,0.119,0.881,7,0.305
138,10,32,5,8,871,8,10,1,0,0,0,0,0,83863,1461366,0,0.811853762924742,0.96809081478125,11,0.313,0.379,0.62,0.06,0,0.22,0.78,11,0.367
386,14,32,18,17,1289,18,16,1,0,0,0,0,0,78585,1461366,0,1.25521026592455,1.03311064452504,17,0.823,0.337,0.663,0.122,0,0.75,0.25,17,0.878
428,15,32,13,10,584,4,2,0,1,1,0,1,0,77778,1461366,0,1.09185416302433,1.04382987477179,10,0.42,0.173,0.828,0.149,0.4,0.457,0.143,10,0.426
460,17,32,3,4,2266,13,8,1,0,0,0,0,0,80982,1461366,0,1.25884979765246,1.00253142673681,5,0.85,0.558,0.442,0.14,0,0.077,0.923,5,0.768
471,17,32,3,5,3198,13,8,1,0,0,0,0,0,80982,1461366,0,1.1801122158265,1.00253142673681,5,0.85,0.717,0.282,0.065,0,0.75,0.25,5,0.768
606,20,32,10,7,3573,15,5,0,1,1,0,0,0,74594,1461366,0,0.894395910678285,1.08838512480897,7,0.532,0.33,0.67,0.103,0.175,0.5,0.325,7,0.427
763,24,32,9,9,2608,3,3,1,0,0,0,0,1,82306,1461366,0,0.756036690413,0.986404393361359,9,0.766,0.185,0.815,0.176,0,0.433,0.567,9,0.708
1094,38,32,15,13,1482,5,1,0,1,1,0,1,0,88180,1461366,0,0.920696303016557,0.920696303016557,13,1,0.068,0.932,0.09,0,0.929,0.071,13,1
1772,56,32,2,1,876,10,14,1,0,0,0,0,1,95078,1461366,0,1.32638990998056,0.853898904057721,3,0.405,0.845,0.155,0.017,0,0,1,3,0.278
1773,56,32,2,2,1497,10,14,1,0,0,0,0,0,95078,1461366,0,1.06642585051885,0.853898904057721,3,0.405,0.825,0.176,0.053,0,0,1,3,0.278
